,0
0,1000000.0
1,999401.7076605614
2,999373.2842654218
3,996107.3838113168
4,996641.8222150367
5,993242.0007827601
6,989162.7771756102
7,990148.9298584727
8,981879.4439108254
9,982207.2171062464
10,984232.3356316589
11,966369.4326334388
12,984047.1478490611
13,978617.015965008
14,979016.516346823
15,978342.9676338619
16,985360.0723894904
17,1002308.0602777409
18,984567.7906612379
19,976863.0822955226
20,977088.5288414567
21,980007.2156789394
22,980452.2326534146
23,991541.9401707883
24,1012802.0195834335
25,1012963.1524192328
26,979009.5414783597
27,992182.5932277169
28,995664.261485279
29,988118.2305764151
30,948623.7684637953
31,944936.8758099843
32,938910.6194757052
33,930654.7529237273
34,905230.0701719361
35,939303.9370779683
36,924200.946403355
37,917879.3032838214
38,910800.8264498005
39,881060.0705229851
40,873607.5617132148
41,891422.0442211723
42,855386.3089492233
43,853262.0054383914
44,842719.5403312768
45,901953.6469383738
46,907038.2402691088
47,942764.6992287688
48,946722.8343783346
49,940574.2411431439
50,976448.2151676207
51,999530.9443870864
52,979968.6793696581
53,957391.166517961
54,1034759.3026704057
55,1010542.0548295
56,1024825.6092436534
57,1045593.7874154296
58,1023005.3292889348
59,980534.9084367396
60,1005960.4323717145
61,1035059.0624323309
62,1063359.609914743
63,1078670.3880791687
64,1068635.6366108926
65,1042326.3840782557
66,1048813.9173503804
67,1099011.116054576
68,1107666.2799809664
69,1067529.9164357658
70,1093400.63048698
71,1095258.4152268306
72,1090274.8252356974
73,1041732.8297940817
74,1075942.3000080804
75,1059025.4833103921
76,1073938.386101462
77,1081218.5574553781
78,1074731.4929524355
79,1079278.7439401883
80,1108941.0390734484
81,1102162.16409071
82,1107095.3723612847
83,1144676.9665902075
84,1135093.9259653748
85,1149122.2282684685
86,1120578.566254312
87,1164014.7646895677
88,1124340.421214906
89,1129437.7585567876
90,1102434.3035711828
91,1119847.1948229645
92,1108623.3105494638
93,1147696.3881109485
94,1128985.966449025
95,1117042.4541551387
96,1105021.7444405723
97,1096527.783614462
98,1131652.6417624743
99,1103361.8389039482
100,1120090.7775782503
101,1136890.080573019
102,1160709.1226070344
103,1159046.9952171894
104,1147255.3744740167
105,1171419.323251248
