,0
0,275.5671803613659
1,5234.324104062514
2,306.3512822147459
3,3261.638231450226
4,881.6809322938789
5,-345.0981092224829
6,-1752.612910273252
7,2029.5913625280373
8,-16.891976282931864
9,2022.6955536818132
10,9010.71157160122
11,-1148.4834547517821
12,-48.349734304938465
13,-2355.072422581259
14,3460.896661011502
15,-8225.192778179655
16,13402.552052434301
17,-5141.69589361595
18,-9341.35419624555
19,4206.323729810538
20,7687.134022673592
21,-6349.937569549074
22,-4483.237773591187
23,-5230.7160496334545
24,6538.469381583389
25,-3397.8190245081205
26,-140.3629547643941
27,-2492.8226329027675
28,5953.828211422544
29,-10556.88269844721
30,-3696.1402897038497
31,8065.114542457741
32,-5389.170219979947
33,2441.0184639501385
34,7825.364798224997
35,-5847.343261132482
36,4729.675168004585
37,-2951.5581748168916
38,16530.037110817386
39,15617.65329496446
40,15971.042843026575
41,-3198.740917703137
42,2284.271470051026
43,-6930.8860787963495
44,-2808.985280302586
45,-1971.2563339432236
46,6425.267531382851
47,-654.8960367990658
48,-109.61044772597961
49,5921.724427718902
50,-7378.197151449043
51,7524.250326611102
52,3835.9676055603195
53,-2513.866236448055
54,-1004.2810937468894
55,4530.353087047115
56,-938.3857699590735
57,1135.5350378458388
58,696.7174657471478
59,4612.996762494091
60,-6835.67945897649
61,905.7484374255873
