,0
0,1355121.7858947986
1,1371582.9727967791
2,1381747.8209857356
3,1380366.0817846404
4,1380366.0817846404
5,1380366.0817846404
6,1380366.0817846404
7,1380366.0817846404
8,1380366.0817846404
9,1380366.0817846404
10,1380366.0817846404
11,1380366.0817846404
12,1380366.0817846404
13,1380366.0817846404
14,1380366.0817846404
15,1380366.0817846404
16,1380366.0817846404
17,1380366.0817846404
18,1380366.0817846404
19,1380366.0817846404
20,1380366.0817846404
21,1380366.0817846404
22,1380366.0817846404
23,1380366.0817846404
24,1380366.0817846404
25,1380366.0817846404
26,1380366.0817846404
27,1380366.0817846404
28,1380366.0817846404
29,1380366.0817846404
30,1380366.0817846404
31,1380366.0817846404
32,1380366.0817846404
33,1380366.0817846404
34,1380366.0817846404
35,1380366.0817846404
36,1380366.0817846404
37,1380366.0817846404
38,1380366.0817846404
39,1380366.0817846404
40,1380366.0817846404
41,1380366.0817846404
42,1380366.0817846404
43,1380366.0817846404
44,1380366.0817846404
45,1380366.0817846404
46,1380366.0817846404
47,1380366.0817846404
48,1380366.0817846404
49,1380366.0817846404
50,1380366.0817846404
51,1378067.7281605965
52,1379606.7114449916
53,1379092.8745871638
54,1367501.5795709845
55,1357561.3820836707
56,1373278.3686194755
57,1363087.8018416073
58,1360122.129576894
59,1371594.590017492
60,1349278.329113947
61,1365300.605687203
62,1371979.0446762121
