,0
0,1326436.0639823505
1,1326425.4571823506
2,1326417.9034323506
3,1326417.9034323506
4,1326417.9034323506
5,1326417.9034323506
6,1326417.9034323506
7,1326417.9034323506
8,1326417.9034323506
9,1326417.9034323506
10,1326417.9034323506
11,1326417.9034323506
12,1326417.9034323506
13,1326417.9034323506
14,1326417.9034323506
15,1326417.9034323506
16,1326417.9034323506
17,1326417.9034323506
18,1326417.9034323506
19,1326417.9034323506
20,1326417.9034323506
21,1326417.9034323506
22,1326417.9034323506
23,1326417.9034323506
24,1326417.9034323506
25,1326417.9034323506
26,1326417.9034323506
27,1326417.9034323506
28,1326417.9034323506
29,1326417.9034323506
30,1326417.9034323506
31,1326417.9034323506
32,1326417.9034323506
33,1326417.9034323506
34,1326417.9034323506
35,1326417.9034323506
36,1326417.9034323506
37,1326417.9034323506
38,1326417.9034323506
39,1326417.9034323506
40,1326417.9034323506
41,1326417.9034323506
42,1326417.9034323506
43,1326417.9034323506
44,1326417.9034323506
45,1326417.9034323506
46,1326417.9034323506
47,1326417.9034323506
48,1326417.9034323506
49,1326417.9034323506
50,1326417.9034323506
51,1326417.9034323506
52,1326417.9034323506
53,1326417.9034323506
54,1326417.9034323506
55,1326417.9034323506
56,1326417.9034323506
57,1326306.56061235
58,1326341.5677023502
59,1326428.6916123498
60,1326515.8125223496
61,1326714.09035235
62,1326704.3276223498
63,1326405.2284223498
