,0
0,1000000.0
1,999968.7993893716
2,1000008.0314225289
3,999727.7910704635
4,999745.0090255424
5,999416.9785398281
6,999063.4291419849
7,999208.0543474613
8,998396.7780582653
9,998383.5291546962
10,998532.5127166632
11,996879.8940997056
12,998265.6831102212
13,997816.6038507677
14,997843.7558339874
15,997976.6574196882
16,998799.153078084
17,1000205.4663829863
18,998325.1712142767
19,997391.3246901911
20,997485.323523463
21,998468.3383727556
22,997770.1198882583
23,998916.6450364913
24,1000840.5404293463
25,1000478.2190663822
26,996488.8662780571
27,997136.4756500864
28,997744.574274715
29,996119.2739135775
30,991964.4524663327
31,992022.0630232254
32,991003.5217246361
33,989801.9116436891
34,986670.7478478091
35,990170.896074449
36,989017.6509436361
37,986849.5845869052
38,983808.2876762879
39,979581.1663484245
40,978955.2344938357
41,980131.619124912
42,974271.1308725459
43,975877.0762564786
44,974152.140144298
45,981284.6915687083
46,980951.0823823351
47,986297.3314526906
48,988886.1713791976
49,987737.8031781677
50,991857.4518353619
51,994422.9999282279
52,991249.4440471851
53,988901.5870665191
54,1000402.3027183863
55,996762.8248448625
56,999125.6113340273
57,1002771.0555258312
58,998917.8754805212
59,993236.93622731
60,995643.6068370906
61,999971.670763733
62,1003503.2174190693
63,1004776.8229924785
64,1004113.2504161136
65,1000182.476411229
66,1001836.4078402682
67,1010357.9463801354
68,1010599.1751697311
69,1004830.4476983147
70,1009562.0260442791
71,1011588.7961187834
72,1012617.4997113866
73,1002974.4358180384
74,1007339.063443372
75,1003805.2077363802
76,1007623.8799439914
77,1013507.2730184844
78,1010640.1464447218
79,1011176.2839140624
80,1016957.735605642
81,1018660.3976941947
82,1018413.2316779441
83,1027364.6041456243
84,1025566.4564010121
85,1026734.7417921115
86,1024971.4880097364
87,1035008.1686914869
88,1027260.821716116
89,1028676.0792142607
90,1022115.6311800817
91,1027291.5008513909
92,1025228.9400130068
93,1035700.2204655592
94,1032299.400476217
95,1029300.0093435798
96,1025141.3333080029
97,1024943.0666704872
98,1032657.405773856
99,1025949.7744641474
100,1030771.4193654745
101,1036046.446336068
102,1042066.7627080852
103,1044731.5270560866
104,1040798.9326726905
105,1044474.734915054
106,1043175.8576433193
107,1043063.7930220923
108,1044876.5477525629
109,1043861.568655497
110,1043356.01885863
111,1042839.8249028029
112,1035537.0903453248
113,1031035.0228551255
114,1030789.6556717347
115,1034753.4939888567
116,1036765.238451424
117,1023620.8992258075
118,1023054.0922658157
119,1022681.9023347951
120,1031881.8193340317
121,1031160.5164356413
122,1036122.6741556629
123,1033487.6094741642
124,1035228.5939472793
125,1021660.9257118186
126,1025123.9775589434
127,1017718.1587742292
128,1018787.7147719972
129,1018068.1586615394
130,1015443.4299800253
131,1027656.3721479881
132,1029319.1125131643
133,1046619.1156302579
134,1049346.5160745396
135,1051405.041056284
136,1056982.4683460598
137,1062280.8806784945
138,1062149.9583436926
139,1073692.5251971881
140,1074174.4496271485
141,1072836.7408937756
142,1070850.9736878735
143,1070547.1469304948
144,1076116.4466097425
145,1074804.0908208448
146,1082661.9377532818
147,1084355.8364225542
148,1087074.3360162503
149,1084980.263536434
150,1090528.1100093718
151,1089596.48194138
152,1082500.159572585
153,1090547.4920892166
154,1093311.8397472515
155,1088560.8658482612
156,1074433.6530355802
157,1080669.6726447237
158,1085455.580591154
159,1091006.6772773622
160,1104126.539897141
161,1104506.5014253752
162,1104041.333733442
163,1104216.6892210187
164,1105357.2282245536
165,1104351.9086488239
166,1101005.78819735
167,1086643.9751871098
168,1083458.7750358207
169,1087796.565223548
170,1097954.2191663373
171,1104165.5799277795
172,1110127.2840173566
173,1114081.2715899693
174,1112554.2936348575
175,1119835.4028831902
176,1120707.722304353
177,1129309.2050539819
178,1130081.7522792495
179,1131351.442136508
180,1125470.2568113182
181,1132258.6506715298
182,1124398.0802822085
183,1120787.0412440444
184,1114875.2355388328
185,1129080.2404358527
186,1125494.9818556232
187,1121319.692275572
188,1100487.2592440508
189,1099431.9961728002
190,1110101.647741301
191,1120809.2265998314
192,1122960.8178009756
193,1129100.2737712949
194,1133859.496050427
195,1137578.0096635455
196,1133236.8347460167
197,1146201.8454704857
198,1151781.3216956882
199,1145869.6756494264
200,1153431.546067498
201,1151664.1964450742
202,1143685.5310068976
203,1158988.3654834856
204,1148285.855102642
205,1142757.244306617
206,1146475.3130241516
207,1130976.1722869587
208,1144860.6887217457
209,1115849.8733170175
210,1124943.4288193118
211,1122287.842031708
212,1126891.2058417196
213,1146679.2088424833
214,1146668.1090135535
215,1166751.682377201
216,1169421.045146244
217,1174350.3904958114
218,1174218.542814978
219,1180246.3569915008
220,1193328.697261996
221,1199047.8813208423
222,1198469.4818903443
223,1188202.8343985868
224,1187881.6480487937
225,1199715.0204857006
226,1198264.089597821
227,1201728.8318324077
228,1184013.1497000207
229,1189587.8398966244
230,1196904.5738355548
231,1196834.5888877455
232,1183449.3311818428
233,1183937.4851453677
234,1183521.8224378517
235,1175835.5778194538
236,1180167.4079082464
237,1182096.6757935295
238,1184778.270896737
239,1187926.5318980294
240,1180372.4296063501
241,1181337.7122393984
242,1166041.7773510225
243,1169014.1072169256
244,1178157.7173039387
245,1182731.1681477178
246,1184102.0676218667
247,1192095.911930686
248,1195720.2438000718
249,1194011.2160889197
250,1192749.9069579018
251,1181552.6144130656
252,1201367.6346856623
253,1204745.754277411
254,1209683.756680822
255,1212376.0674403198
256,1212239.9998563419
257,1212539.1653504497
258,1209161.9609896566
259,1217483.60838496
260,1223862.79533322
261,1211137.3140819161
262,1225516.7767310978
263,1215979.0990059369
264,1185508.111793084
265,1154610.1836118882
266,1157776.1088483527
267,1156250.3758340082
268,1162375.4542285926
269,1147259.7965006058
270,1137920.9768480423
271,1155587.8167965037
272,1165261.0629672802
273,1159642.6694231757
274,1126705.7231623232
275,1128872.0833547194
276,1117105.8921458567
277,1136851.6812839815
278,1134709.4475427673
279,1144680.8644037854
280,1141054.254786606
281,1162954.268251604
282,1165174.5569400936
283,1176047.619869808
284,1170906.8362982192
285,1170391.395435944
286,1155792.8670127562
287,1168445.4959630177
288,1159815.2672291202
289,1163670.2948938091
290,1173546.0546416868
291,1173794.6536732889
292,1176491.1719885648
293,1180925.4214624818
294,1199334.1969999452
295,1194088.9959634023
296,1195577.0651847208
297,1197496.2450105536
298,1202789.0855665077
299,1204702.344223287
300,1205060.72889929
301,1211352.0942766464
302,1216120.5749654968
303,1217326.2346791914
304,1210270.8442211228
305,1215314.914467484
306,1224485.6347762663
307,1220922.4019663949
308,1219434.9894630236
309,1220000.9607566993
310,1224118.0999127824
311,1224636.4109919416
312,1220923.0908713515
313,1231565.2182536558
314,1239444.0640158309
315,1240209.549453875
316,1231237.874437023
317,1237054.1578808406
318,1245316.930353612
319,1246666.6098321872
320,1248704.0558794579
321,1261384.772555441
322,1263049.8097872094
323,1245045.3453913329
324,1253675.4916652911
325,1256475.0438242808
326,1258263.0145422586
327,1257863.0037540155
