,0
0,1000000.0
1,999729.0206142205
2,999570.9410644491
3,996620.9827448577
4,997322.1434092792
5,993976.7911389797
6,988624.0400084322
7,988857.4828125807
8,980698.7842383974
9,981116.2652502044
10,984193.6378187255
11,957966.4959410315
12,977916.3471174128
13,973029.3326979298
14,978138.6411642507
15,980884.7561470699
16,994107.7368001351
17,1020716.3081949236
18,992730.0432112698
19,984899.2187519637
20,989800.0023846292
21,1001743.8823684818
22,1007843.2361621037
23,1031275.979816278
24,1061796.957575233
25,1063091.5301838405
26,1008590.2952368102
27,1025301.986069184
28,1026408.463353091
29,1018566.2254647966
30,959984.1296078957
31,958689.928395939
32,957346.9554614488
33,942712.2510057078
34,908943.7172913497
35,965483.7222040861
36,948710.757912831
37,943512.8217936975
38,920494.2424611804
39,879991.0616434101
40,865185.1187484579
41,886813.704847649
42,845907.003787704
43,839575.6348675914
44,830362.4265836127
45,898021.852145212
46,913122.9894745047
47,949739.8439847762
48,961144.0899221363
49,943706.1138817972
50,981307.2018546166
51,1008171.8451656048
52,983611.6367849236
53,965037.5022591709
54,1049638.3457102932
55,1034321.9620868317
56,1048632.0355120858
57,1057690.9900280607
58,1033207.0699097012
59,994752.9789324636
60,1016298.3401105012
61,1040999.8179061533
62,1065685.555281129
63,1081074.3986585843
64,1070610.886166503
65,1052760.6560008253
66,1053129.0525627579
67,1092916.5383061313
68,1099758.2284943187
69,1049392.4145687271
70,1073193.5207793615
71,1072077.7162207894
72,1068055.0582344546
73,1029968.3853546329
74,1057407.3173218505
75,1040442.7978391004
76,1056974.6615115409
77,1058146.806072767
78,1053460.6267921592
79,1057357.570237739
80,1091435.1344724072
81,1083754.1146689227
82,1087015.1225672283
83,1117859.4027764904
84,1108983.2411198074
85,1126426.8573646655
86,1106156.658545124
87,1141195.758714905
88,1109945.7849086078
89,1120224.1934275054
90,1098108.32782116
91,1115027.4123363832
92,1109577.7271579432
93,1148003.61676783
94,1133051.568700412
95,1113793.1160211335
96,1109097.6250798143
97,1107998.7355823645
98,1141011.1948608453
99,1112219.095537436
100,1133044.1770358735
101,1143092.9430105502
102,1161602.5244211114
103,1164099.2660421822
104,1156803.3802982122
105,1180988.1206509848
106,1177407.5896859956
107,1179295.5523033536
108,1182124.379372121
109,1173441.779064093
110,1170273.5701816555
111,1169880.3874221179
112,1146159.4921505996
113,1142059.1243637397
114,1139247.8612666742
115,1152412.786689389
116,1153511.0878196668
117,1122937.8192920256
118,1126997.1830008351
119,1131850.5920445544
120,1147441.2449691615
121,1151970.770830951
122,1160002.7776159346
123,1153155.0850983611
124,1155714.0173852732
125,1122560.5249769432
126,1135852.554966852
127,1118994.650167148
128,1119477.570837194
129,1125067.6462412472
130,1118917.5420927084
131,1154969.1484236887
132,1156251.337492777
133,1186826.8015152214
134,1193286.065154064
135,1198444.3253679068
136,1206355.2981939013
137,1209241.4233344938
138,1216043.3029350226
139,1242405.2032972823
140,1253062.072500835
141,1253562.7428559896
142,1243840.6668447761
143,1239172.3111020015
144,1247738.0364214242
145,1250844.3580051416
146,1269434.4019610898
147,1277502.9543847234
148,1281625.235938273
149,1274067.797875342
150,1280440.3679415295
151,1275191.4767152267
152,1257158.5894862334
153,1280965.9226616547
154,1294013.9215048798
155,1284257.8559721594
156,1258647.263558241
157,1275824.5417008912
158,1281402.955035089
159,1289856.4827284876
160,1302299.085850797
161,1298064.3591075125
162,1307984.6057793961
163,1310150.4896599113
164,1311303.1190335937
165,1313264.4545669185
166,1318699.6117748306
167,1291519.1203878762
168,1283554.226874715
169,1297084.3230378795
170,1308404.3513165687
171,1312064.1167892502
172,1320172.8634900947
173,1322523.3906684392
174,1316629.343824731
175,1326872.0655073153
176,1324778.055451527
177,1337143.0880900188
178,1334668.1143795007
179,1335989.773981241
180,1334750.3771873538
181,1343394.546632786
182,1333352.9228872997
183,1329297.9895336581
184,1323165.7943546236
185,1348017.5700626196
186,1342494.8549177733
187,1340917.2193508444
188,1315492.5190769369
189,1318062.3232662473
190,1327697.5010856313
191,1345061.8232948764
192,1346158.5643078692
193,1344446.7622668513
194,1358095.2258027715
195,1366347.5020453795
196,1348072.2155069534
197,1358250.9172672746
198,1360820.4975707037
199,1353186.775452331
200,1364399.4176106073
201,1359193.047039025
202,1349271.4870712035
203,1388782.2026269694
204,1376546.7841575288
205,1368146.7845255143
206,1363987.4276035388
207,1344128.7813762492
208,1366854.4187078692
209,1329060.7697362292
210,1337498.613307419
211,1328626.2390441927
212,1334942.0542231314
213,1352026.201728338
214,1364677.330905366
215,1393230.0204621882
216,1400603.9267757135
217,1405000.81329611
218,1393120.2885305006
219,1399774.4447466182
220,1410270.3277650988
221,1413107.9382347467
222,1414235.0499189773
223,1401105.8744324157
224,1396948.5735271329
225,1413120.6791431496
226,1415698.493412311
227,1414985.818675718
