,0
0,-3818.463656032225
1,14516.963536802446
2,-1166.904197918484
3,-6946.496642929036
4,-274.0377806769684
5,-2003.9330907303374
6,-4606.809815463144
7,-1818.086289850995
8,9336.489837013418
9,-11693.699217529967
10,11231.575497139478
11,-2409.946474004537
12,13070.07951299008
13,-4581.177776870551
14,3121.452620360302
15,-3524.6830838632304
16,-1819.1652851451654
17,-12972.784128274303
18,30.971874721813947
19,4957.185729352292
20,4879.149976626039
21,5993.17015657411
22,3467.8769992773887
23,-2482.770577370422
24,2328.3683153125457
25,6524.069845071528
26,-3366.9447161615826
27,162.48809348745272
28,-4191.649398871232
29,-3059.079739966197
30,-8302.865130478283
31,14583.673510405468
32,-5864.9383465389255
33,-2958.4799069177825
34,7448.797542252578
35,374.5776376130525
36,-2493.965240157675
37,-4934.406902458752
38,18708.479558672756
39,-1135.7908796826378
40,16170.205926495837
41,-5324.058561846614
42,467.9441536758095
43,-9015.741845496465
44,-2573.902597088134
45,-1054.7420997649897
46,13880.835903479485
47,7403.779051289661
48,9369.212612951873
49,59.89063115580939
50,-8426.612806485733
51,14413.271440349286
52,6644.20836746064
53,-7844.248244857416
54,-119.12983584566973
55,10280.372055890271
56,-5655.14809567621
57,3559.4562889670487
58,-2338.144644429907
59,1901.0428061278071
60,-5852.66358904005
61,18887.71571503766
