,0
0,1451808.5832211657
1,1450170.9628618357
2,1450002.1765519672
3,1450002.1765519672
4,1450002.1765519672
5,1450002.1765519672
6,1450002.1765519672
7,1450002.1765519672
8,1450002.1765519672
9,1450002.1765519672
10,1450002.1765519672
11,1450002.1765519672
12,1450002.1765519672
13,1450002.1765519672
14,1450002.1765519672
15,1450002.1765519672
16,1450002.1765519672
17,1450002.1765519672
18,1450002.1765519672
19,1450002.1765519672
20,1450002.1765519672
21,1450002.1765519672
22,1450002.1765519672
23,1450002.1765519672
24,1450002.1765519672
25,1450002.1765519672
26,1450002.1765519672
27,1450002.1765519672
28,1450002.1765519672
29,1450002.1765519672
30,1450002.1765519672
31,1450002.1765519672
32,1450002.1765519672
33,1450002.1765519672
34,1450002.1765519672
35,1450002.1765519672
36,1450002.1765519672
37,1450002.1765519672
38,1450002.1765519672
39,1450002.1765519672
40,1450002.1765519672
41,1450002.1765519672
42,1450002.1765519672
43,1450002.1765519672
44,1450002.1765519672
45,1450002.1765519672
46,1450002.1765519672
47,1450002.1765519672
48,1450002.1765519672
49,1450002.1765519672
50,1450002.1765519672
51,1450002.1765519672
52,1450002.1765519672
53,1450002.1765519672
54,1450002.1765519672
55,1450002.1765519672
56,1450002.1765519672
57,1449160.126701132
58,1450327.469948073
59,1453663.3933126037
60,1456696.174864856
61,1461308.238555682
62,1460093.9152512145
