,0
0,1193284.4865755143
1,1197523.6387861746
2,1195414.317884155
3,1203205.1248727422
4,1198292.8256209784
5,1196612.3650817522
6,1204609.5368665403
7,1197783.3903420041
8,1198396.746901548
9,1188900.5166074946
10,1188910.2782426102
11,1182391.883370546
12,1185712.9455612237
13,1184683.2362600002
14,1193566.3261488085
15,1203564.1719218784
16,1205716.1664798232
17,1203462.0621346205
18,1196717.7060612752
19,1189060.923058782
20,1191842.9424348306
21,1192663.4060967178
22,1210448.3028095558
23,1209157.5430447012
24,1208670.8444161536
25,1205042.1686724003
26,1213519.250073261
27,1217962.7711245695
28,1227500.775925272
29,1234007.109849259
30,1240013.2403206392
31,1240335.5734370898
32,1240114.0982945515
33,1247720.4570309601
34,1247605.9868105731
35,1248782.3786975127
36,1247938.7333121933
37,1250241.460867774
38,1248264.950030267
39,1266270.9004673327
40,1260259.046048638
41,1261489.2677442362
42,1257146.0601344071
43,1254590.7706596733
44,1249120.6580856163
45,1251457.3589906541
46,1253646.1345146326
47,1252145.8351556857
48,1249782.5564935643
49,1256229.4851933543
50,1254866.2118565617
51,1251712.9693576985
52,1248989.116050267
53,1234135.3736320522
54,1233793.0868889708
55,1232942.4909623854
56,1229958.7784280921
57,1226993.3756139304
58,1236731.7327118209
59,1234612.9302632941
60,1239364.3611936693
61,1234858.761171617
62,1234408.2649396101
63,1235954.5761814194
