,0
0,5402.957128046779
1,-2029.6816759224748
2,13409.409823231399
3,4658.735340768006
4,4899.459920173977
5,135.09462000010535
6,7585.209049999947
7,295.2361300000921
8,1405.0289599997923
9,1687.3637800000142
10,3386.9523600002285
11,-3489.473800000269
12,2786.673720000079
13,-5483.991790000116
14,-2220.5877299997956
15,5168.0466000000015
16,-893.9630900002085
17,383.16877999994904
18,-335.9154499997385
19,-6162.810079999967
20,3024.6642199999187
21,166.39841999998316
22,10772.629939999897
23,-932.8207200001925
24,1310.66799000022
25,-1802.6026699999347
26,4907.999180969549
27,-1716.3510552360676
28,2902.4311109571718
29,-5687.3562749084085
30,829.5363803270739
31,1829.481815619627
32,-4781.431409681914
33,-2665.443743978627
34,622.7274198797531
35,-3609.7776797716506
36,-2182.6482244466897
37,-3695.0607655264903
38,4862.052914221305
39,-4781.061126417248
40,-2857.887100630207
41,2972.0869275007863
42,4189.10159752192
43,3089.0102693967056
44,-221.1912755444646
45,-5814.826193867484
46,-22971.569985997397
47,15345.327793674776
48,-9117.519200521987
49,2589.7595402044244
50,13280.121652670205
51,-5989.4199309933465
52,-3158.4083393486217
53,817.7497555140872
54,7487.035774224671
55,7136.2711946715135
56,-6638.733650386799
57,-8982.012792835478
58,7383.564918647055
59,6227.866267758887
60,-12117.973220720189
61,9993.39259011997
62,-2237.680099291727
