,0
0,1000000.0
1,999949.2257660684
2,1000019.2596189962
3,999704.1338090381
4,999686.5314703045
5,999391.6006859281
6,999025.969867467
7,999051.7545523351
8,998345.7266196198
9,998259.0546891342
10,998256.6111959978
11,996020.1160617138
12,997797.9682260039
13,997502.2403645673
14,997738.2267513212
15,997462.7314594833
16,998149.7809829237
17,1000286.5217447748
18,998538.3341674841
19,997053.7860994397
20,996442.5805795696
21,997302.8852646952
22,996466.8972169104
23,997618.6984859807
24,999743.0893165754
25,999690.2524470884
26,996067.9013714875
27,996823.0409744685
28,996708.0035701212
29,995525.3753271899
30,991453.2996187177
31,991416.697426075
32,990874.1682832185
33,989499.754972147
34,986665.9894631654
35,991511.5423510501
36,990205.9896133178
37,989222.2213964559
38,987547.0268743857
39,983494.1531379548
40,982361.4779226308
41,983875.6074652537
42,978592.994175612
43,977506.8094298993
44,975266.6153220884
45,983129.5460861981
46,985075.2928151916
47,990971.7476073811
48,994152.1439968614
49,991745.6156252618
50,996864.7725346116
51,1001470.2970087455
52,996416.8000317023
53,993603.113217327
54,1006427.1098003469
55,1002931.9939839192
56,1006050.146641101
57,1008476.9210242114
58,1004339.3625784079
59,998318.9755315643
60,1001894.527386653
61,1005976.6388439129
62,1010414.0405352435
63,1013142.0136239558
64,1011401.5792271596
65,1007896.7727326143
66,1008982.4774001827
67,1017722.1491917521
68,1019022.7811068132
69,1009698.389723125
70,1014901.7089070538
71,1017747.5926377679
72,1018260.9624434824
73,1010005.3954341969
74,1014983.4670856254
75,1012973.3752938397
76,1015670.1017984825
77,1017064.7183577681
78,1016559.9383395542
79,1016085.2825474112
80,1022471.7296420538
81,1021057.4926599108
82,1020348.4162713393
83,1028565.9613227681
84,1027706.3125449108
85,1033685.310954911
86,1029216.9398213394
87,1036737.1513227682
88,1029333.5024599112
89,1029534.232017054
90,1023696.9270341967
91,1027466.1694470538
92,1025901.5774749109
93,1037171.3915527682
94,1033935.2972956256
95,1030933.5462413398
96,1027861.9536570538
97,1027464.9803295537
98,1037162.4502945537
99,1029893.2764745534
100,1035316.5370724106
101,1037820.448135982
102,1042751.5064502675
103,1042219.9956116964
104,1040691.8076270536
105,1045069.3521074107
106,1044337.4579102679
107,1044478.9741938391
108,1043602.9019009823
109,1040895.005770625
110,1040586.6461541965
111,1042105.5309970535
112,1033841.1446341965
113,1029735.917267768
114,1028140.1248945539
115,1033899.6248613398
116,1034673.3758691971
117,1024352.3423256257
118,1025084.6581827682
119,1025136.4298513397
120,1033162.4080763396
121,1034734.5869270539
122,1039402.1720384823
123,1035989.2228159821
124,1037687.3515616963
125,1027903.135295982
126,1032816.128080982
127,1026037.8771106252
128,1025499.0839506249
129,1027816.1723956249
130,1024857.8383884823
131,1036377.9461649109
132,1038809.629784197
133,1049472.838730626
134,1053781.5304174116
135,1055542.7399991974
136,1059898.2866656259
137,1062094.2770514828
138,1062285.3467743401
139,1073394.4367139828
140,1074115.2229946973
141,1073531.4213383403
142,1070756.4542611972
143,1068689.2165433397
144,1073844.723985483
145,1073402.30842834
146,1078246.2569804827
147,1079416.1006841257
148,1080889.423327697
149,1075404.9648519824
150,1080467.0694992684
151,1077183.8253153397
152,1072539.0611753394
153,1080564.0969210537
154,1083565.9951835538
155,1078499.5049464107
156,1066477.5091406966
157,1072753.5530806964
158,1074676.197304268
159,1079602.2987835533
160,1089416.130519625
161,1087008.0182417678
162,1091552.9870231966
163,1091024.4381874825
164,1091933.892356768
165,1089352.396326054
166,1090598.6305646251
167,1075569.994539625
168,1070272.160768911
169,1075671.619349625
170,1080308.957204625
171,1089285.9636024823
172,1094504.0323253395
173,1106701.4472703394
174,1104842.2753703394
175,1110157.4914153395
176,1108690.5576917678
177,1117398.5300081964
178,1118924.6560024822
179,1124115.055426482
180,1120850.5279014823
181,1126937.038939339
182,1120372.7654379108
183,1118203.4109579106
184,1113347.556978982
185,1123797.7817418391
186,1122205.2517368107
187,1120239.8689621678
188,1103360.952952168
189,1103739.8931180248
190,1116392.061015882
191,1124238.2127323104
192,1126423.354821596
193,1129709.3664458818
194,1132679.1470923107
195,1134788.6648269533
196,1130984.1921784533
197,1143616.941652739
198,1142851.9767870246
199,1136890.5788253103
200,1142005.7167153102
201,1138910.1201781675
202,1126747.6827317388
203,1139378.5654428105
204,1130780.1219838818
205,1122280.4724795958
206,1121652.7159795961
207,1106793.573514596
208,1125107.2015138818
209,1100881.63711031
210,1106932.4994617389
211,1105854.8403538817
212,1108772.4200331673
213,1125883.5104281674
214,1124930.1967116673
215,1141238.986165239
216,1142374.20881381
217,1147701.8863202387
218,1139446.555220953
219,1141833.2667794577
220,1149533.5150540113
221,1150113.0213648905
222,1151519.369388294
223,1141885.6949155382
224,1139537.878927691
225,1150235.6606099836
226,1147178.7650983797
227,1148159.9803655222
228,1135252.3015990935
229,1142543.9822705223
230,1149212.6662340937
231,1147961.6536448079
232,1138320.6782769505
233,1145089.9877144508
234,1141205.452916565
235,1132191.4347133941
236,1142892.6377636057
237,1148425.9860742106
238,1151009.977016191
239,1157631.5508277286
240,1152765.21003168
241,1154692.2874899292
242,1141381.4269724812
243,1146236.9994429161
244,1153685.0991223478
245,1154978.329572355
246,1152282.0932776148
247,1154005.6226723446
248,1155245.7760755348
249,1157542.0566647144
250,1158350.66757699
251,1153749.350748385
252,1164892.6633223812
253,1169509.285574605
254,1168580.9785352708
255,1174411.7399351536
256,1171622.3813867918
257,1166013.0770182954
258,1159794.1078728158
259,1168529.7541055991
260,1170828.0267716558
261,1161199.4034965907
262,1172624.001682662
263,1168566.506997662
264,1145833.503047662
265,1128334.424857662
266,1129967.207455519
267,1123782.0226026615
268,1128167.5219877139
269,1125238.1750881777
270,1120980.8787050932
271,1130710.373297806
272,1144459.7021403173
273,1141687.9110576168
274,1114545.3755049745
275,1114049.2353741925
276,1107874.9442456507
277,1117839.46896495
278,1117860.1171085804
279,1126111.0117019978
280,1122655.8753458066
281,1138738.0760465192
282,1140316.8549349366
283,1145070.4183526007
284,1146204.874005154
285,1145759.4800174765
286,1139279.7656291984
287,1149699.6400165658
288,1145124.7387324432
289,1147861.232765442
290,1152700.854735003
291,1156156.1315155171
292,1153467.6575100557
293,1160750.0630548787
294,1172768.2351256895
295,1172836.9887196687
296,1171093.9517030045
297,1172359.8865235897
298,1178148.6166255833
299,1181044.6898879602
300,1183454.2208622773
301,1186431.1312763046
302,1191371.043059209
303,1194817.8456175225
304,1190011.2268037843
305,1192757.0766953642
306,1198845.3875944556
307,1192547.5395572581
308,1193873.1761499797
309,1193763.377250088
310,1196054.8175223903
311,1197436.0027519716
312,1192493.265525015
313,1198871.832378986
314,1203418.4642364744
315,1202481.6532653964
316,1197353.8835301832
317,1202677.7430308347
318,1210022.1894835555
319,1209717.333711721
320,1213544.550417631
321,1226239.8210498437
322,1227420.5180107232
323,1199311.8144002499
324,1205348.4411334128
325,1208243.5857546197
326,1205358.0519841565
327,1204323.3919871734
328,1213883.1484177718
329,1209127.3904789626
330,1190383.1743741462
331,1197354.9087219003
332,1208779.2148427912
333,1187836.5459392166
334,1204833.3095263366
335,1189093.4138615006
336,1181210.489203103
337,1144200.7958041439
338,1132646.338680753
339,1172654.8686404203
340,1168393.94310712
341,1178451.1764297697
342,1164785.8638851254
343,1149896.7762696787
344,1152692.845658121
345,1136336.0317445393
346,1135052.1964651176
347,1098946.9199536168
348,1116847.5397265109
349,1104211.519371018
350,1108785.3331557238
351,1105315.0016360346
352,1134150.8022103996
353,1121904.0046096146
354,1109819.9005177817
355,1130770.35294898
356,1127354.1255470207
357,1095895.1397974724
358,1083295.4440750813
359,1095858.4485974247
360,1089398.55971981
361,1114814.1935783313
362,1114113.605888298
363,1108852.556467543
364,1130989.5181945544
365,1129599.8866194852
366,1132477.7997429995
367,1133697.7401108071
368,1129260.2099254853
369,1112518.7254661662
370,1114650.4831340776
371,1098018.6956923157
372,1103713.7081438205
373,1098693.2873950477
374,1074797.5308842326
375,1063313.443281511
