date,trade,sell,buy
20180406,24,8,16
20180409,22,6,16
20180410,21,6,15
20180411,23,7,16
20180412,22,7,15
20180413,22,6,16
20180416,22,6,16
20180417,21,3,18
20180418,20,7,13
20180419,20,5,15
20180420,20,20,0
20180423,0,0,0
20180424,0,0,0
20180425,0,0,0
20180426,0,0,0
20180427,0,0,0
20180430,0,0,0
20180501,0,0,0
20180502,0,0,0
20180503,0,0,0
20180504,0,0,0
20180507,0,0,0
20180508,0,0,0
20180509,0,0,0
20180510,0,0,0
20180511,0,0,0
20180514,0,0,0
20180515,0,0,0
20180516,16,0,16
20180517,16,16,0
20180518,17,0,17
20180521,17,2,15
20180522,16,2,14
20180523,17,2,15
20180524,17,3,14
20180525,16,0,16
20180529,17,2,15
20180530,19,4,15
20180531,20,1,19
20180601,20,0,20
20180604,21,1,20
20180605,20,0,20
20180606,21,0,21
20180607,22,6,16
20180608,21,7,14
20180611,21,7,14
20180612,23,7,16
20180613,24,5,19
20180614,23,4,19
20180615,24,8,16
20180618,21,6,15
20180619,25,8,17
20180620,21,4,17
20180621,22,4,18
20180622,22,5,17
20180625,21,3,18
20180626,20,2,18
20180627,20,2,18
20180628,21,2,19
20180629,21,3,18
20180702,20,20,0
20180703,0,0,0
20180705,17,0,17
