,0
0,1183948.2263930447
1,1189567.8390988733
2,1193313.2274154532
3,1194545.0098794848
4,1193702.397819089
5,1194498.6032144101
6,1188952.8775301569
7,1179400.1926057565
8,1189238.8103187927
9,1182873.3775347755
10,1177315.6033884557
11,1183659.0373332805
12,1183941.8172572677
13,1192691.9404313145
14,1201066.8222764863
15,1196589.4339914047
16,1200266.0003103148
17,1205007.4098274668
18,1199356.5051814506
19,1198157.172041058
20,1197875.7815320566
21,1198206.0017628418
22,1199225.1343836416
23,1196844.3880699058
24,1196175.973969762
25,1196175.973969762
26,1196175.973969762
27,1195936.5076095273
28,1195742.41821087
29,1195742.41821087
30,1195742.41821087
31,1195742.41821087
32,1195742.41821087
33,1195742.41821087
34,1195534.7254271144
35,1196961.0525978247
36,1196583.8447821843
37,1196685.3544445906
38,1195327.0645309007
39,1195881.44739792
40,1199614.5491222795
41,1202468.1746633428
42,1201644.174124716
43,1197582.8390383201
44,1199299.0887940228
45,1201744.386955358
46,1213072.5066012477
47,1213636.357462254
48,1218255.0216576548
49,1221525.8961607812
50,1221693.9083129962
51,1223558.5952990423
52,1231887.7880910493
53,1230207.7207283892
54,1227246.9299003482
55,1227093.998587472
56,1226988.1640236988
57,1229772.1552570346
58,1223494.2428873153
59,1229256.0745825763
60,1219977.8701455547
61,1224207.4144123064
62,1234481.5714185203
