,0
0,-3916.5699766129255
1,15866.957004805794
2,-1467.5964434398338
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-2008.0947021485772
51,546.7711148816161
52,-1103.7532678253483
53,-8719.599772751797
54,-9211.062660903204
55,14879.115650682477
56,-7668.122988664778
57,-229.7743760352023
58,4973.614291996695
59,-12399.988553612493
60,13317.959020968992
61,9787.358882157365
