,0
0,1000000.0
1,999899.7402112624
2,999568.0119066424
3,996612.4480697268
4,995474.7708006087
5,993311.6461987372
6,990327.2861213521
7,989503.6715820403
8,983280.8607636795
9,984892.2278959763
10,988364.2577583916
11,976397.7277069314
12,982534.5318074217
13,982189.4745837458
14,979210.2239341654
15,978604.8637378511
16,987385.9186483128
17,998651.7782379286
18,986397.2592272998
19,980789.5232624798
20,980322.933978101
21,988437.1961882962
22,977946.5368661556
23,983637.9608310324
24,995955.2538588734
25,999157.0350814187
26,971850.5140703062
27,982332.0942581068
28,985984.9719430695
29,975263.4224205872
30,955282.9340842072
31,954108.6202970891
32,952947.5392053998
33,938391.4429790998
34,908909.3297972494
35,930365.475382301
36,906541.232753547
37,880544.7763860063
38,863850.4966495194
39,831695.8579187611
40,826039.5904970934
41,843322.2627958404
42,810038.781753
43,822198.6136019817
44,804949.5296927142
45,847102.2710226459
46,840145.1568615142
47,874828.1090063727
48,890406.45757974
49,884324.5814878381
50,909276.9908189483
51,918754.5197655379
52,897567.8235886999
53,894677.5954672076
54,945454.1233311989
55,926565.5639856824
56,938233.1779711322
57,948950.6848362362
58,934570.8068910108
59,915597.8943802181
60,928428.5398570634
61,944171.0806772985
62,960789.1052095264
63,958086.7202981681
64,960326.7733506901
65,952363.0131466861
66,955617.7549328629
67,980085.0799453092
68,981451.3888378143
69,960818.2462781145
70,980310.6155299098
71,988973.1214620012
72,987997.7836641467
73,963918.0495528352
74,981579.3237341035
75,952256.332497793
76,960452.6365194508
77,963376.8154150947
78,960695.2735691507
79,968581.9916899446
80,993548.6999680244
81,989437.0463795247
82,991228.495398001
83,1010245.9155355947
84,1006863.6217599838
85,1006721.7185821926
86,999305.7714826553
87,1025890.6970769434
88,1003989.1197370414
89,1016168.0897872037
90,999868.018710301
91,1008755.3853061461
92,1000841.1960949702
93,1023751.960624687
94,1009937.7513951221
95,1008963.23172024
96,1003067.4033986827
97,1008556.0256855421
98,1038721.1363844837
99,1010482.4781612193
100,1019017.381002481
101,1029133.2423995999
102,1058970.965616784
103,1073120.137942908
104,1066388.4702636502
105,1067198.179139688
106,1068170.9203496668
107,1069818.0741881847
108,1064845.544360661
109,1060004.873912921
110,1057886.3838653911
111,1059240.8647590636
112,1037699.6102501989
113,1030255.1129624463
114,1035817.8016155813
115,1050981.139976244
116,1043824.4088358523
117,1010011.0474031353
118,1007528.378942763
119,1004414.5247640434
120,1018384.0596171014
121,1014674.8950038303
122,1021951.4204788884
123,1014470.5978636441
124,1016281.8911509549
125,984754.541725124
126,1001846.9343625961
127,982139.6124686965
128,991042.9179193351
129,985719.0489505588
130,978294.3483101858
131,1000952.6511053519
132,999546.1893846992
133,1021280.2712202481
134,1021497.7942857752
135,1023819.578687154
136,1036321.6230593564
137,1039056.0232839728
138,1039268.0773564209
139,1047544.3088600042
140,1055828.067334643
141,1057368.771234566
142,1052476.1381171118
143,1053113.8873363233
144,1055355.5998520541
145,1059400.5442307682
146,1077137.5024035682
147,1075843.6428362413
148,1072102.3518262815
149,1077388.834629125
150,1089955.2993455795
151,1087413.1379052682
152,1076080.6384045216
153,1099832.0608361512
154,1107269.430459375
155,1100761.348082222
156,1079074.4590754746
157,1091360.047379529
158,1096855.4284412987
159,1101348.0374158532
160,1121238.4356530404
161,1118826.9101663306
162,1136568.381039859
163,1149330.3614905416
164,1155246.4290794947
165,1153189.2557323703
166,1157873.6076468162
167,1146810.87863895
168,1140726.8487466683
169,1145172.7459520288
170,1155469.4352028035
171,1151338.9958666305
172,1152025.658768097
173,1157492.4757161187
174,1154537.132441965
175,1158279.564039177
176,1157869.5797140603
177,1170072.1155584867
178,1161924.0859413648
179,1165216.096812763
180,1164527.9259970246
181,1166754.871440242
182,1156346.9634313737
183,1151061.903417952
184,1149877.784940122
185,1166330.95110536
186,1194996.6387445545
187,1194304.7502634248
188,1193148.8575969886
189,1190355.5563236559
190,1196231.7365328532
191,1208844.517458095
192,1213001.16238053
193,1218362.0009557751
194,1222336.265245249
195,1217157.941589217
196,1207440.6897103789
197,1226538.357608091
198,1243351.6099973468
199,1252444.590059454
200,1258572.57039819
201,1251986.1378024437
202,1238662.6271466694
203,1265504.1117935542
204,1255082.834649197
205,1246714.1270232527
206,1232950.7591004483
207,1218931.69829559
208,1246902.4269257274
209,1216660.1659178957
210,1234769.0719952933
211,1232847.548661804
212,1250409.9405108476
213,1270390.87932868
214,1271404.7522077179
215,1297350.0828643418
216,1294659.518995881
217,1296196.9794947505
218,1283120.7743293643
219,1294859.508278382
220,1302117.5434313298
221,1303616.917396356
222,1299679.05919232
