date,trade,sell,buy
20171004,26,14,12
20171005,25,13,12
20171006,25,12,13
20171009,26,12,14
20171010,26,12,14
20171011,25,13,12
20171012,24,12,12
20171013,23,10,13
20171016,23,10,13
20171017,25,12,13
20171018,25,13,12
20171019,26,14,12
20171020,25,12,13
20171023,24,11,13
20171024,23,10,13
20171025,24,11,13
20171026,24,12,12
20171027,24,11,13
20171030,23,10,13
20171031,23,9,14
20171101,23,9,14
20171102,24,9,15
20171103,23,8,15
20171106,23,8,15
20171107,23,9,14
20171108,21,8,13
20171109,25,9,16
20171110,24,10,14
20171113,25,10,15
20171114,25,10,15
20171115,25,9,16
20171116,24,9,15
20171117,24,9,15
20171120,22,8,14
20171121,24,9,15
20171122,24,11,13
20171124,24,9,15
20171127,23,9,14
20171128,24,10,14
20171129,23,9,14
20171130,22,11,11
20171201,22,10,12
20171204,22,10,12
20171205,21,9,12
20171206,20,8,12
20171207,18,7,11
20171208,20,9,11
20171211,19,7,12
20171212,18,7,11
20171213,19,9,10
20171214,17,7,10
20171215,19,6,13
20171218,19,6,13
20171219,18,8,10
20171220,18,8,10
20171221,16,6,10
20171222,15,4,11
20171226,17,5,12
20171227,16,4,12
20171228,16,4,12
20171229,16,4,12
20180102,16,4,12
20180103,16,4,12
