,0
0,1000000.0
1,999964.9766386573
2,1000044.160294103
3,999627.0456959751
4,999532.926382406
5,999187.5760449711
6,998773.5506849461
7,998706.5916272203
8,997789.7523495094
9,997800.163154418
10,997987.4993283032
11,995736.4270294463
12,997342.6898911203
13,997226.1203949399
14,997371.2341515855
15,997182.2445936857
16,997898.6122637216
17,999806.3765554229
18,997361.3424889962
19,995981.634377958
20,995320.853032444
21,996656.130528681
22,995534.4955057992
23,997011.6539794522
24,999300.2815365026
25,999226.7786821342
26,993704.9466678408
27,994621.9182542764
28,994581.4338041532
29,992699.4141895925
30,986624.6076453086
31,986342.9138142602
32,985243.7261046171
33,983583.2838265245
34,977756.2487001835
35,983242.4226110171
36,980532.2883673343
37,978157.7343944178
38,975917.3221312589
39,969662.7126347024
40,969014.7163337605
41,971523.0037320678
42,965387.5608559508
43,966275.2477597957
44,963970.4691881668
45,973359.7085814655
46,973880.0982497808
47,980350.538683527
48,983768.9856955898
49,982267.2528129059
50,987397.6638141039
51,990841.9499198698
52,986571.0219938033
53,983412.035227255
54,998347.5767246042
55,994556.4162988766
56,997354.1313756424
57,1002240.1306039874
58,997662.05510874
59,989733.614210174
60,993235.855497612
61,998032.321514274
62,1005734.7658988615
63,1009167.0714865746
64,1008183.1181893467
65,1003221.2866412069
66,1004674.1300798585
67,1018239.306455286
68,1021651.4196585834
69,1011938.8667828527
70,1019406.1751528409
71,1023377.7276786331
72,1025303.0722828051
73,1011985.8251054708
74,1018196.5496165688
75,1016848.011241551
76,1019793.9991323132
77,1026034.041574001
78,1023061.271751134
79,1024787.5484475441
80,1033135.9009757813
81,1040292.0299057601
82,1038578.7281953746
83,1052483.8910754526
84,1052824.1717597656
85,1053774.412651698
86,1050894.9865155728
87,1064781.7357339975
88,1055142.527164925
89,1053708.705326275
90,1042048.9911457256
91,1048554.5970146456
92,1045233.9156487004
93,1062355.9174072107
94,1058205.6259207418
95,1053273.780323676
96,1045966.7523955167
97,1043273.6013454132
98,1054422.1469785708
99,1046547.3539921516
100,1051516.9568348865
101,1056498.769073817
102,1064406.678948022
103,1068497.2731170887
104,1062392.1531331302
105,1068087.8096142206
106,1065733.3603972662
107,1064158.199429998
108,1068238.4792689541
109,1063914.0550152005
110,1059788.529453225
111,1060720.3215179327
112,1047424.5075787293
113,1041839.4463583422
114,1040772.5786468075
115,1048560.3860741028
116,1049914.1555212166
117,1032132.0152022636
118,1033508.3887099352
119,1035708.1052923626
120,1046567.6468699293
121,1047292.2437084564
122,1052722.5548010336
123,1047116.6811104016
124,1047913.7795260244
125,1030511.0841758265
126,1038043.0211846203
127,1029430.733856779
128,1029029.9013451305
129,1030993.5714475142
130,1027437.8144393297
131,1044853.8672001067
132,1048009.3241177965
133,1069908.1741983392
134,1074376.645339262
135,1078200.9574972142
136,1087465.8111796987
137,1094768.9576930488
138,1096637.149601592
139,1114875.9908324515
140,1120054.822377726
141,1117691.8275696116
142,1116188.422207624
143,1116093.7782845623
144,1129287.7447131833
145,1127219.6109479256
146,1136841.4889013546
147,1140090.1941746364
148,1143430.8531026263
149,1138318.6994756055
150,1143391.657195408
151,1138950.7878915688
152,1133723.6188758262
153,1144202.586910259
154,1151978.9664265867
155,1142207.3713621267
156,1120588.1363854513
157,1129951.8517259043
158,1134152.4636754468
159,1141192.928884515
160,1157015.0982500326
161,1153833.6401348219
162,1156955.1713546447
163,1157311.6086799582
164,1156467.9707455733
165,1157681.0495748427
166,1154583.5566094092
167,1131017.993791139
168,1126030.6024117481
169,1134057.8295711465
170,1146543.4270890746
171,1156584.3931717735
172,1169142.956726034
173,1181769.6462347335
174,1179054.7386894557
175,1191308.890456397
176,1192244.2646563682
177,1206841.042717747
178,1208911.1178525414
179,1213433.2524590113
180,1206301.712948407
181,1217081.8324117898
182,1203511.5512269428
183,1195873.889088512
184,1182991.1177994467
185,1204779.9565348108
186,1207382.6817974094
187,1204977.8746357008
188,1175242.940979322
189,1169865.407110828
190,1191618.4798663575
191,1201878.5680878789
192,1210587.038234157
193,1217844.248863041
194,1225449.270684832
195,1227813.8975051276
196,1217672.6451333223
197,1238067.068348666
198,1238504.890710304
199,1225545.2877620035
200,1240778.7618870952
201,1237228.5174393768
202,1209563.9508661858
203,1231018.2356369465
204,1208557.1274436535
205,1197521.503523259
206,1199442.8707951177
207,1174288.0731390174
208,1206141.3415669836
209,1163834.467466653
210,1175720.8565818404
