,0
0,1838.7152900004294
1,-147.51858000038192
2,1802.3814100001473
3,-7425.089719999582
4,-3539.102150000166
5,3697.9321699999273
6,-2405.546940000262
7,-1434.0769299997482
8,1482.932199999923
9,-1928.7181199998595
10,-1903.935560000129
11,8118.042190000182
12,-1643.6069600002375
13,4793.342400000198
14,4670.236059999559
15,-2725.4661599996034
16,1721.304299999727
17,-5455.279089999851
18,-1947.1394399998244
19,-4329.956720000366
20,196.54359000036493
21,8168.394209999824
22,-599.3705800001044
23,3717.70100000035
24,-2801.8207700003404
25,4155.884340000106
26,4196.690350000048
27,5141.0622800001875
28,1106.2015299997292
29,8489.767040000297
30,1769.5117599999066
31,1018.948485000059
32,2302.871809999924
33,882.1696200002916
34,2008.528449999867
35,1048.7752700001001
36,-1736.4401499999221
37,-698.0828000002075
38,12024.923139999853
39,-6370.079769999953
40,-491.9052799998317
41,-2833.107980000088
42,-1353.1869799997658
43,-4342.4959900001995
44,535.2280000001192
45,3769.7293200001586
46,-605.2937600002624
47,-1290.5112199999858
48,5635.933929999825
49,-248.57682999991812
50,-709.2818299999926
51,-587.2360300000291
52,-7640.361779999919
53,-330.6783699998632
54,-1471.903570000315
55,-1893.1925599996466
56,-1082.5378200002015
57,4521.84792000032
58,-3282.5740999998525
59,1547.0497399994638
60,-2544.1807399999816
61,105.070250000339
62,1757.98760999972
