,0
0,1263173.3622378001
1,1263240.0016933177
2,1263949.7284341964
3,1264399.4395491346
4,1263427.0690395096
5,1264259.618410503
6,1264804.1538959576
7,1265410.5562293597
8,1266015.5120917181
9,1266169.1129911365
10,1265516.5187898884
11,1265196.8352723157
12,1264360.531146375
13,1266275.5132323066
14,1267817.5526982353
15,1269633.094157038
16,1269240.2814308722
17,1267425.840126033
18,1269747.2526139235
19,1267764.510048781
20,1267374.7001715533
21,1267374.7001715533
22,1267374.7001715533
23,1267374.7001715533
24,1267374.7001715533
25,1267374.7001715533
26,1267374.7001715533
27,1267374.7001715533
28,1267374.7001715533
29,1267374.7001715533
30,1267374.7001715533
31,1267374.7001715533
32,1267374.7001715533
33,1267374.7001715533
34,1267374.7001715533
35,1267256.9513950576
36,1267479.546821367
37,1268149.0647851562
38,1268174.404352621
39,1268486.9775514295
40,1267478.9695048558
41,1267346.7511411288
42,1267346.7511411288
43,1267376.3724720473
44,1267356.7604318943
45,1267092.7613915612
46,1266868.5557116123
47,1267375.7700614417
48,1267266.772200137
49,1267266.772200137
50,1267266.772200137
51,1267266.772200137
52,1267402.206701091
53,1267381.8176673918
54,1267584.816132153
55,1267755.9136738481
56,1267309.906820461
57,1267264.625880548
58,1266839.3250331196
59,1267015.7113676681
60,1266895.4205012117
61,1266895.4205012117
62,1266895.4205012117
63,1266895.4205012117
