,0
0,1000000.0
1,999573.4595792595
2,999912.6013214581
3,998481.6107145458
4,997883.3581370224
5,996556.3460757054
6,993826.9030516926
7,992528.1299095254
8,987870.3627173929
9,987708.3796798984
10,989783.3829673214
11,977857.9837259697
12,985998.1806762202
13,983386.8053886953
14,982471.9055818511
15,983905.7881401684
16,986391.1460691462
17,994195.2320385948
18,982556.8231136327
19,978099.8984378498
20,977143.615710879
21,983597.4389488489
22,979376.9076040471
23,984355.7649456302
24,992568.3844462647
25,994130.0082517797
26,972532.7078865853
27,977531.6120280849
28,978008.6818970691
29,973120.3762468831
30,953925.1966830026
31,952078.4093587049
32,946969.8139833006
33,939900.3955778527
34,916077.7308768483
35,933612.1763188553
36,919243.3440051298
37,902454.4503943325
38,891810.1970866575
39,872543.4152436494
40,869663.9372538327
41,882446.0633439329
42,857561.041962208
43,867221.0026900521
44,856965.2306949645
45,893618.0485673512
46,893058.8493213577
47,913575.5856744288
48,919802.8762599594
49,917144.0907962723
50,939657.6445215459
51,949210.9430169162
52,934920.030157746
53,921263.0606999595
54,975134.6970935382
55,960156.6441170904
56,972624.4197398614
57,995269.3178810343
58,973854.523117828
59,943281.3001045003
60,962779.9495360351
61,983989.7012771554
62,1013207.1548067575
63,1023033.1589970894
64,1021750.7959578825
65,1001316.3304690013
66,1006061.8517312133
67,1048984.8947263453
68,1047062.7482337547
69,1018788.6198146943
70,1038174.7675185002
71,1054507.073040488
72,1057578.701899249
73,1019029.3481390337
74,1044514.8568100716
75,1029186.4415092556
76,1039757.4537430537
77,1057924.6481432323
78,1053497.0886410177
79,1056055.495078707
80,1078477.5170713756
81,1088412.9420711629
82,1091228.078061756
83,1115872.3212397115
84,1114046.4238214549
85,1107704.5256359908
86,1101058.5191849794
87,1144159.3775268993
88,1124594.4093704359
89,1125351.169129462
90,1096091.2214821822
91,1117724.2570862847
92,1112424.4906739064
93,1146662.4399061028
94,1138602.3710353104
95,1139256.4063754093
96,1120645.269194608
97,1126879.842543397
98,1152585.1593060347
99,1128564.6154080657
100,1141786.1885184618
101,1163727.7195139988
102,1191843.5510983113
103,1218402.6063697424
104,1202706.9800643267
105,1219101.1306392837
106,1228736.7163534157
107,1221547.232375236
108,1226311.962881891
109,1221252.305434284
110,1212677.8888408006
111,1217442.398888524
112,1192641.3078532896
113,1178759.208506064
114,1179892.2644560144
115,1186383.0746828094
116,1183577.7997841048
117,1145551.2868833814
118,1132376.2096216853
119,1120225.6935231474
120,1140834.6787983547
121,1135454.424522482
122,1145996.835791101
123,1140850.223824524
124,1144310.8958191304
125,1105976.3529112202
126,1112377.5447622049
127,1084300.92996173
128,1088136.348531511
129,1088067.1070790396
130,1085537.6372212453
131,1114722.7803024088
132,1114022.3730551596
133,1153491.8046980025
134,1162005.9711790457
135,1170271.186670334
136,1194810.0576085523
137,1205716.524971688
138,1204837.8921808822
139,1223906.2990899982
140,1220054.3459798794
141,1219558.3028224555
142,1225038.9037321855
143,1227432.0614562565
144,1245998.1457430637
