,0
0,1657085.2390356478
1,1653977.8354322738
2,1655154.0135394675
3,1660043.9540823782
4,1659351.3338672568
5,1659351.3338672568
6,1659351.3338672568
7,1659351.3338672568
8,1659907.5967391352
9,1659554.6254950254
10,1659094.3352037168
11,1661171.3874297752
12,1660038.0179964805
13,1659507.9356868977
14,1659507.9356868977
15,1659507.9356868977
16,1659507.9356868977
17,1659507.9356868977
18,1657571.653624474
19,1657407.4543444037
20,1653509.7863055405
21,1656252.865522753
22,1656403.117090237
23,1656069.9277883181
24,1656069.9277883181
25,1656069.9277883181
26,1656069.9277883181
27,1656069.9277883181
28,1656069.9277883181
29,1656069.9277883181
30,1656069.9277883181
31,1656069.9277883181
32,1656069.9277883181
33,1656069.9277883181
34,1656069.9277883181
35,1656069.9277883181
36,1656069.9277883181
37,1656069.9277883181
38,1656069.9277883181
39,1656069.9277883181
40,1656069.9277883181
41,1656069.9277883181
42,1656069.9277883181
43,1656069.9277883181
44,1656069.9277883181
45,1656069.9277883181
46,1656069.9277883181
47,1656069.9277883181
48,1656069.9277883181
49,1656069.9277883181
50,1656069.9277883181
51,1656069.9277883181
52,1656069.9277883181
53,1656069.9277883181
54,1656069.9277883181
55,1656069.9277883181
56,1656069.9277883181
57,1656069.9277883181
58,1656069.9277883181
59,1656069.9277883181
60,1656069.9277883181
61,1656069.9277883181
62,1656069.9277883181
