,0
0,1181739.9336306914
1,1180252.998948492
2,1180843.631153521
3,1181027.4927368425
4,1180855.9664262694
5,1181655.9986996327
6,1181950.0905024917
7,1182621.9048146969
8,1182404.684104697
9,1181853.1158646971
10,1182033.3337246971
11,1182326.025394697
12,1181801.639444697
13,1181011.7729246973
14,1181157.346074697
15,1181748.3307446975
16,1182623.1517931342
17,1182420.96341431
18,1182444.34183431
19,1182476.5277117058
20,1182467.5839276162
21,1182456.3499153894
22,1182672.5405834902
23,1182760.5320319957
24,1182653.3997407
25,1182623.0057274806
26,1181945.0482700337
27,1181907.0313107122
28,1182356.0475968327
29,1182064.2304268326
30,1182036.607196832
31,1180922.8084768325
32,1180319.8072268325
33,1180258.7125628
34,1181013.128775587
35,1180366.210728353
36,1180219.8998672904
37,1180498.4612188356
38,1180327.0281646834
39,1180313.9411769097
40,1180618.803988917
41,1180863.5144395651
42,1181158.2219395863
43,1180050.9710595864
44,1181400.0579845943
45,1181526.11256208
46,1182194.5167174262
47,1184285.4438574263
48,1185130.6864473573
49,1185662.3267623647
50,1186031.0340026768
51,1186820.0511025807
52,1187348.1461825268
53,1187545.8205126945
54,1187369.2555748548
55,1187295.7961781942
56,1187786.8602511825
57,1187770.992955416
58,1187703.2803845727
59,1187515.0265312213
60,1188061.960340054
61,1188488.637689604
62,1190405.9400127844
63,1191488.9941034839
