,0
0,1000000.0
1,999966.4474935717
2,999967.2240621431
3,999815.2549221432
4,999772.2487321434
5,999615.0316756696
6,999332.0611116956
7,999370.2841416956
8,998983.7984716956
9,999038.5322041957
10,999139.2248902369
11,998511.3548886705
12,998914.4790586706
13,998707.727419074
14,998669.3085909297
15,998856.0286909299
16,999031.8856491442
17,999730.7906909297
18,998875.2815909298
19,998567.473373787
20,998533.66636593
21,999105.7971578669
22,998661.8342038133
23,999162.9690338136
24,999880.9712238135
25,999822.9545338136
26,998266.0082513135
27,998480.9256413135
28,998310.4271463135
29,998032.7633363134
30,996648.4640813135
31,996575.0301297923
32,996663.7172463902
33,996061.1437167726
34,994849.9517335616
35,995984.623803377
36,995150.2165833365
37,994598.6657423328
38,993758.2569902702
39,992150.5875295559
40,991986.2915181273
41,993055.3630256274
42,991732.0595506271
43,991989.5352520556
44,991303.4197713411
45,993646.3081591983
46,993578.6363791982
47,994941.8123649126
48,994988.9893717935
49,994870.8530452206
50,996217.5059827205
51,997044.1886027205
52,996451.2658127203
53,995640.5788941488
54,999079.3842427201
55,998429.7594270059
56,998967.0001191794
57,999838.9245742689
58,998818.243177126
59,997295.9838842689
60,997767.5244192688
61,998917.8625503404
62,1000802.4564317688
63,1000789.3961392688
64,1000509.3422642685
65,999023.2292742683
66,999046.9256192682
67,1000599.1678692681
68,999971.9935442682
69,998349.080744268
70,999272.4326671251
71,999630.7418599821
72,999647.1769574822
73,997366.9452074821
74,998725.5665100953
75,997660.3841779997
76,998917.3359942224
77,999841.4001052066
78,998821.7189335768
79,998881.0952643225
80,1000948.8336274562
81,1001012.8848493601
82,1001534.8353199585
83,1003352.88590382
84,1003259.5788393149
85,1005767.237379315
86,1004694.0294093147
87,1007050.4042693151
88,1004731.4798980819
89,1005557.764451634
90,1003094.8835232274
91,1003734.4010446616
92,1002593.3388418208
93,1005189.1132553971
94,1004353.9805774733
95,1003111.5052535026
96,1001853.4055664447
97,1001898.4165760013
98,1004832.5468064833
99,1002614.8106671977
100,1004542.5773579122
101,1005484.8289393409
102,1008488.0507432646
103,1008678.611232325
104,1007764.0399561295
105,1009828.4883343435
106,1009922.9752014866
107,1010011.8579922006
