,0
0,1000000.0
1,999509.5029463337
2,999235.6356200236
3,996572.9126279489
4,997406.7170984456
5,995025.6928506173
6,992085.3647063848
7,992125.2452806833
8,984498.7244332297
9,986231.7557125919
10,988894.8552089158
11,977944.5578722372
12,986078.9005876759
13,985523.1563502448
14,984666.5442655289
15,983669.8162954753
16,988570.5615069575
17,1001303.2946285079
18,986934.5298723534
19,971494.4246690145
20,965905.9511005194
21,976834.5944281911
22,967681.7438933854
23,977972.951056541
24,988801.3688242713
25,989153.0910172815
26,955126.9162843414
27,956787.0064657759
28,957202.5228900271
29,947004.5443313078
30,913724.9948907344
31,913983.1815902726
32,912336.8771607984
33,901200.3839282852
34,864196.3413627404
35,892570.4162493302
36,877242.1255381237
37,857653.8378581504
38,836684.6507875163
39,797881.0896334267
40,796320.9438008302
41,817932.6588836827
42,780854.4850062621
43,790604.8581883352
44,775325.8991017858
45,819556.450618458
46,820057.7417604374
47,849397.0263607267
48,864610.6283378314
49,862590.4831647658
50,884302.5995317495
51,895180.6964064988
52,876639.5952064522
53,858150.0795374339
54,914189.8210462937
55,899223.3816509761
56,909524.6700185733
57,932954.3947460789
58,917212.463987407
59,890238.3974637837
60,898280.000908874
61,915612.753916726
62,947363.4596120645
63,956015.9894774324
64,954197.5352442904
65,932005.0845029837
66,936672.575621714
67,962638.3103608255
68,960003.9585415117
69,946133.6288889393
70,964364.2841620762
71,980507.1505781859
72,986025.5283974733
73,951710.3413696033
74,968253.9453262204
75,960103.5492101681
76,968394.9152406306
77,989697.5135094008
78,984138.879079359
79,986058.6719676735
80,1006198.7303862553
81,1025472.7456120619
82,1026033.066327735
83,1049617.4201531382
84,1048404.0276463509
85,1054993.882914532
86,1060676.2930737396
87,1088311.648899397
88,1070401.3593428633
89,1072308.4240877824
90,1042424.90811983
91,1057163.5589431843
92,1051766.7179816682
93,1084110.381610493
94,1082549.8794947958
95,1077068.4323799948
96,1052625.340410199
97,1052521.7466118983
98,1071883.4713528506
99,1049478.8166904042
100,1058247.6486988903
101,1070684.81434817
102,1090392.6710475993
103,1112296.4983278702
104,1097349.5720448766
105,1102485.4725572576
106,1101122.2510379562
107,1093995.0623312858
108,1100517.6191934582
109,1096011.766058396
110,1094680.2500737698
111,1097003.5867051356
112,1069957.3076532858
113,1052163.9194848957
114,1057206.280663051
115,1065487.5044797007
116,1065211.3358268188
117,1033883.8312356767
118,1034392.5159608364
119,1039955.4959772648
120,1061686.7935153095
121,1062473.5948209367
122,1072137.5098288169
123,1065855.9328842303
124,1072525.663159609
125,1044824.790107075
126,1053038.3649451588
127,1033379.7547079397
128,1032373.4332952572
129,1033664.3164639892
130,1032372.8364381529
131,1053369.2435801974
132,1060310.9103645557
133,1097530.7963383002
134,1110352.2866241103
135,1115738.7117551407
136,1134299.608161546
137,1145293.1031229973
138,1154187.0759789308
139,1202296.238450763
140,1206584.4649984844
141,1207731.7572008378
142,1208836.3210048683
143,1202032.9751662682
144,1226315.247702493
145,1217567.7813246436
146,1242479.0976330766
147,1247722.0815864773
148,1242953.052396719
149,1232823.2520782743
150,1240863.529497896
151,1223898.3807957568
152,1222879.5348884934
153,1233472.9557895365
154,1242719.6580551064
155,1223484.155277095
156,1194056.1635604296
157,1201131.388395981
158,1210920.2697918464
159,1217232.315898008
160,1248520.3594744217
161,1244780.8167498417
162,1238719.2201184614
163,1233368.1275674663
164,1229624.4198868843
165,1239501.260736731
166,1230001.1945048997
167,1196278.5865667418
168,1193704.0116845628
169,1198370.4635210347
170,1221073.0391961304
171,1234805.1357141642
172,1259958.862473976
173,1289299.9289091064
174,1286695.232934908
175,1306963.2844649956
176,1315121.0678130994
177,1327139.065983698
178,1330513.521999488
179,1339300.2788114888
180,1324660.4292545482
181,1339977.3582088468
182,1324350.2578737296
183,1314292.7947628708
184,1300333.8781222072
185,1329233.893265492
186,1320294.7077697774
187,1312339.1944149807
188,1274256.3155593397
189,1259175.244802907
190,1283182.2844980662
191,1297581.365763596
192,1297149.2360308801
193,1316923.1997559217
194,1324194.3198351813
195,1325502.9616922017
196,1319043.9085158054
197,1350336.6650741205
198,1351408.2036383543
199,1337354.2531633703
200,1355148.8064865598
201,1350405.7312734684
202,1325642.7857410652
203,1355740.1763808182
204,1326097.776405601
205,1312628.9364129445
206,1311292.643702946
207,1285005.03727796
208,1319705.6409712008
209,1270638.10800123
210,1283419.8692201693
211,1282093.451804634
212,1287156.978748068
213,1326243.1793480418
214,1325046.997438061
215,1360512.7241276437
216,1364392.7274158578
217,1382086.2639997343
218,1403502.7539157793
219,1413881.2213943829
220,1429535.1022639857
221,1442047.190953071
222,1427296.0092574423
223,1403057.693250351
224,1396004.6264487032
225,1409651.890425923
226,1409964.8042368717
227,1422390.7914391167
228,1395659.7898117935
229,1399216.551135503
230,1416479.7488370445
231,1422842.314508401
232,1397272.4348761614
233,1405130.840242161
234,1416120.031401675
235,1399440.1439447002
236,1405833.6154610224
237,1407283.2207780457
238,1412136.5774676926
239,1431574.879987726
240,1419525.5703862526
241,1427908.384651191
242,1401405.5135851947
243,1401087.8902311362
244,1418835.3565436588
245,1424602.6236117175
246,1438425.1141117918
247,1443871.3126697831
248,1451424.6768591376
249,1457241.863432737
250,1451070.525024952
251,1429777.46219279
252,1466507.4757425445
253,1486320.3437992502
254,1495472.5572344076
255,1497724.3719480697
256,1501026.8526656558
257,1492816.59612456
258,1488499.1465573232
259,1494357.2820079937
260,1494064.1775272074
261,1474646.6608449172
262,1503177.400370478
263,1490338.4501628568
264,1440110.3941657038
265,1409596.4872433606
266,1425379.1626632249
267,1413146.3070949542
268,1420855.4469948611
269,1400774.6242396813
270,1389801.6237652353
271,1422471.235038105
272,1413197.5615466775
273,1414777.8290619443
274,1371542.2210637685
275,1370618.3869285868
276,1358207.976693211
277,1401154.245257317
278,1395722.9473564893
279,1412503.4199566978
280,1406688.4715594358
281,1429852.5798131602
282,1439591.0856465672
283,1461890.691598757
284,1455156.0806776204
285,1458982.179294533
286,1440346.5841922965
287,1453777.9376986802
288,1436404.624727049
289,1435800.2770212719
290,1450295.1414914955
291,1455959.6405133554
292,1468348.7215099393
293,1468796.4980292977
294,1489449.2769800073
295,1472523.7565527603
296,1469519.5353448319
297,1466695.0392713898
298,1477051.5481518118
299,1484778.2802744494
300,1486960.6526350717
301,1505058.8268224243
302,1507645.1135665188
303,1504111.6181897977
304,1479927.7908242713
305,1492913.3695115768
306,1507458.2227397293
307,1509747.4580349433
308,1503635.5038431997
309,1506622.5302457705
310,1497950.094713599
311,1508291.86395482
312,1499165.9893735435
313,1521798.566465212
314,1537845.8931865485
315,1540550.8499100418
316,1526683.751418815
317,1524144.3570621058
318,1529889.2058346388
319,1527093.571646899
320,1526843.5185899932
321,1544159.912956399
322,1550401.780468647
323,1524087.2517375082
324,1535066.9505980466
325,1528635.2458978668
326,1524548.30450809
327,1528505.9826448148
328,1551234.911973401
329,1550527.8147236437
330,1511287.852765249
331,1552659.6057175242
332,1564418.1886420266
333,1528598.1449456986
334,1552305.881382059
335,1487073.313438229
336,1461013.8758745166
337,1399733.7799451875
338,1364397.6015241307
339,1441198.5392306042
340,1449560.148091748
341,1479653.765110164
342,1473877.183313776
343,1427021.265219024
344,1421431.2051378158
345,1406185.3275943354
346,1398155.9260209426
347,1350570.1598021286
348,1374338.840010168
349,1355127.3340961307
350,1374400.4687641512
351,1367659.8094919794
352,1423733.4102275937
353,1388018.4717835053
354,1355966.0900579684
355,1394356.4200659131
356,1388876.3897868586
357,1342444.9319390028
358,1323074.579394712
359,1344259.0906396816
360,1342396.8314203306
361,1378772.121108784
362,1386547.0168185257
363,1370306.7304861418
364,1407358.1394665828
365,1406139.7053445918
366,1409064.8581789122
367,1414416.5386757005
368,1410092.9324388583
369,1383999.2920816145
370,1382753.6717877178
371,1348715.8834052943
372,1345017.6899163423
373,1348654.8140312782
374,1305842.938509054
375,1288016.873391258
376,1272297.4817887354
377,1265058.956179473
378,1273986.0294665734
379,1321414.988651993
380,1343171.6125540214
381,1368088.6891561642
382,1367609.5280764566
383,1397145.8798749123
384,1405435.1599256212
385,1400811.8787266659
386,1354023.195100725
387,1361421.7896874496
388,1373287.7554430733
389,1361930.964573629
390,1398741.5877803075
391,1410734.3457161563
392,1424990.497410723
393,1422714.0932733978
394,1410295.0543332822
395,1407234.7722117088
396,1403092.385927008
397,1442819.3274484018
398,1381789.683555397
399,1372102.4799726454
400,1384525.3252083745
401,1387829.3630206846
402,1402783.3870842913
403,1395279.3243127915
404,1355585.7266488508
405,1350845.797969135
406,1349217.8133569716
407,1350178.290841489
408,1363329.8343664214
409,1370633.553675113
410,1337117.2045022584
411,1323998.5158571315
412,1312943.1260105148
413,1282355.7600846912
414,1288500.6879300405
415,1293717.69906004
416,1324449.529842063
417,1305410.2417767206
418,1303320.6662444745
419,1346551.4630331737
420,1359081.067917459
421,1385983.6685155157
422,1356739.524547511
423,1363644.0896762074
424,1364794.8951551681
425,1374995.5150555924
426,1395428.5402929569
427,1394391.5984089908
428,1387912.2348727973
429,1396020.2036303359
430,1402017.245959613
431,1422994.0195424499
432,1426676.9671965246
433,1429418.1587795818
434,1413501.88877714
435,1447555.8684449028
436,1436930.25865525
437,1436814.3954967645
438,1425308.6444061487
439,1424621.9541103027
440,1437466.1600757344
441,1417479.9366457758
442,1453900.786527895
443,1459216.5133881154
444,1465677.8394930516
445,1491011.2124948888
446,1490684.672495303
447,1493495.9604828781
448,1495960.6591254668
449,1488848.9487232487
450,1495392.5392483317
451,1506649.6901774674
452,1484492.86927456
453,1517859.3807607496
454,1525749.926001845
455,1523801.3077562489
456,1556671.5088605047
457,1556720.751463619
458,1542736.8003159554
459,1541220.745433508
460,1534148.8968971532
461,1540338.8992978996
462,1556613.4536931661
463,1561430.4840112766
464,1600302.875583588
465,1597138.5035486284
466,1592915.08204464
467,1578077.7741829297
468,1573764.9580007587
469,1573431.1174022544
470,1560343.866922734
471,1547149.0803554114
472,1524493.769693456
473,1525764.9862247948
474,1552023.4891312132
475,1559930.8356824613
476,1559293.2215643404
477,1533611.1008693357
478,1561315.7414841694
479,1547891.5628782974
480,1550662.8218270154
481,1542930.7453534328
482,1587280.997309369
483,1611844.3242877095
484,1613990.2581034324
485,1614389.8861619432
486,1613400.1607099124
487,1610928.7680829146
488,1616364.0311761934
489,1619907.9997560293
490,1619213.978809479
491,1619362.7022080647
492,1606492.8338725357
493,1620252.9916520899
494,1611264.855095182
495,1604829.0203101335
496,1611146.046541238
497,1622217.7212778172
498,1623367.4315435411
499,1618107.4331263904
500,1621459.778285599
501,1620275.8610579954
502,1620440.5875320295
503,1619167.7802968402
504,1646239.6686084298
505,1648984.4718602041
506,1649177.4084718653
507,1666604.0347549282
508,1657378.5158305448
509,1669847.8381119152
510,1675616.198724157
511,1689311.6918514075
512,1689854.020994498
513,1701246.489052211
514,1707179.4274812224
515,1685704.3558484956
516,1666069.8929596732
517,1671737.603807051
518,1688173.0153490575
519,1702161.7254704589
520,1697106.032970755
521,1710555.5355035148
522,1683492.0928039027
523,1691368.5629586582
524,1720972.5468095562
525,1727996.215865822
526,1736764.3750814812
527,1743736.7247063848
528,1757862.6529080411
529,1768380.006683488
530,1759347.6890594077
531,1778176.2520513854
532,1783473.1653157994
533,1783293.836342393
534,1765176.9837246041
535,1779650.2580526846
536,1792418.161108882
537,1793477.6641559196
538,1754305.5217964258
539,1721127.989757925
540,1706201.6611963275
541,1730086.5351454671
542,1748817.287159763
543,1719217.1633545551
544,1736309.3258759093
545,1779256.7158896953
546,1764210.6640295563
547,1746392.4073942576
548,1773677.596767697
549,1770153.0856795073
550,1733451.6494462655
551,1733997.6645894505
552,1724203.092755726
553,1696491.385691537
554,1660095.708007689
555,1680075.9447632213
556,1687349.7913823945
557,1725170.1253897669
558,1715180.309373904
