,0
0,1385063.0870221497
1,1383110.2343001394
2,1382909.7808517078
3,1382909.7808517078
4,1382909.7808517078
5,1382909.7808517078
6,1382909.7808517078
7,1385668.3797812925
8,1383779.284191738
9,1398282.2770837373
10,1392310.1122515847
11,1391376.5640629344
12,1391376.5640629344
13,1391376.5640629344
14,1391376.5640629344
15,1391376.5640629344
16,1391376.5640629344
17,1391376.5640629344
18,1391376.5640629344
19,1391376.5640629344
20,1391376.5640629344
21,1391376.5640629344
22,1391376.5640629344
23,1391376.5640629344
24,1391376.5640629344
25,1391376.5640629344
26,1391376.5640629344
27,1391376.5640629344
28,1391376.5640629344
29,1391376.5640629344
30,1391376.5640629344
31,1391376.5640629344
32,1391376.5640629344
33,1391376.5640629344
34,1391376.5640629344
35,1391376.5640629344
36,1391376.5640629344
37,1391376.5640629344
38,1391376.5640629344
39,1391376.5640629344
40,1391376.5640629344
41,1391376.5640629344
42,1391376.5640629344
43,1391376.5640629344
44,1391376.5640629344
45,1391376.5640629344
46,1391376.5640629344
47,1391376.5640629344
48,1391376.5640629344
49,1391376.5640629344
50,1391376.5640629344
51,1391376.5640629344
52,1391376.5640629344
53,1391376.5640629344
54,1391376.5640629344
55,1391376.5640629344
56,1391376.5640629344
57,1399146.6520336098
58,1398980.1916952836
59,1398980.1916952836
60,1398980.1916952836
61,1398980.1916952836
62,1398980.1916952836
