,0
0,3852.7827200000174
1,14902.986499999883
2,-1084.7677500001155
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-268.40640000021085
51,284.7412999998778
52,-159.5113000003621
53,-2811.364999999758
54,-1558.867299999809
55,3414.8405000003986
56,-2358.1318999996874
57,-542.9979000000749
58,2111.467500000028
59,-3457.96930000023
60,4125.174500000197
61,1778.7976999999955
62,3082.947800000198
