,0
0,1000000.0
1,1000001.15724
2,1000005.6550299998
3,999646.0854699998
4,999673.482135
5,999442.3360349999
6,999181.5224949998
7,999171.5613453871
8,998560.1110233977
9,998614.6914558974
10,998879.4440102417
11,997620.7004401473
12,998545.176610147
13,998002.540010147
14,997805.9571676472
15,998035.0500033617
16,998429.339539076
17,999349.8952601473
18,998439.6433401474
19,997759.0951551471
20,997643.3380501472
21,998136.0506839617
22,997741.8715658138
23,998618.122426528
24,999801.9375965282
25,999780.7002006297
26,997339.0326135233
27,997877.2894280796
28,997802.400558671
29,997079.0982275849
30,994846.6302925847
31,994772.1263267163
32,994380.7042959139
33,993731.376595914
34,991517.8461509137
35,993618.3140345342
36,992276.6749256421
37,991367.1537586113
38,990676.5650626201
39,987808.2545276202
40,987440.6585026202
41,989047.2726076202
42,986222.0506926205
43,986207.5506026204
44,985362.322419524
45,990567.4567548074
46,991202.6293202469
47,993904.0941091926
48,993985.8473075595
49,993256.4948349427
50,995760.4773575531
51,997026.214825414
52,995348.2669419261
53,994239.523597412
54,1001102.1565874121
55,999253.3024824123
56,1000223.3016324121
57,1003615.614109912
58,1000989.2889349123
59,997604.2786249123
60,999641.8008199123
61,1002076.2867449123
62,1005546.9474656266
63,1005826.1174949125
64,1005728.7372663408
65,1003050.9131676832
66,1004482.1921977703
67,1009920.8127477703
68,1010261.5062627702
69,1007280.02021277
70,1009746.9687977699
71,1012331.7445467806
72,1012289.005311047
73,1006478.8366674753
74,1010131.3589289037
75,1008683.8544873211
76,1010376.2708698555
77,1016188.6854398557
78,1014185.3185598559
79,1014072.4352473562
80,1017320.5951498565
81,1018064.8481148562
82,1018307.8385998561
83,1024004.1963948562
84,1023560.4960998562
85,1023657.3997348561
86,1020871.3135205703
87,1024872.7012112847
88,1020946.0346362848
89,1022369.9820862847
90,1017665.7535362847
91,1019552.1747862848
92,1018567.0335062848
93,1025838.9206987852
94,1023088.3394537854
95,1020499.0611637854
96,1016827.0173362854
97,1016024.0054412852
98,1022605.3367537849
99,1017579.1492537848
100,1020083.2710087851
101,1023667.9404862853
102,1030716.8208364976
103,1030400.0254359753
104,1029298.7709309757
105,1030614.3974909757
106,1032104.9845209757
107,1032695.2960159758
108,1032742.5048706555
109,1032646.8006361623
110,1032544.3979485673
111,1032696.8788771902
112,1028320.03922719
113,1025952.1935671899
114,1026891.8100971899
115,1028149.64484719
116,1028623.8257221899
117,1021394.13733219
118,1019876.3566250468
119,1018707.4089171898
120,1024972.30151469
121,1023657.33766719
122,1026509.61206719
123,1023851.12377219
124,1025337.3902721901
125,1017189.58311719
126,1019893.1135071899
127,1013622.5766571902
128,1015384.5673828279
129,1015385.7953271695
130,1014881.626990599
131,1023231.9687863135
132,1024514.8826655995
133,1036257.4606730996
134,1041245.6120566712
135,1042721.4019459572
136,1047432.4821845288
137,1047841.6054788241
138,1045972.3997064147
139,1053293.5666647826
140,1051423.2771396162
141,1050193.8316146072
142,1049088.6523664703
