,0
0,1297291.6359992507
1,1297379.4580292497
2,1297938.830099964
3,1298235.3373959016
4,1298787.696625244
5,1298614.4201378636
6,1298061.058741824
7,1298634.0436579748
8,1298597.902211524
9,1299777.0745051724
10,1301597.2665551724
11,1299553.805620429
12,1300977.8151372096
13,1301007.7194894864
14,1303003.4175723395
15,1300645.2514883613
16,1301008.7544266453
17,1306807.0587629217
18,1307268.8395919888
19,1308092.9554164712
20,1311067.677184173
21,1314678.4307196396
22,1314318.5498982416
23,1311501.9067982868
24,1310455.67813958
25,1309521.1820616322
26,1314789.1379518304
27,1316569.9278317012
28,1315168.5683419835
29,1321877.3407432227
30,1321976.5879819598
31,1324505.0053724546
32,1322223.3599722506
33,1326286.4885412243
34,1327532.4446617463
35,1326707.7903634296
36,1327614.7318430813
37,1327281.5933887851
38,1330323.0150800664
39,1324694.1793900486
40,1324438.296670049
41,1320307.5681700485
42,1315849.8051300487
43,1314315.2594100488
44,1312802.925980049
45,1304278.149431345
46,1307711.7761107567
47,1307090.5072963913
48,1310869.2633649781
49,1310606.758204033
50,1309024.3694720012
51,1306856.6514163667
52,1311418.0668780617
53,1296586.7494265556
54,1300274.5295570176
55,1303291.766381122
56,1303497.934001122
57,1306502.5893611216
58,1315505.2439611217
59,1327800.2763974317
60,1324503.379744203
61,1323595.0953190334
62,1323595.0953190334
63,1323595.0953190334
