,0
0,1000000000.0
1,999153745.6224287
2,1000102779.4736981
3,1003711113.2253065
4,996511981.5745641
5,988862709.888942
6,980113878.4198693
7,984753863.286535
8,1000430231.1541884
9,969679617.4294813
10,989057996.1348348
11,995336011.8491133
12,975680732.8600649
13,960957287.4598826
14,966101243.8865306
15,944962754.2565528
16,994624812.6444412
17,1006305108.7363778
18,996048776.1408468
19,997138959.5181524
20,1010737758.9604845
21,1028575474.7130187
22,1016668985.2891136
23,1033917599.629488
24,1025501870.3821958
25,1018483745.8293462
26,1010591381.3416969
27,998961749.0706804
28,1020775755.7248513
29,1013333158.0333289
30,977755378.9980206
31,973919882.8218659
32,978371504.1710044
33,955592447.522762
34,978941077.0090221
35,969819498.3374686
36,978218059.3938515
37,964812260.8041037
38,963506407.4828757
39,915621611.4562142
40,923659076.8568263
41,942269500.6341926
42,952739907.4746231
43,965228171.5260767
44,982506962.1299857
45,996680218.510814
46,1014362520.2167516
47,1012442636.0265297
48,1013020600.4687576
49,1021462648.4821352
50,1039056166.7931222
51,1034904931.2663538
52,1015496047.5619724
53,1044876011.98609
54,1091584382.2942052
55,1109211750.0518458
56,1132595953.3393693
57,1131716458.8696032
58,1122890851.3752062
59,1092857102.756058
60,1100336268.59833
61,1145675978.8750226
62,1170552735.8683631
63,1165785134.7886486
64,1168030005.4202166
65,1171324482.8387742
66,1145546155.0050983
67,1192646286.4161932
68,1200839259.1332202
69,1213390974.710139
70,1250343896.2342987
71,1257078074.5389042
72,1248923581.5789747
73,1257874553.3243759
74,1255165663.1062443
75,1274421057.1111162
76,1288956505.2593186
77,1296253087.6940954
78,1287133168.3506687
79,1269035799.2234547
80,1243545501.3218718
81,1287241371.6529233
82,1329838582.3474422
83,1378514972.939694
84,1365856716.6266117
85,1355408889.8359752
86,1347080048.8214521
87,1345149433.1031685
88,1342167055.285487
89,1368727421.3214545
90,1344809170.518584
91,1360105803.9249794
92,1350693536.5897713
93,1395563604.3571806
94,1424378533.2063496
95,1422943365.606146
96,1393247475.7023742
97,1401474106.2472906
98,1381507839.8223913
99,1429703681.9831917
100,1455874396.0981264
101,1460303677.6904085
102,1487854354.1929395
103,1459993804.7553136
104,1459555573.5504043
105,1407974256.826528
106,1407357834.192268
107,1409757291.3127124
108,1386489055.4656708
109,1435229550.4634862
110,1432703561.8842552
111,1458035980.222524
112,1434400972.314762
113,1419428759.0261333
114,1386833911.054963
115,1364390977.001864
116,1404836814.0181613
117,1415474990.6128383
118,1365402335.4936461
119,1380093720.5299938
120,1426882204.3275669
121,1446624163.9518068
122,1433144613.8224204
123,1428649050.4405034
124,1423815885.5100317
125,1423554494.1359313
126,1420500031.0647857
127,1452073492.106969
128,1472046784.908529
129,1466795997.1378057
130,1470984722.0760972
131,1451547649.2481792
132,1407262610.2015502
133,1436467410.3087966
134,1450193892.489899
