,0
0,1104162886.931805
1,1139338404.5320566
2,1149983483.9142704
3,1147372834.340837
4,1150206060.7240682
5,1172035054.4779518
6,1172733182.0509374
7,1167383356.596149
8,1178206443.7995849
9,1178312606.7353296
10,1176292809.3996825
11,1172836143.9254816
12,1191071957.1206365
13,1207722789.060941
14,1230642783.053535
15,1223793531.0740268
16,1250076054.475659
17,1237452910.902049
18,1231103974.9555666
19,1236759132.9018333
20,1236805442.6365848
21,1236513624.6390305
22,1251269831.2820554
23,1261534946.9525697
24,1271136592.0965555
25,1274145380.2088346
26,1276080007.9494164
27,1281971931.1342213
28,1287372812.0350492
29,1280505225.0292654
30,1275240885.8090537
31,1274970822.3440707
32,1278888155.2404273
33,1271864731.1695206
34,1264089054.447836
35,1270924173.4608974
36,1291797686.003831
37,1270290532.7688854
38,1277294474.0438738
39,1277033634.0299428
40,1266842205.9374654
41,1283567470.7291586
42,1292903502.0660536
43,1285113852.95387
44,1282875047.7537065
45,1302183875.559136
46,1309181996.6719465
47,1327997820.60443
48,1319723801.1396277
49,1299486152.1939166
50,1296356212.7820609
51,1296039555.5294056
52,1300848830.036334
53,1287365586.2089167
54,1294376972.9849648
55,1282571054.8828826
56,1278916632.4105058
57,1270487034.7606893
58,1293027676.188446
59,1285263199.631071
60,1304878252.8337183
61,1318735144.6371882
62,1326737538.414137
