,0
0,8427617.114099503
1,-33529792.49873352
2,12190329.621762037
3,44910173.09671688
4,2829826.726577997
5,-5862193.595562696
6,15999110.740164757
7,44732801.01355219
8,49393804.36977744
9,75657444.6312201
10,-26369960.095065355
11,9254943.444986582
12,-6767612.531801939
13,-18792411.496254444
14,-15171139.964281082
15,-34496715.98085737
16,-24208942.309981108
17,-111085144.7040255
18,78409076.89331317
19,-23958760.166698217
20,-20625484.98797226
21,-1448217.780488968
22,-8829310.363247633
23,48396119.15792441
24,63777057.3226738
25,-75114494.2997253
26,27305680.546468258
27,-47953586.167913914
28,6138080.952562094
29,11362110.586709261
30,25983244.381958485
31,1700021.8995876312
32,57811170.22963834
33,-27598194.135614395
34,-16906959.659518003
35,-8998739.455532312
36,-35378873.262913704
37,73870449.76834893
38,23669701.516789913
39,25527401.48350048
40,-23176207.895605087
41,39375747.86804414
42,9090542.399030209
43,-27920906.817327976
44,-30748300.182706833
45,-18847539.93058729
46,-47510130.92886567
47,-2226118.6014413834
48,5408773.379917383
49,53878451.64212942
50,6562257.512703419
51,-48551721.46214867
52,5707507.49338603
53,12472829.310401917
54,24074294.364595413
55,60450065.0821476
56,12976203.870064259
57,72635920.54902911
58,29616220.468888044
59,-49216021.975360155
60,12090525.995227337
61,-25942645.586666346
