,0
0,1000000000.0
1,999931767.647
2,1000153696.0689999
3,1000904051.7509997
4,999950390.8659997
5,999116325.6749995
6,998029039.2389996
7,997639807.7789996
8,998152201.9989995
9,995171532.7769995
10,995686173.4529995
11,996449958.7609994
12,995367505.3059996
13,993806003.5489998
14,994836131.4579997
15,993426515.2819996
16,998573467.2039998
17,1000116545.0739995
18,998628975.2329998
19,998414249.3859998
20,998492706.5689998
21,1001996000.2179997
22,1000648917.9179999
23,1004787929.5509999
24,1003285350.0689999
25,1002931078.9079999
26,999610453.7299999
27,998668360.1719997
28,1001328648.6389997
29,999004013.3289999
30,994533817.939
31,992490520.6789999
32,991465888.125
33,987645590.8979999
34,992755039.9999999
35,986533713.2139999
36,986717315.2239999
37,985281015.0079998
38,983866187.3299997
39,978020704.3919996
40,981469338.3939996
41,986910361.8439997
42,989449187.1109997
43,988118822.2419995
44,992681973.0689996
45,996935473.1729996
46,1004604908.1619996
47,1005280955.4719995
48,1003006115.5609994
49,1003195142.3229992
50,1008403402.4389993
51,1007493359.7179992
52,1005933794.6399992
53,1011952677.853999
54,1019474048.2139993
55,1026122037.7669992
56,1024147293.0129993
57,1027633833.9209993
58,1026694282.2969993
59,1016809872.6529993
60,1016454858.1129992
61,1023556708.7929993
62,1032903651.2269994
63,1034173348.6629994
64,1036779232.3309994
65,1038366139.8009995
66,1032413096.7899995
67,1049574813.6839995
68,1054662324.6109996
69,1063455932.6929996
70,1063887207.2059994
71,1066910329.9539995
72,1068848285.2429994
73,1065488880.2459996
74,1067570500.9939995
75,1063956850.3639995
76,1067369011.6879996
77,1070934221.5799997
78,1076542880.8579998
79,1072196585.6569998
80,1058889528.061
81,1065313243.1090001
82,1074327882.5800002
83,1081169938.098
84,1082806903.3260002
85,1095028475.305
86,1105735044.0579998
87,1108298551.051
88,1122553745.995
89,1124217606.629
90,1109031659.3639998
91,1107565529.876
92,1108612366.762
93,1122893100.9199998
94,1135942465.6430001
95,1129550802.663
96,1118673576.5099998
97,1117739377.682
98,1108108845.116
99,1100853982.836
100,1114236309.7719998
101,1136578305.3639998
102,1143634114.054
103,1141689037.0279999
104,1139513649.1829998
105,1116086553.234
106,1120207409.6000001
107,1120984130.16
108,1098573416.301
109,1118914764.2110002
110,1119850752.9420002
111,1129084823.2790003
112,1120361171.2150002
113,1123277591.4180002
114,1112386524.7380002
115,1101548342.2320004
116,1115699008.1390002
117,1119597622.0550003
118,1095382687.2840004
119,1094169651.5110004
120,1113121509.8980005
121,1120025706.4140005
122,1125030187.1320004
123,1129391058.0270004
124,1133159835.1510003
125,1131607106.8890002
126,1138034727.8070002
127,1143315244.3160002
128,1136381049.2530003
129,1127979083.598
130,1112564675.9720001
131,1115530526.5970004
132,1082893295.0390003
133,1083123269.0070002
134,1105326395.1170003
135,1104041891.0250003
136,1110402533.0050004
137,1122062653.2070003
138,1132977487.5070004
139,1136202381.2810006
140,1131563706.6020007
141,1131840603.6320007
142,1144452360.2830005
143,1138550384.5570006
144,1125202033.3960006
145,1144103253.2010007
146,1159487548.7680006
147,1178343124.2680006
148,1179986282.0440006
149,1161391598.8290005
150,1177582130.0230007
151,1166094202.5150006
152,1149974303.6200006
153,1144313829.1290007
154,1132416567.8010006
155,1124728902.6470006
156,1127649616.8470006
157,1089977637.3070006
158,1095390042.4410005
159,1098911417.1520007
160,1122750586.4210005
161,1131511494.6980007
162,1141558491.6090007
163,1131468718.8610005
164,1161377206.4830008
165,1157812497.7630007
166,1153214347.7200007
167,1127006301.9120007
168,1145057540.2040007
169,1136801317.6360006
170,1150017479.7220006
171,1141058653.1680007
172,1150034674.3780007
173,1179147552.1230006
174,1178413419.4530008
175,1188851111.8540006
176,1197290670.8120008
177,1188265261.4440007
178,1200574459.3040006
179,1231984391.1220007
180,1242717973.4220006
181,1240106993.1960006
182,1241203405.8240006
183,1272311296.0160007
184,1278285856.4060006
185,1267647501.6030006
186,1278074747.9430008
187,1258024766.7250006
188,1258165796.0160007
189,1264527941.6070006
190,1260973347.5170007
191,1212349287.2290008
192,1204021059.3690007
193,1222724684.6090007
194,1220836423.3590007
195,1245347073.7690008
196,1227973409.3230007
197,1206055273.8230007
198,1239786656.3810008
199,1255284857.1990006
200,1255089651.3890007
201,1255373544.5290008
202,1260651407.7160008
203,1275736559.4070008
204,1241004331.7140007
205,1245591681.2360008
206,1267898092.8060007
207,1271930684.1840007
208,1227958347.9040008
209,1195416477.7740006
