,0
0,1332350265.5499976
1,1309832925.0069973
2,1318834424.1019974
3,1318447143.6509974
4,1294672724.1809974
5,1290454654.4059975
6,1293590174.7259974
7,1294680497.7519975
8,1298063939.5789974
9,1279272677.3519974
10,1285781111.2139974
11,1276130442.9339974
12,1283886676.8219974
13,1287274362.5669975
14,1284932305.1959975
15,1294561940.2309976
16,1292483132.6069975
17,1282360700.0129974
18,1289727594.1689975
19,1316135449.5289974
20,1311825259.6549976
21,1321280637.5819974
22,1320499311.2619975
23,1307276533.7669976
24,1311334966.1679974
25,1304777194.4959974
26,1327797230.6759975
27,1335671231.5329974
28,1316505976.1229975
29,1308057229.7729974
30,1313271883.3729975
31,1308607256.7289975
32,1322684731.8289974
33,1316362844.6099975
34,1312567125.8329976
35,1288266745.1749976
36,1289151570.4299974
37,1293882368.7279975
38,1306848472.3959975
39,1290652723.5259974
40,1285553315.8459976
41,1287489657.9699974
42,1292160450.3739974
43,1298933285.0259974
44,1300683268.6049974
45,1324496296.6099975
46,1307047871.2599976
47,1318851567.3839974
48,1334880848.9299974
49,1324938411.7999976
50,1333696046.0999975
51,1323987048.4649975
52,1310809400.0349975
53,1278926780.4589975
54,1275816121.2809975
55,1282113937.5829976
56,1279118198.5329976
57,1290841158.6529975
58,1283028257.0759976
59,1269280941.1679976
60,1245485771.0279975
61,1235140683.8069975
62,1245485203.4969976
