,0
0,191674.04400014877
1,-3182399.3919997215
2,2659300.3299999237
3,-1427744.8380000591
4,-228821.2200000286
5,-3171409.0170001984
6,1462215.6930000782
7,-4792440.766000032
8,-5520700.320999861
9,4735560.023999929
10,-4201625.670000076
11,-1573619.46600008
12,-1477190.519999981
13,7685786.427999973
14,-2316293.5190000534
15,8693602.869999886
16,6309462.3600001335
17,10220822.004999876
18,-2660939.172999859
19,4466704.104000092
20,-569100.2479999065
21,-5176301.625
22,-598971.5160000324
23,6032162.7649998665
24,-11849612.526000023
25,1574664.3399999142
26,3519808.190000057
27,-4868289.234999895
28,-6543336.265000105
29,-1880866.140999794
30,5014233.058999777
31,12799834.513999939
32,-5752684.866999865
33,12783374.51999998
34,5588647.684000015
35,-3744523.1760001183
36,8956234.60800004
37,12488303.835000038
38,-5546497.292000055
39,9174073.860000134
40,-29271643.34800005
41,-34027233.812000036
42,-12328701.167999983
43,-8731521.447000027
44,-13184644.243999958
45,-49138809.52999997
46,32444512.57099998
47,-8418107.880999923
48,8473211.402999997
49,12003305.259999871
50,-12178921.829999924
51,10187684.53399992
52,10361479.01999998
53,-23463347.169999838
54,-7216035.002000093
55,8890845.514000058
56,-26026664.570000052
57,-6423005.983999968
58,11456277.06400001
59,6146592.187999964
60,5327978.083000064
61,39576429.52600002
