date,trade,sell,buy
20191114,25,9,16
20191115,23,7,16
20191118,25,7,18
20191119,23,6,17
20191120,24,7,17
20191121,23,7,16
20191122,24,9,15
20191125,26,11,15
20191126,23,8,15
20191127,26,9,17
20191128,23,9,14
20191129,22,9,13
20191202,21,6,15
20191203,24,8,16
20191204,20,6,14
20191205,23,5,18
20191206,24,8,16
20191209,23,8,15
20191210,24,6,18
20191211,24,6,18
20191212,23,6,17
20191213,23,10,13
20191216,23,6,17
20191217,23,5,18
20191218,24,6,18
20191219,24,6,18
20191220,23,6,17
20191223,21,7,14
20191224,24,8,16
20191226,23,6,17
20191227,24,5,19
20191230,23,6,17
20200102,25,7,18
20200103,25,7,18
20200106,22,6,16
20200107,24,6,18
20200108,23,6,17
20200109,22,6,16
20200110,20,6,14
20200113,23,5,18
20200114,22,4,18
20200115,21,3,18
20200116,20,5,15
20200117,20,5,15
20200120,24,6,18
20200121,20,6,14
20200122,20,5,15
20200123,23,7,16
20200128,20,6,14
20200129,20,4,16
20200130,21,6,15
20200131,21,5,16
20200203,22,4,18
20200204,20,5,15
20200205,23,7,16
20200206,19,6,13
20200207,22,6,16
20200210,18,4,14
20200211,20,6,14
20200212,22,3,19
20200213,20,4,16
20200214,20,5,15
