,0
0,1000000000.0
1,998203930.1598094
2,1000269796.572187
3,1003729037.8899498
4,999613590.4156135
5,995937435.514911
6,988571644.0849625
7,990540927.3554739
8,999381241.0959711
9,966479425.673812
10,984586208.4137967
11,992943943.5506635
12,970024273.6225322
13,955522442.2966398
14,962780981.8309935
15,950016985.6838499
16,990166004.7666869
17,995917480.8455905
18,983082222.3778167
19,971010136.9584385
20,975844556.6232
21,989613857.2303402
22,988195992.3774407
23,1006941057.6899004
24,1000422200.8030963
25,999060716.0883731
26,988709284.064143
27,981258911.8369706
28,993450874.428919
29,993032926.4037727
30,960928211.4188787
31,945341730.8686005
32,926615409.2627238
33,894091647.7895612
34,922346165.1144851
35,891943793.9632983
36,904174287.7992975
37,886455406.5792059
38,880448974.811238
39,848185927.4200809
40,861279876.7936718
41,891001711.9214137
42,884337147.9985001
43,887481525.6185458
44,909206947.249931
45,922818426.9146521
46,950089189.506426
47,961433738.2669003
48,959308407.3087902
49,945786326.3631822
50,965221788.6792276
51,967998697.9281116
52,972004325.504662
53,988943668.3954394
54,1001699916.0775061
55,1019226920.2704645
56,1015010834.40969
57,1031372065.5875695
58,1034806215.2865262
59,1011557666.8077732
60,1021060865.4480221
61,1049118521.4923084
62,1068075105.7530533
63,1055188111.7691842
64,1063946656.1089398
65,1070057957.8500593
66,1068463774.0188184
67,1113888219.3929267
68,1127404931.441558
69,1148426151.5040748
70,1146708684.9487917
71,1167106113.6562443
72,1167357317.9536755
73,1143732751.1817048
74,1150322269.2792237
75,1147988980.872455
76,1166762943.117461
77,1217471200.7027972
78,1228383712.0551498
79,1210434792.0424216
80,1171446048.933676
81,1207989944.9404144
82,1232560354.0922098
83,1213592256.7661753
84,1194134444.657783
85,1202271517.018105
86,1213294336.9918067
87,1211686513.1141632
88,1257588444.8016431
89,1261334405.8025641
90,1226316580.4107952
91,1232907717.4179792
92,1227637802.3205824
93,1263210128.5628407
94,1281111095.5990372
95,1261173337.0053184
96,1278067620.325355
97,1274429529.0612097
98,1263253256.0317156
99,1246838411.0360792
100,1264174133.5708685
101,1296620271.533823
102,1303263019.8879085
103,1281552258.0470264
104,1258866312.3393855
105,1234273758.5600781
106,1257228313.8185866
107,1260875461.9807978
108,1263577122.1004508
109,1303275181.0741177
110,1309206809.1608088
111,1321899163.1710832
112,1304509942.1611662
113,1304622983.7814455
114,1285630371.0422869
115,1277392352.8417397
116,1294940204.1852543
117,1298384064.9206696
118,1260035948.967522
119,1269102393.6740444
120,1304139421.1081743
121,1312347780.4261346
122,1296898110.8595738
123,1309979327.1545887
124,1306958315.0919147
125,1307928476.0131269
126,1310963066.8715513
127,1322709793.0928442
128,1335228814.270693
129,1337600161.902689
130,1318378874.490687
131,1318234646.126186
132,1293801029.2649446
133,1296503913.4635859
134,1325802740.15003
135,1332157144.9185085
136,1335860919.5159464
137,1349625473.71181
138,1346624433.7765186
139,1342510968.8754225
140,1342221692.380923
141,1342175014.7533636
142,1359280472.865176
143,1356757050.2620742
144,1334735504.7257032
145,1341202754.3710692
146,1379277204.5339036
147,1375945778.3373656
148,1403510238.5469642
149,1399506107.016406
150,1414771883.525797
151,1436934734.2667947
152,1454117097.5235257
153,1473846157.9271872
154,1453963351.1463833
155,1449900132.6548262
156,1460761532.493239
157,1433500405.109335
