,0
0,7259168.181604385
1,4006766.265055895
2,10798626.844286561
3,6252920.10401547
4,-3576378.736242652
5,-195326.21039259434
6,-4949720.886507273
7,-10820524.965762615
8,-7828534.278889179
9,7879706.924185395
10,10902040.801965594
11,1307059.4369590282
12,-10321451.492257118
13,-8442736.185286403
14,11728197.629177332
15,-10223857.5962677
16,-14781151.302559495
17,2034314.311169386
18,-1267409.1571807861
19,11592377.812511444
20,13238294.55723095
21,14821128.77207613
22,-6286992.3888607025
23,-1770519.3097558022
24,-1414139.9942464828
25,4090456.7164018154
26,-2571886.0769399405
27,-2275708.266207814
28,6556555.104869366
29,6153204.816863179
30,-7968411.595615506
31,964476.0693899393
32,-13534.761453270912
33,-2207183.6695575714
34,4074326.985123396
35,5523062.467313647
36,443316.3264567852
37,-954204.9441658258
38,7076435.045637608
39,-7705401.622285128
40,-9642227.788390756
41,1380932.3743925095
42,-13091320.213697195
43,-19569408.105980277
44,-11802979.718909025
45,8878925.308303833
46,-31886.412989616394
47,8274063.8333415985
48,3918292.7334098816
49,4606155.372754097
50,222494.15132761002
51,4783011.289051533
52,-11080595.272972107
53,-2702912.613618493
54,-9348336.794871569
55,-313367.51600015163
56,-677680.483758688
57,-3659446.625147581
58,-21682478.665827394
59,17969531.061246753
60,8316685.222512841
61,-9047536.35251844
