,0
0,1166339138.1121075
1,1134329629.578684
2,1135401205.4987643
3,1155281632.792301
4,1152975753.8992014
5,1159385367.9338102
6,1127057972.6040971
7,1133948060.1065543
8,1097734548.1126926
9,1110012336.0435255
10,1124439024.4662807
11,1149008350.897771
12,1128768815.2806776
13,1148840277.0138314
14,1152316092.8697884
15,1138881312.0004377
16,1106471780.8709762
17,1108449650.47217
18,1088450358.423151
19,1120668074.0616448
20,1134061212.5512142
21,1135398311.3188717
22,1127531270.692612
23,1131827575.4609203
24,1156087477.134914
25,1168782299.01534
26,1175481339.108847
27,1179622329.2155752
28,1162624075.6776507
29,1155682533.5344298
30,1183684603.9605951
31,1194467613.258091
32,1194521920.2416909
33,1173620810.488431
34,1154641416.8722394
35,1157871903.7620041
36,1165612890.7851527
37,1158824356.968985
38,1199193090.5531037
39,1190031194.8105962
40,1221572479.5418947
41,1233937963.8188562
42,1253172090.7855098
43,1282949216.1990278
44,1293952899.5715523
45,1277171803.7287235
46,1256611745.2664678
47,1235769003.6518083
48,1256506620.3701155
49,1228958803.0944471
50,1229802531.6466906
51,1203125274.905847
52,1210019704.3507123
53,1273697033.4238636
54,1289077469.758658
55,1290743735.5460699
56,1306985030.723287
57,1266922625.5381584
58,1265873584.5103202
59,1253897996.6628797
60,1258103728.5618575
61,1259693794.3888938
62,1283652457.6186557
