,0
0,-8725688.608999968
1,3144167.3190000057
2,-574634.5270001888
3,-18814257.863999844
4,-3410954.496999979
5,-6360743.029000044
6,2796783.637000084
7,519562.53299999237
8,-14008671.828999996
9,3094339.0269999504
10,-3766313.4379999638
11,7583293.8680000305
12,2959947.0739998817
13,-893968.0859999657
14,10535249.38499999
15,-5856037.09100008
16,-4583492.65899992
17,3341446.1380000114
18,21859579.751999855
19,-123605.63799977303
20,2236270.280999899
21,1185086.9369997978
22,-7836641.475999832
23,1252064.5769999027
24,-6318424.453999996
25,15375852.911000013
26,12030224.921000004
27,-5938815.434000015
28,-5513427.288000107
29,3678273.338000059
30,-151277.61299991608
31,2691144.5099999905
32,-780120.1540000439
33,-12109573.518999815
34,-12098002.974000216
35,3577752.202000141
36,6390638.493999958
37,9143531.25999999
38,-18667503.596999884
39,-9573088.71300006
40,2721213.197999954
41,11706615.101999998
42,9350799.5710001
43,-1693652.6180000305
44,13932066.684000015
45,-7596456.325999975
46,-2228569.8570001125
47,20439207.20900011
48,-3568909.288000107
49,5279276.211999893
50,-11934296.463999987
51,-7129985.16899991
52,-2230088.109999895
53,-14337979.782000065
54,-1871852.5069999695
55,-2156131.330000162
56,5143807.119000196
57,2053752.2039999962
58,-19043806.494000196
59,-21704191.812999964
60,-1142193.1180000305
61,21342015.183000088
