,0
0,1000000000.0
1,999999169.057
2,999963608.9180001
3,1000150667.599
4,999721107.5139999
5,999342349.4509999
6,998964399.316
7,999261001.4159999
8,999787483.5239998
9,997894252.4079998
10,998750571.0749998
11,999540511.1209999
12,998411916.329
13,997555960.2469999
14,998186164.8640001
15,997620414.7810001
16,1000525494.948
17,1001534009.5719999
18,1000872142.197
19,1000236079.8429999
20,1000356088.3769999
21,1002087462.6839997
22,1000389748.1729995
23,1002993125.7529995
24,1002550225.5899994
25,1002362549.7499994
26,1000196209.7319994
27,999828324.4209994
28,1002105929.7329993
29,1001629083.2149994
30,996854557.1749994
31,996156734.8209993
32,994790519.9999993
33,991949535.9019992
34,996156183.5309993
35,993116639.0109993
36,993546653.1609993
37,992545631.1569995
38,991234621.5299995
39,986046805.2229995
40,988476808.2659996
41,992759444.0749997
42,993715497.5429997
43,994924829.1089997
44,998438205.3199998
45,1000862859.8889998
46,1008462255.6589998
47,1009827607.5949997
48,1006875350.0749997
49,1007121803.4399997
50,1012054733.8139998
51,1013874287.4019998
52,1013284055.6749998
53,1016331749.7699999
54,1023049727.555
55,1026950579.5600001
56,1027337077.3930002
57,1031290378.0490003
58,1029670485.3900002
59,1019510050.9110001
60,1020417049.807
61,1028019219.5290003
62,1036100894.7390003
63,1035195760.2970002
64,1039146260.2860001
65,1040142148.0980002
66,1031944161.2200004
67,1046992012.9360005
68,1048986286.0720004
69,1050880526.9490004
70,1052609955.9060003
71,1051226346.6740004
72,1052334617.4640002
73,1050430941.2230003
74,1053672673.8630002
75,1050712732.6960001
76,1055385769.9010001
77,1060547635.4560002
78,1059171416.1180003
79,1054225582.8150003
80,1045941614.613
81,1054459220.2909998
82,1061221940.0909995
83,1070670574.9459996
84,1066727981.5319998
85,1070755023.303
86,1078365444.409
87,1082097685.192
88,1084411815.0099998
89,1085954442.1039996
90,1077636438.0829995
91,1079926225.0199995
92,1075042379.1729994
93,1088989139.9939995
94,1092935358.3139994
95,1091562934.1879992
96,1084483107.9089994
97,1086155240.0169995
98,1075932379.1809998
99,1073401895.8109996
100,1088140928.0319998
101,1098585414.135
102,1102940496.288
103,1098988323.723
104,1094277345.9840002
105,1085032607.6750002
106,1088079286.508
107,1088382700.6669998
108,1084098948.0609996
109,1102718848.4459996
110,1097385195.8289995
111,1100831293.9409995
112,1094334562.8709996
113,1092110718.0489995
114,1082591826.4029994
115,1076120676.3749995
116,1086122855.7819996
117,1090686119.0059996
118,1075946043.7129996
119,1076456973.6819997
120,1086912421.4629998
121,1092544803.4319997
122,1089464153.4739995
123,1089326165.0419996
124,1094190288.0909996
125,1096466127.2249994
126,1094780629.5089996
127,1099797034.4059997
128,1098898965.2409997
129,1097940577.5989995
130,1097406582.4169996
131,1091236093.9729996
132,1075927452.1489997
133,1078623173.2799995
134,1092059096.6809995
135,1096939853.7579994
136,1098639947.0259995
137,1115118352.2559996
138,1123578380.1709995
139,1127249015.8249996
140,1130601897.9529998
141,1131167234.7489998
142,1138964602.0979998
143,1140952849.8099997
144,1136191760.6859999
145,1134745770.5029998
146,1151396876.0219998
147,1161835295.869
148,1162719652.547
149,1158501033.619
150,1157774686.0219998
151,1158818308.948
152,1164036539.612
153,1162612688.574
154,1159785936.165
155,1155892192.3779998
156,1165602993.106
157,1141837227.538
158,1142178776.188
159,1140764479.477
160,1161994832.939
161,1174473919.4129999
162,1187417991.945
163,1186278820.2519999
164,1200100151.9659998
165,1196176884.0619998
166,1207604712.623
167,1186927406.684
168,1203391374.376
169,1198945349.5939999
170,1201490532.7419999
171,1195832511.648
172,1205373510.004
173,1230990236.4629998
174,1225691397.205
175,1246904276.204
176,1239241458.7779999
177,1236955357.8660002
178,1267926300.28
179,1280003099.694
180,1274433807.45
181,1279575875.7350001
182,1278467004.582
183,1308281859.154
184,1311462853.815
185,1314809277.364
186,1323245034.287
187,1311132938.45
188,1317642024.7540002
189,1300256909.638
190,1271289001.457
191,1252623459.381
192,1241022414.99
193,1241120858.056
194,1251947414.808
195,1264906467.7940001
196,1233764443.9490001
197,1225889389.6680002
198,1234977005.384
199,1244988187.572
200,1245706169.272
201,1257515207.582
202,1263596599.6220002
203,1262808038.9940002
204,1226166798.74
205,1233938217.815
206,1248280144.22
207,1258912401.5760002
208,1233843013.838
209,1220606821.7120001
210,1208092988.2510002
211,1185945798.941
212,1167598373.667
213,1201362559.243
214,1174733250.206
215,1201489717.7510002
216,1207104385.4680002
217,1211440916.4220002
218,1224955565.499
219,1192404130.7250001
220,1191267103.095
221,1213310339.713
222,1187275023.5630002
223,1207368910.0930002
224,1230439762.736
225,1233745468.1260002
226,1227944379.283
227,1206805646.273
228,1204343893.733
229,1192839375.993
230,1132040271.993
231,1156512525.509
232,1157977373.4050002
233,1176741065.0240002
234,1197188158.844
235,1205088974.255
236,1212476683.9680002
237,1208902356.3100002
238,1218248146.5660002
239,1228732369.944
240,1227703640.0040002
241,1219652691.357
242,1218492990.644
243,1211042491.555
244,1198386450.015
245,1185344032.795
246,1191916306.8850002
247,1193949077.085
248,1203052450.285
249,1224119177.0330002
250,1224827939.733
251,1217794459.2250001
252,1230176371.325
253,1239439696.1320002
254,1229593969.4320002
255,1240506947.236
256,1222692282.963
257,1213448096.1750002
258,1202719721.7610002
259,1210838115.561
260,1200651033.022
261,1202700857.2700002
262,1203639358.8760002
263,1208784341.582
264,1200455269.957
265,1184840602.3270001
266,1190849339.1750002
267,1165384338.992
268,1166220103.917
269,1148602577.414
270,1139741939.765
271,1146670421.0010002
272,1127305989.921
273,1120759980.1560001
274,1103335828.296
275,1116694682.3040001
276,1123948639.0100002
277,1090821825.5890002
278,1087971832.6360002
279,1090492817.6780002
280,1086001969.6320002
281,1107629953.7510002
282,1117115704.7120001
283,1113338477.7080002
284,1135409456.755
285,1132078733.877
286,1121659778.986
287,1144752410.6460001
288,1142510662.5760002
289,1142896937.506
290,1128325209.7310002
291,1132064042.482
292,1164124514.9480002
293,1172752603.6060002
294,1160872837.426
295,1170643599.9060001
296,1180140115.91
297,1176022099.7500002
298,1180883715.1200001
299,1184415282.3720002
300,1196824537.1620002
301,1192044433.9220002
302,1188226378.1460001
303,1207687776.6360002
304,1192744049.434
305,1199770479.0570002
306,1194397695.1060002
307,1204881023.841
308,1203779558.115
309,1208189945.568
310,1217212639.8260002
311,1212282026.8930001
312,1216208043.1810002
313,1202821251.2250001
314,1230793426.469
315,1229475350.357
316,1241060447.976
317,1239584842.121
318,1249739057.95
319,1248977124.874
320,1245911423.394
321,1239271646.2210002
322,1245351481.8000002
323,1270558746.1060002
324,1271009002.9210002
325,1264558563.479
326,1244993987.2540002
327,1247321606.8040001
328,1266231033.2370002
329,1273734323.3860002
330,1275334290.7380002
331,1287701664.7010002
332,1285057580.059
333,1278839010.13
334,1285589379.0920002
335,1298923095.5560002
336,1290056446.0410001
337,1290668569.5070002
338,1269233095.9490001
339,1232589069.9510002
340,1239008450.8790002
341,1229111386.549
342,1223825500.9750001
343,1255493937.5310001
344,1245368263.969
345,1212930561.0870001
346,1193661549.7800002
347,1187557116.3720002
348,1172112478.5890002
349,1176503194.407
350,1149689518.401
351,1149435340.39
352,1181195071.1000001
353,1207284034.568
354,1212280396.108
355,1198729990.9210002
356,1217121365.8790002
357,1226411410.7110002
358,1204618808.1810002
359,1211672572.9210002
360,1208234522.9610002
361,1211356878.361
362,1236184757.9190001
363,1242215729.999
364,1241166479.5000002
365,1247021022.828
366,1249411729.2580001
367,1248041425.7580001
368,1269689151.288
369,1257759156.743
370,1259285812.071
371,1278489426.509
372,1273841526.739
373,1279091676.0990002
374,1262352051.1580002
375,1260848330.91
376,1244105735.8700001
377,1229757353.1920002
378,1227490340.463
379,1253364948.91
380,1244228268.41
381,1267454380.5800002
382,1271224367.9780002
383,1289334675.9840002
384,1286319387.5340002
385,1301355491.2380002
386,1294190245.2350001
387,1274352323.976
388,1264936425.6320002
389,1274304571.0440001
390,1274838610.4670002
391,1282249971.7730002
392,1303290758.601
393,1315990858.344
394,1315257280.5590003
395,1308561242.959
396,1318802666.509
397,1311469916.0890002
398,1354462685.131
399,1361287509.8600001
400,1369162549.4870002
401,1374089349.5360003
402,1365371606.7250001
403,1372886421.1590002
404,1356430033.8170002
405,1343889309.0240002
406,1294248679.7300003
407,1310711011.7440002
408,1310283773.226
409,1319426755.7870002
410,1322877858.16
411,1350266860.9390001
412,1338566168.8730001
413,1317423147.7440002
414,1327834897.8980002
415,1296943255.0040002
416,1296418710.9780002
417,1293196209.288
418,1318768634.16
419,1315637039.243
420,1347420926.831
421,1342874444.641
422,1354953803.881
423,1361664502.4670002
424,1352965918.463
425,1357724209.486
426,1361305937.3360002
427,1383146739.2220001
428,1403902317.4480002
