date,trade,sell,buy
20190211,21,7,14
20190212,21,6,15
20190213,22,6,16
20190214,22,8,14
20190215,21,8,13
20190218,22,8,14
20190219,23,9,14
20190220,22,11,11
20190221,21,8,13
20190222,21,7,14
20190225,21,7,14
20190226,22,11,11
20190227,20,6,14
20190228,23,9,14
20190304,25,9,16
20190305,26,12,14
20190306,25,14,11
20190307,23,8,15
20190308,24,12,12
20190311,24,12,12
20190312,21,12,9
20190313,21,12,9
20190314,21,10,11
20190315,21,10,11
20190318,20,9,11
20190319,19,9,10
20190320,18,7,11
20190321,19,7,12
20190322,16,8,8
20190325,19,8,11
20190326,17,8,9
20190327,20,8,12
20190328,22,6,16
20190329,21,7,14
20190401,21,8,13
20190402,19,7,12
20190403,20,10,10
20190404,21,8,13
20190405,21,7,14
20190408,21,7,14
20190409,23,9,14
20190410,22,6,16
20190411,23,5,18
20190412,23,5,18
20190415,23,4,19
20190416,22,8,14
20190417,22,8,14
20190418,23,7,16
20190419,23,4,19
20190422,25,5,20
20190423,25,4,21
20190424,24,6,18
20190425,24,6,18
20190426,24,7,17
20190429,23,5,18
20190430,22,4,18
20190502,22,4,18
20190503,22,4,18
20190507,23,6,17
20190508,21,5,16
20190509,21,4,17
20190510,22,8,14
