,0
0,1458962770.5270011
1,1460303493.163001
2,1475921474.6950011
3,1464429747.9570012
4,1457376832.310001
5,1455814813.802001
6,1444876442.7550008
7,1450699452.658001
8,1448502516.0430007
9,1451165101.5840006
10,1450263788.198001
11,1443511590.4070008
12,1444017551.7730007
13,1439558449.282001
14,1444072664.509001
15,1444144780.873001
16,1444951236.861001
17,1444070325.9810011
18,1444070325.9810011
19,1444010923.3850012
20,1443910938.4370012
21,1443883213.4240017
22,1443883213.4240017
23,1444132981.5030017
24,1444470558.4110017
25,1444426411.5640018
26,1445385365.9900017
27,1445205303.3030019
28,1444672857.6650016
29,1444967611.9280016
30,1443399759.0330017
31,1441594111.6630013
32,1441475000.0950015
33,1441098788.3590014
34,1442685647.9370015
35,1442638238.0770013
36,1442638238.0770013
37,1442638238.0770013
38,1442638238.0770013
39,1442375209.0580015
40,1442191403.4270015
41,1441254928.2710016
42,1440347183.8240016
43,1437085043.7710016
44,1434931887.566002
45,1436647356.825002
46,1438650404.042002
47,1438838524.525002
48,1438627701.1850019
49,1438638616.5780017
50,1439847840.9430017
51,1441932590.8070016
52,1442545322.700002
53,1442427030.0440018
54,1442109347.9770017
55,1441338329.2130017
56,1440937836.4210017
57,1440888754.7240016
58,1444239206.3390017
59,1440452524.3430016
60,1440424893.4430013
61,1441694663.3240013
62,1439995885.268001
