,0
0,-18664.294089133153
1,3021.8467775916215
2,15960.099516035058
3,-8323.707479804754
4,12371.542248092359
5,-7555.2294368429575
6,10854.738905732054
7,16757.527719549835
8,-17743.665799210314
9,-5895.039691920625
10,-1495.9792121313512
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,250.03616986842826
29,-101.10557529423386
30,208.5892664710991
31,1927.9420100641437
32,-1354.8460604383145
33,-221.07501804316416
34,-706.8016267754138
35,-401.4606830517296
36,-7330.894745646277
37,6915.403982467018
38,-5974.406658618245
39,7721.848237320082
40,10357.61747130123
41,-1283.276321650017
42,14630.206636200892
43,-1413.7499799442012
44,3035.9850316918455
45,250.05134846107103
46,942.4373530838639
47,-8326.293079513125
48,-2208.7212476595305
49,-3013.0631755662616
50,-9645.416599046206
51,-19110.21097754105
52,983.5019447342493
53,-12783.133103112224
54,4028.7181618718896
55,-21020.203352200566
56,355.54876904864796
57,-11369.122840062017
58,10289.93185658683
59,7856.899300411576
60,-1457.96903541754
61,0.0
