,0
0,1000000.0
1,999988.8745259914
2,1000649.6594673535
3,998313.4948756517
4,998177.0954681044
5,995620.0449430388
6,993332.5056097747
7,993427.8650756178
8,989390.8052445311
9,990282.7283663519
10,991292.8252444451
11,982189.6280075064
12,997124.009914777
13,991893.4248899358
14,991020.0342055092
15,991331.6827420085
16,992083.5304574599
17,1000508.9528769968
18,989232.0294530027
19,983894.5967304799
20,982035.1250583755
21,989617.3459614944
22,986675.7784000656
23,988384.3887028792
24,1000264.0757278953
25,1000570.3340592105
26,983215.0268414672
27,989937.2908528869
28,990269.1400603739
29,983516.8450975392
30,960131.19793674
31,961932.7397887781
32,951084.9636544965
33,948333.1788456438
34,922366.4045268781
35,941947.3201602285
36,934265.6019626344
37,942258.3497474701
38,949683.9635847199
39,928643.7846521686
40,921161.9080596584
41,934955.7689933404
42,914908.5508078497
43,910684.9561503836
44,893933.1659185044
45,928570.9741556728
46,935237.0728930112
47,953873.4772441182
48,959017.1690390997
49,961088.6763815368
50,977937.5518060958
51,978804.2520872017
52,979924.271214188
53,970773.3572901788
54,1029263.8346059913
55,1022643.3384005806
56,1023802.6044020251
57,1044237.5770201964
58,1005507.266505933
59,987009.9926076682
60,1009781.9643093367
61,1027746.6280071891
62,1070349.7904176211
63,1094871.1180001257
64,1084860.7580665646
65,1051738.8378131108
66,1070085.4678712091
67,1096797.2383276748
68,1092353.5901207724
69,1071892.081450123
70,1077082.2811703517
71,1107796.112616574
72,1113057.118597278
73,1081599.0103544288
74,1108380.5517787451
75,1112159.983983192
76,1107104.0579418847
77,1118645.5094912872
78,1107589.4094209517
79,1122861.4256150245
80,1149139.6874934416
81,1178019.8832215948
82,1183791.5064687808
83,1208522.7845573898
84,1202142.7055891
85,1186789.7585009118
86,1174355.3864204176
87,1194188.1381023694
88,1196702.4235873674
89,1199269.8137208174
90,1163169.917165408
91,1173304.5106769803
92,1170022.018349306
93,1213284.754139106
94,1218548.922631926
95,1204704.9656549206
96,1184342.6192330022
97,1180423.8035258073
98,1205773.8479467523
99,1187585.8119241048
100,1204846.3031756468
101,1225254.0178984138
102,1241744.0001066313
103,1251711.8846074932
104,1235160.0457204622
105,1247457.7788169933
106,1245852.8595045554
107,1240958.925326104
108,1256902.125470094
109,1252302.1279802097
110,1258211.2290746942
111,1254412.95268608
112,1233769.3581519518
113,1220965.7437089812
114,1218088.7032203355
115,1218276.4608295462
116,1216304.8653777645
117,1184206.3652992751
118,1190757.8112951466
119,1194334.1328969703
120,1215653.3842534083
121,1214311.9389233363
122,1222013.2185904414
