,0
0,1212553.2219868654
1,1218863.6675798155
2,1226763.1013288507
3,1226130.2249444441
4,1228799.005644046
5,1231848.2977779713
6,1235168.5213201412
7,1234320.459183991
8,1238291.7965140366
9,1250070.5069522324
10,1250617.1615168706
11,1246090.3477360678
12,1235558.3644637773
13,1239919.613520591
14,1240723.4125589482
15,1249392.589152791
16,1242465.939761795
17,1251748.6432322746
18,1253804.736485146
19,1259806.6578639175
20,1271075.7821652887
21,1269819.9333112643
22,1268559.4428225555
23,1277590.7159967737
24,1284616.862396316
25,1288044.7463600808
26,1290256.5442391974
27,1288201.0222903525
28,1280775.0962191015
29,1280277.7607845257
30,1265061.7526203191
31,1257672.086588111
32,1265954.7835512126
33,1263021.2012583814
34,1263876.197344458
35,1275429.7274777873
36,1279564.0993808564
37,1283196.2372931994
38,1275634.1951241517
39,1283041.0757864325
40,1280844.1393639734
41,1293996.2503569114
42,1291753.1019441804
43,1296930.7537283518
44,1290126.086493879
45,1282121.358965189
46,1284674.8846926927
47,1285598.809689696
48,1297148.9363563336
49,1293554.999139722
50,1295286.69119947
51,1291256.7365552762
52,1296717.6330159872
53,1307418.334518884
54,1301475.0456645403
55,1304237.1598779035
56,1319553.3007491298
57,1321363.1999740945
58,1311925.6941352647
59,1311002.100507858
60,1313359.0252027886
61,1305400.9380411976
62,1324839.799677705
