,0
0,1000000.0
1,999619.2463492476
2,996175.6307858236
3,987892.4626929166
4,983286.4259405276
5,982742.2300388049
6,985600.797428756
7,971752.5103933811
8,981248.8415659386
9,964727.4101609408
10,963030.3544269176
11,947589.8317469507
12,956653.7325608479
13,972073.538458779
14,957579.5522754608
15,969669.5292406654
16,957433.8872859881
17,961744.0660476583
18,986669.81471775
19,988059.1078787218
20,977638.6392961034
21,986815.4390774365
22,993623.8640360206
23,981284.5914412489
24,962554.5931943109
25,964708.2861809379
26,963731.8697658498
27,947395.4800756179
28,966836.3808891875
29,983070.8808876617
30,1001815.7286999649
31,1000279.1384114686
32,1000355.1107500409
33,1016865.3362664855
34,1007715.6656849241
35,1008630.8399984399
36,1019895.3278848819
37,1016415.1626057489
38,1007290.3064655573
39,1029867.0259789687
40,1031501.7201575278
41,1037489.8859850791
42,1039698.0857022271
43,1044236.9677329817
44,1034451.8420136446
45,1035812.4209962696
46,1036966.491793768
47,1053848.2935172252
48,1053337.2300547448
49,1051539.6869397205
50,1056095.4406610753
51,1064443.2905016467
52,1071708.2094847388
53,1075876.8528028105
54,1077278.7777039174
55,1074308.0191416412
56,1075777.7418592619
57,1076572.4832919706
58,1085397.6118977612
59,1087862.5375914273
60,1085711.806118394
61,1094636.078193425
62,1093604.0269607469
