,0
0,1000000.0
1,999724.470213627
2,1000195.0135158431
3,997656.2678616605
4,996717.0498500676
5,994590.129383198
6,992250.0382191819
7,992525.4153607816
8,986367.6050392742
9,986919.0255546193
10,988522.2851938179
11,977337.7247221412
12,984183.9853261816
13,978799.9695319361
14,978782.417382597
15,977205.5643431235
16,981305.9562784117
17,989585.077874844
18,980182.1285530053
19,971670.9948903916
20,967613.1969968532
21,976873.2921502851
22,971304.9498777598
23,981449.077915349
24,993665.690030464
25,991417.7902890702
26,965526.1749257669
27,971827.857449578
28,973193.4057952268
29,962162.1428209983
30,943995.779395147
31,948441.593177526
32,942379.8642703857
33,937452.2065333335
34,914881.3906870602
35,936790.1366044353
36,923998.7601317118
37,906028.4185310139
38,896488.6175123903
39,870789.5259183053
40,868591.0622018421
41,882073.7735249959
42,855617.5932320891
43,857064.6983099901
44,840681.4222593207
45,884190.8399878432
46,882771.5339641243
47,917097.4351063368
48,932917.8670113685
49,923078.4219164425
50,949353.2852186348
51,966419.8659628658
52,947261.849851584
53,931739.0155485175
54,1000927.061092665
55,982855.7942916205
56,993164.5796074407
57,1019699.6716476642
58,999752.3371772562
59,962254.311667696
60,980157.5245188817
61,1005459.6891537424
62,1031500.9088790427
63,1039198.8233924462
64,1030634.3992310248
65,1006339.9122667313
66,1019138.1828665591
67,1062423.6074483318
68,1071649.9918259194
69,1040529.5137608076
70,1062839.1271947569
71,1077170.0845857398
72,1083472.8500140163
73,1029151.7389337327
74,1045708.1198093664
75,1036918.4005767438
76,1053504.7236566995
77,1097094.98337303
78,1081826.804031261
79,1085076.612171215
80,1115739.0599760306
81,1134871.1854977852
82,1130999.9949329137
83,1171216.7184659012
84,1162161.3299086455
85,1168919.0759470088
86,1149666.8378053089
87,1199420.3477785601
88,1165599.7128944215
89,1165155.6618321044
90,1128037.0316051978
91,1150228.867482053
92,1135939.8503978832
93,1181941.4552041295
94,1170863.8423627485
95,1159667.379180646
96,1143110.3908532949
97,1135472.3255964043
98,1165504.0131467928
99,1143535.0853113204
100,1162487.3801832346
101,1183513.5697535102
102,1203192.783734974
103,1208832.7002440721
104,1191442.8565525068
105,1206723.3818902601
106,1198903.0225939362
107,1201713.0677710394
108,1216619.1801330103
109,1209294.6544542
110,1208343.624114118
111,1209345.1465694183
112,1181297.9580020406
113,1162137.9334593029
114,1157025.507773384
115,1169676.6166945852
116,1176839.5098711357
117,1128201.5370527466
118,1133601.6816863092
119,1134492.5544572498
120,1164657.124928349
121,1160125.5951689128
122,1172894.8951231812
123,1157901.7984150192
124,1157204.4641839017
125,1118604.4500573648
126,1134897.061707182
127,1110594.5796777597
128,1112833.8629601533
129,1111468.4924539076
130,1101199.8992112887
131,1138230.2299458846
132,1142259.4411521682
133,1199153.249809864
134,1208573.9203743965
135,1216774.3180253408
136,1243720.115656254
137,1271075.539750165
138,1267942.8494361064
139,1308064.4001234875
140,1308595.7198036758
141,1299953.0962294803
142,1294591.7423650725
143,1292237.730361905
144,1317036.878318895
145,1317724.4252766876
146,1344177.3451887346
147,1353040.8861454176
148,1367354.0691983125
149,1364495.2894112447
150,1385007.421577121
151,1373870.6218786656
152,1353469.0214741013
153,1371952.1081469567
154,1382157.046288856
155,1367306.0103485389
156,1321421.3225105081
157,1340890.3594641283
158,1351649.3896963638
159,1366781.98897022
160,1406085.8510905558
161,1401082.3342150627
162,1403779.03963109
163,1405233.2462632966
164,1410263.6133362802
165,1411949.4894100227
166,1399673.6821634802
167,1355570.062494634
168,1342915.1320549003
169,1353626.1866431506
170,1379663.1884804824
171,1398918.853629963
172,1421401.4130607827
173,1441841.9234131894
174,1439889.3820086655
175,1461101.9835302813
176,1476598.2238286922
177,1495171.9760154744
178,1493821.3637240506
179,1496534.5877941065
180,1478547.754464458
181,1501764.7653118535
182,1477718.849857962
183,1465103.3206823252
184,1449214.8765586573
185,1490328.3417369968
186,1491858.3282409187
187,1482153.670553273
188,1432749.4165287039
189,1425196.5582751413
190,1458807.000367446
191,1479567.195994195
192,1488017.3223790836
193,1509865.503052406
194,1519304.4368340115
195,1520127.619822257
196,1511579.4413933544
197,1544507.7293477356
198,1558099.619787738
199,1541432.7066616756
200,1563980.0799465799
201,1560097.6836251975
202,1529167.8564040845
203,1555975.707399491
204,1526458.6404019583
205,1512876.0993763446
206,1518891.1810342374
207,1485563.3833974225
208,1528114.4032485303
209,1470726.8151433486
210,1489967.3102911953
211,1489432.8923316528
212,1500689.1668156916
213,1545659.5855335465
214,1536533.8331302297
215,1578573.379762488
216,1581836.836802781
217,1591942.1809126893
218,1592745.5984538735
219,1601692.2172415375
220,1622555.7215608582
221,1632843.1883580796
222,1632446.0292740513
223,1611047.4080781962
224,1609016.0614557657
225,1628199.1428975128
226,1621964.195911255
227,1631762.334532289
228,1600119.3730918516
229,1616036.6710271419
230,1629538.3978053725
231,1623246.4985306663
232,1593377.601563714
233,1599372.0155360696
234,1600939.183955346
235,1583164.3856579114
236,1595443.7693841695
237,1598394.8782453819
238,1600685.2023143247
239,1620002.2376428926
240,1604095.0933506733
241,1614363.2433922896
242,1583516.6112184026
243,1586576.0207475128
244,1605926.4704382976
245,1614624.8649367294
246,1618698.5263459221
247,1625581.582853929
248,1627441.370768045
249,1624875.359901028
250,1619813.1036392362
251,1602469.967939133
252,1641097.7456633258
253,1658483.5341322543
254,1667552.296175196
255,1676373.8017599625
256,1678928.6626228723
257,1679082.290697016
258,1667941.818839172
259,1682770.487971621
260,1693440.6344455625
261,1668621.9655955732
262,1689477.18599544
263,1681970.1683636256
264,1625675.2224253512
265,1559683.3975437027
266,1564841.236765664
267,1557385.5881566769
268,1565435.8598191068
269,1536547.9098974273
270,1528417.7912108852
271,1557366.503041972
272,1571464.5473714448
273,1552118.3492600983
274,1502814.922546925
275,1504361.6039958298
276,1483656.4488096621
277,1517878.8195060082
278,1515594.5963152908
279,1536610.6398850766
280,1533866.7922973463
281,1569213.024425209
282,1567887.5875482229
283,1583310.1668901173
284,1580495.8334682153
285,1580754.021380697
286,1553527.115902904
287,1572826.7876057322
288,1561985.7041528483
289,1570743.587400502
290,1580182.7022913203
291,1582747.6079283147
292,1587741.5970607405
293,1595105.2423609307
294,1620984.0782188878
295,1613194.927615859
296,1607931.069106569
297,1606041.3228871336
298,1615653.06772292
299,1627572.6340353282
300,1630652.5986328458
301,1640424.0108128088
302,1648864.7331791888
303,1647100.0245528743
304,1627860.52195935
305,1646077.4565068295
306,1665535.9823680383
307,1661875.5097475024
308,1665645.61437574
309,1666080.1346083088
310,1671484.8184701924
311,1669443.1707913764
312,1662697.0615325836
313,1682962.807889078
314,1700072.4406730274
315,1707385.1890803294
316,1687847.9129753776
317,1703806.045265599
318,1716734.0531215873
319,1724616.0312547986
320,1723464.5479956516
321,1754621.4029538068
322,1760579.1192685869
323,1717177.151824504
324,1728677.0086594333
325,1736709.8259024238
326,1723885.066514478
327,1720887.160233059
328,1751200.3910810181
329,1741201.4490289423
330,1692043.116763086
331,1718339.656329887
332,1749421.5565967443
333,1706808.3249328898
334,1738802.5898175081
