,0
0,1000000.0
1,999967.3951957144
2,999955.3494985716
3,999611.472717143
4,999668.9488357144
5,999354.0144400003
6,998712.5563307144
7,998781.275395
8,998129.547165
9,997849.0201385713
10,997723.4977942854
11,995042.9671625
12,997465.3947725
13,997105.6768939286
14,997700.5109964288
15,997662.0052192857
16,998265.2326042857
17,1001018.8402799998
18,999088.623987857
19,998055.4739557139
20,998661.3045492854
21,999047.7890557139
22,999783.754923214
23,1001700.2282799996
24,1004392.8756549995
25,1004373.5245921423
26,999979.7542185711
27,1001749.9526278566
28,1002001.3571760711
29,1001225.9617946426
30,995217.0312349998
31,994675.133880714
32,994356.3695782141
33,993467.8875149995
34,990157.9289742853
35,996776.8068582142
36,995258.5230896425
37,995541.9708249996
38,994581.4151478567
39,989956.6748610712
40,987918.5284353569
41,990297.2109874999
42,985613.191940357
43,982309.5813739288
44,980310.191866786
45,990351.6290257144
46,994437.1353742855
47,999942.9842742854
48,1002101.9881964283
49,998783.7446628568
50,1004481.012660714
51,1009994.1873842855
52,1005298.1599578571
53,1002672.1727371429
54,1017926.3989692857
55,1014687.8771785717
56,1017047.2533742859
57,1018969.5919385713
58,1014460.4583571429
59,1006329.9623635713
60,1011454.5922871429
61,1017163.5978407143
62,1022523.1348292858
63,1026686.1721342858
64,1024223.6324371428
65,1020630.9565414285
66,1020888.776632143
67,1033122.4257707145
68,1037396.5500832144
69,1023574.4053571429
70,1029858.8721235715
71,1031566.4764817858
72,1031247.7570967858
73,1021373.9217039286
74,1027947.8273239286
75,1027338.9335253574
76,1030531.1112532142
77,1031511.8364967855
78,1029670.6406982142
79,1029209.4355921427
80,1036838.3823417854
81,1038189.2394867853
82,1037483.7731653566
83,1048660.7576046423
84,1048758.4438324994
85,1055018.9145767852
86,1046385.8845453563
87,1055360.2481574994
88,1047454.1426567851
89,1047006.7513342851
90,1038419.9979842852
91,1044310.5153835712
92,1043677.9560771424
93,1057925.6357221422
94,1053382.6326149995
95,1047249.1264678563
96,1044813.8642592848
97,1042471.5431442847
98,1054239.0334642846
99,1048792.128372856
100,1055640.822209999
101,1057931.0926014273
102,1060597.3810635703
103,1058624.930157142
104,1057040.1396792848
105,1066583.3585939275
106,1064983.5839639276
107,1065261.5087167849
108,1065658.4171339278
109,1061928.6406496419
110,1061078.6202896417
111,1061891.3537624986
112,1054590.3129446413
113,1053383.4384282131
114,1048325.3914374987
115,1054199.8705217843
116,1055759.8125096417
117,1043479.1471560705
118,1049007.6828017845
119,1051773.649908213
120,1058782.2711407128
121,1062227.1859092845
122,1067694.1717621416
123,1062329.1510664271
124,1062808.605744284
125,1050779.5490728554
126,1055954.079764998
127,1047036.0297182127
128,1042141.855327141
129,1048164.7414507127
130,1044567.1311535698
131,1061809.9482742841
132,1063289.6991064271
