,0
0,4610.147158353124
1,-887.2847568106372
2,4490.045917050447
3,-4781.320516492706
4,175.3452647975646
5,5506.22390106204
6,-5963.741683690343
7,1367.386932202382
8,-6656.310919330921
9,-3.734660987276584
10,-4641.423879564507
11,3967.6123507646844
12,-3878.492988202721
13,6936.609505802626
14,16953.93505423912
15,1378.1097201409284
16,1062.3127848845907
17,-8379.787017911673
18,-7471.41431366303
19,2803.4870962279383
20,-2319.858264787821
21,8425.439790675184
22,590.1573185713496
23,3112.4582206811756
24,-4694.186216525501
25,7768.298709816998
26,10295.72754173982
27,10081.384039397119
28,4391.530584722292
29,5524.027750999434
30,3015.713498346973
31,4758.787828181637
32,7244.877271874808
33,1310.4166970506776
34,2501.362015617313
35,1767.2687414006796
36,4492.92230683472
37,-1357.2453588002827
38,18863.397552886978
39,-9794.32991832029
40,305.67744615115225
41,-3046.5813587221783
42,729.0662997025065
43,-5829.102828376461
44,-54.103737596655264
45,-266.3296379391104
46,907.0798324306961
47,-1965.6871316058096
48,7089.804363000905
49,-2804.6332668559626
50,1426.4536286168732
51,1177.662899670424
52,-18775.369900258025
53,-864.6488947737962
54,736.5768983168527
55,-4404.19398256205
56,-829.3057820466347
57,8735.951189301442
58,-2417.314833213575
59,1928.9237530573737
60,-4176.494258803083
61,-1380.717327677412
62,5271.97793641733
