,0
0,1261190.0636373458
1,1261015.7798937063
2,1260999.1028792749
3,1260999.1028792749
4,1260999.1028792749
5,1260999.1028792749
6,1260999.1028792749
7,1260999.1028792749
8,1260999.1028792749
9,1260999.1028792749
10,1260999.1028792749
11,1260999.1028792749
12,1260999.1028792749
13,1260999.1028792749
14,1260999.1028792749
15,1260999.1028792749
16,1260999.1028792749
17,1260999.1028792749
18,1260999.1028792749
19,1260999.1028792749
20,1260999.1028792749
21,1260999.1028792749
22,1260999.1028792749
23,1260999.1028792749
24,1260999.1028792749
25,1260999.1028792749
26,1260999.1028792749
27,1260999.1028792749
28,1260999.1028792749
29,1260999.1028792749
30,1260999.1028792749
31,1260999.1028792749
32,1260999.1028792749
33,1260999.1028792749
34,1260999.1028792749
35,1260999.1028792749
36,1260999.1028792749
37,1260999.1028792749
38,1260999.1028792749
39,1260999.1028792749
40,1260999.1028792749
41,1260999.1028792749
42,1260999.1028792749
43,1260999.1028792749
44,1260999.1028792749
45,1260999.1028792749
46,1260999.1028792749
47,1260999.1028792749
48,1260999.1028792749
49,1260999.1028792749
50,1260999.1028792749
51,1260999.1028792749
52,1260999.1028792749
53,1260999.1028792749
54,1260999.1028792749
55,1260999.1028792749
56,1260999.1028792749
57,1260930.308319275
58,1260883.2520792752
59,1261006.9388792748
60,1261025.1149792753
61,1261505.7208092753
62,1261335.8990192749
63,1261033.6394292747
