,0
0,1000000.0
1,999458.5379468595
2,999654.0742997366
3,996873.6958777264
4,994732.9241283258
5,992083.6641210399
6,989295.5542509163
7,988725.8951594247
8,980476.173719938
9,979253.9618478827
10,981984.2380552408
11,961813.0267641552
12,975357.6949259797
13,972516.7785660347
14,971285.2135768987
15,968783.4984928085
16,976521.9159207416
17,997721.646443857
18,971872.2888846159
19,952166.8851575833
20,949564.031538952
21,962646.1590634119
22,951618.7669674616
23,971416.9811674005
24,993777.5374929904
25,992136.9654842817
26,947209.9096061487
27,957337.7053722701
28,961818.4708707362
29,950686.8028125279
30,911201.0368149603
31,913848.5710132712
32,909016.3850982138
33,896030.5264961554
34,862259.9703886847
35,899526.643153343
36,883222.7400048422
37,870705.4312068822
38,863195.0740737731
39,832916.626681896
40,824045.8240000181
41,839654.8774419434
42,808090.1709724513
43,810380.3763461473
44,790743.1200608868
45,839841.0904019387
46,844746.0686727464
47,876540.271368972
48,886056.8603078466
49,880530.257966453
50,903441.237498128
51,920893.9671244147
52,901361.373230953
53,887035.3047003048
54,948799.0345732772
55,937526.9559387768
56,952617.88295962
57,974681.4947763244
58,957109.4428026585
59,922322.9006017464
60,933112.6754591711
61,956022.4796369508
62,990354.6076879773
63,1005744.1436935129
64,1003522.9144178699
65,979265.8415969284
66,980290.1646253637
67,1008239.2694090186
68,1010533.3895529717
69,982277.1594832807
70,1003694.4874373262
71,1023179.5748159274
72,1036028.643643976
73,998697.6284773339
74,1021318.7287736391
75,1010057.4584126808
76,1017994.3826819746
77,1027739.655886603
78,1021426.4636518564
79,1022823.9330909261
80,1045699.5512178733
81,1078653.960684154
82,1075038.6701134895
83,1108043.7934724404
84,1105983.983972082
85,1090470.2883532725
86,1095004.061003884
87,1133525.2116790027
88,1126495.7231026448
89,1124112.8461569236
90,1086256.992068927
91,1107709.8931062184
92,1100275.7846270641
93,1143543.0023035104
94,1144237.2481718892
95,1144302.071189576
96,1123441.2755216176
97,1130093.190766463
98,1147007.873575418
99,1130876.8344664397
100,1140994.6403047473
101,1161928.1587951316
102,1172640.979745113
103,1199182.972468282
104,1182996.5492850596
105,1190332.9042102552
106,1187527.643147628
107,1175273.7732613746
108,1180862.1714466983
109,1168547.0250994125
110,1166289.400095622
111,1168446.7715427442
112,1140344.7164593998
113,1125182.2202638662
114,1128259.6997091402
115,1140367.6338036554
116,1140016.0581557225
117,1110296.7966662815
118,1104020.3068457108
119,1104877.9304485836
120,1129610.0742707658
121,1131403.9219473081
122,1137550.2026639346
123,1131214.3251472188
124,1135786.6362762374
125,1103660.2808022012
126,1110835.1105223957
127,1092244.4185969585
128,1098218.67606809
129,1095101.5020504768
130,1093019.6363805344
131,1121610.4092377843
132,1127342.0765364682
133,1165517.1508807025
134,1168028.6218227944
135,1182533.6347258873
136,1203193.8938797845
137,1206717.8580343353
138,1217697.5923667157
139,1232973.528478214
140,1237378.6619181018
141,1236857.7672538706
142,1236661.7262018668
143,1241279.0967683585
144,1269352.0634987478
145,1262612.3347621458
146,1289276.695196938
147,1294614.8140962855
148,1294295.439304023
149,1280662.153742948
150,1286554.7262394316
151,1279427.4710321492
152,1275319.4858143337
153,1290058.0618874214
154,1299463.0497090903
155,1285193.9499853093
156,1250849.0612655766
157,1264905.8598283115
158,1272208.3545522292
159,1281786.27339663
160,1312811.5783060563
161,1307721.0466573446
162,1301549.6998231858
163,1300365.6232760167
164,1298517.2291077615
165,1304219.4811240141
166,1294875.6907265573
167,1267138.1525323228
168,1260793.827127062
169,1269525.9770895755
170,1297410.178696702
171,1312465.9363195836
172,1324313.0148302414
173,1345256.9035434811
174,1342705.967731773
175,1366430.7274439416
176,1374967.7551314652
177,1395028.4548717455
178,1406388.430705234
179,1422801.8938110962
180,1408315.094195353
181,1427422.668702851
182,1412085.9763389372
183,1404818.651215538
184,1392186.030814504
185,1416773.7523944038
186,1413383.2223957982
187,1405127.8008104991
188,1361992.549702982
189,1353695.362247757
190,1379583.5411925907
191,1397165.6454757566
192,1396519.469109138
193,1412836.0956284567
194,1420980.1815626002
195,1418047.7911667326
196,1416143.0893697203
197,1447864.8060617135
198,1452542.5477784502
199,1443978.5851122017
200,1462306.3941541177
201,1469862.0043863012
202,1449587.9858296216
203,1473537.5853576183
204,1447493.443949438
205,1432126.3565196253
206,1424404.139930275
207,1401420.0608928348
208,1437582.6615052598
209,1379314.986323913
210,1396037.552490611
211,1396355.4359672372
212,1401687.7533633662
213,1442931.582542935
214,1442279.2530049195
215,1483605.7837195632
216,1486198.1706380178
217,1502662.8884406718
218,1522629.517204591
219,1533059.4153741763
220,1554154.871700969
221,1563787.0633069696
222,1552981.856535988
223,1527823.6319616458
224,1525613.7068812097
225,1542461.5551408771
226,1538268.0437509383
227,1548406.6505542942
228,1518262.0494311366
229,1520191.7788415055
230,1530182.8366073028
231,1533297.8057996295
232,1512397.1274355268
233,1508464.7672582006
234,1511637.7684858823
235,1495380.2158820517
236,1502971.7124328916
237,1494673.869994475
238,1499497.0487910528
239,1520348.7631193122
240,1502160.9521451243
241,1512295.1127764154
242,1487751.943535296
243,1489482.9920397426
244,1504042.8280016584
245,1510956.9072775224
246,1527338.3405802653
247,1542738.9821311783
248,1554820.4984183633
249,1553587.3626308402
250,1549678.7625345744
251,1528193.7598898076
252,1572759.8998409645
253,1586513.8958099773
254,1585591.2236924267
255,1586855.2960236296
256,1590732.1496860257
257,1590284.2846840553
258,1589492.7806753581
259,1600260.5551929171
260,1597001.2975062483
261,1575974.9195668034
262,1608110.6452424137
263,1588790.314785993
264,1543371.9899830539
265,1511200.7304077975
266,1526623.3453401509
267,1526155.2877878747
