,0
0,-37285.78866118612
1,-1192.976439219201
2,26644.232518974924
3,-14177.982578488532
4,16927.556966358796
5,-4280.169119267259
6,17139.680049315328
7,12251.291198491352
8,-397.66368441306986
9,-7318.925288881641
10,-1522.567805137718
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,424.7686363006942
29,-120.56259447848424
30,-1076.268456902355
31,2385.633614087943
32,-2502.1388214069884
33,65.29926669830456
34,-4616.208928773878
35,-5245.996346584521
36,-12356.784401655197
37,15025.249981939793
38,-11058.05158490478
39,14050.280437088571
40,8653.866319161607
41,1385.2139736979734
42,24092.10125292698
43,1984.6602864190936
44,2112.869723507436
45,-50.94265044364147
46,1419.2820240184665
47,-9217.250555120641
48,-4974.183526523411
49,-10605.878549995134
50,179.70725797186606
51,-12561.071194485063
52,-4060.03431101609
53,-15283.63349066372
54,15723.365850559203
55,-23844.023230997613
56,5731.6837842206005
57,-6343.144229421159
58,10962.32962692855
59,1225.0293529496994
60,-1502.5415990280453
61,0.0
