,0
0,1245952.4687601803
1,1242459.0289394264
2,1241844.7501132865
3,1239706.7007040097
4,1237297.400067574
5,1233570.9310440735
6,1230412.9964097003
7,1224486.6279829536
8,1233078.838014402
9,1228595.565081743
10,1223794.2434247108
11,1248301.0408980574
12,1246351.5902180027
13,1254530.705290224
14,1262053.4888874702
15,1261003.690417853
16,1261820.8750026575
17,1258660.6530972873
18,1266377.5169182357
19,1265110.972375848
20,1264775.7320541274
21,1264740.0739488844
22,1264728.5959421808
23,1265257.0857877107
24,1264763.6693010365
25,1264763.6693010365
26,1264763.6693010365
27,1264445.6586183724
28,1264315.6390707581
29,1264315.6390707581
30,1264315.6390707581
31,1264315.6390707581
32,1264315.6390707581
33,1264315.6390707581
34,1264481.4980481628
35,1265136.804397042
36,1264819.1185546468
37,1264607.4718099653
38,1262719.860493971
39,1260322.937363067
40,1264080.9387784407
41,1266594.5319760214
42,1264885.0704156985
43,1261807.1330768447
44,1264897.6698787566
45,1266029.7829819745
46,1265685.6812827862
47,1262082.2723638874
48,1268150.6196595447
49,1269438.8758612233
50,1269397.4368327064
51,1259902.5410946603
52,1274325.1647118407
53,1267469.2924121788
54,1268593.6990766425
55,1262842.3970964518
56,1265171.9183757012
57,1267502.244831084
58,1259573.1652425795
59,1269963.9733104906
60,1264440.3291767368
61,1266171.4216230116
62,1270749.547235837
