,0
0,1319045.3186254462
1,1319117.951895446
2,1319107.0917554458
3,1319107.0917554458
4,1319107.0917554458
5,1319107.0917554458
6,1319107.0917554458
7,1319107.0917554458
8,1319107.0917554458
9,1319107.0917554458
10,1319107.0917554458
11,1319107.0917554458
12,1319107.0917554458
13,1319107.0917554458
14,1319107.0917554458
15,1319107.0917554458
16,1319107.0917554458
17,1319107.0917554458
18,1319107.0917554458
19,1319107.0917554458
20,1319107.0917554458
21,1319107.0917554458
22,1319107.0917554458
23,1319107.0917554458
24,1319107.0917554458
25,1319107.0917554458
26,1319107.0917554458
27,1319107.0917554458
28,1319107.0917554458
29,1319107.0917554458
30,1319107.0917554458
31,1319107.0917554458
32,1319107.0917554458
33,1319107.0917554458
34,1319107.0917554458
35,1319107.0917554458
36,1319107.0917554458
37,1319142.1694004457
38,1319058.458770446
39,1319027.568510446
40,1319027.568510446
41,1319027.568510446
42,1319658.8405204457
43,1319641.4345004456
44,1319641.4345004456
45,1319641.4345004456
46,1319641.4345004456
47,1319641.4345004456
48,1319641.4345004456
49,1319641.4345004456
50,1319641.4345004456
51,1319641.4345004456
52,1319641.4345004456
53,1319641.4345004456
54,1319641.4345004456
55,1319641.4345004456
56,1319641.4345004456
57,1319641.4345004456
58,1319641.4345004456
59,1319641.4345004456
60,1319641.4345004456
61,1319641.4345004456
62,1319641.4345004456
63,1319641.4345004456
