,0
0,1000000.0
1,999951.8864321428
2,999964.2118921427
3,999521.4033970544
4,999516.6883334586
5,999130.2412798872
6,998720.2516359586
7,998815.8525073872
8,998114.726227387
9,998168.3732606013
10,998264.0335963154
11,996565.2261020299
12,997744.1938206013
13,997682.4397720301
14,997810.7509859587
15,997510.8935873874
16,998378.1247006019
17,1000214.0086145303
18,998534.0161659587
19,997364.8040338159
20,996845.5483520299
21,997758.6906563155
22,997149.9324534584
23,998495.230574887
24,1000883.2597048869
25,1000957.3081056015
26,996864.396439173
27,997665.416018459
28,997547.4624670306
29,996212.7061177449
30,992768.6725827449
31,992831.006237745
32,992149.1890534596
33,990909.1494523879
34,987140.7318823882
35,990703.8650695311
36,988914.4769566737
37,986400.4319891735
38,984451.5077131019
39,979334.9411406021
40,979479.1354791737
41,981675.558099888
42,976007.7783320306
43,976720.660427745
44,975732.8049084591
45,983562.3361220306
46,983478.7930723877
47,989344.2627223878
48,991168.4908531023
49,989283.4504895308
50,994080.6346688166
51,997068.0544683817
52,994001.9398315651
53,990378.2048896516
54,1002266.8208062638
55,998575.1369472428
56,1000826.2609861863
57,1004680.885594358
58,1001041.7337228695
59,994810.3643268229
60,997528.9300593486
61,1001618.5675133311
62,1006506.6705513389
63,1007814.6447242039
64,1006589.6359972144
65,1002892.391833612
66,1004297.4262587947
67,1012665.6331478483
68,1013836.7064601266
69,1007276.8949361282
70,1011794.6601516801
71,1014139.4803456387
72,1014441.5424949669
73,1005732.2579433417
74,1009510.8263651573
75,1008081.2966642731
76,1010924.4178090269
77,1014775.9878935565
78,1013066.8550365719
79,1012802.4677310241
80,1019180.8158849345
81,1021639.1429713452
82,1021618.348466144
83,1030525.5609177668
84,1030198.4161268489
85,1035269.1536436816
86,1030126.0471133915
87,1039139.9288732908
88,1031718.6940270877
89,1030890.6059457111
90,1022440.1766581647
91,1027476.3817624061
92,1025422.5563909069
93,1037442.9545761863
94,1034130.9433093113
95,1029924.809353265
96,1026127.6069506113
97,1024931.1506586086
98,1035438.8697163076
