,0
0,1000000.0
1,999709.0292810189
2,1000448.9074043309
3,995976.6889250402
4,996491.3893935904
5,993216.1246222863
6,986092.1795391156
7,985699.6832003389
8,978054.0185229147
9,976066.8854426672
10,977678.8162506574
11,946091.5376433593
12,971193.1672051968
13,971182.0599109106
14,977303.0433246242
15,977683.1782905848
16,992213.9386250714
17,1020426.3121240244
18,998385.555304711
19,989136.0268423909
20,985813.8865778925
21,991213.125713547
22,997448.5851393477
23,1016522.6357382974
24,1043681.28543567
25,1049621.3245142058
26,996866.9833147601
27,1019028.9759934505
28,1019249.5565591089
29,1012239.7503920934
30,949794.8663796899
31,943365.7685112548
32,939947.9858419165
33,927605.2026944178
34,890967.1030975593
35,959655.3915068392
36,935385.090393005
37,929965.856467447
38,913055.8156458606
39,868804.8204424494
40,854182.7869504543
41,876689.8359517214
42,832244.8017378983
43,809889.2579957847
44,796992.0682819524
45,879774.2272227799
46,908495.7103280365
47,955380.0764008056
48,971781.1017999182
49,949854.4305437744
50,991233.1393758402
51,1023414.7387505815
52,978301.4383288007
53,959012.8183310928
54,1063052.9125368642
55,1041157.2791612495
56,1061479.8327943482
57,1076880.8557656258
58,1046643.2924290869
59,993482.0332809355
60,1029964.3321801831
61,1058714.6227064042
62,1090160.541458302
63,1114512.3735505056
64,1099166.4847375276
65,1077703.6112652756
66,1081610.5913591029
67,1145701.316060801
68,1164290.145110517
69,1093062.545991147
70,1131887.1391739275
71,1140893.3367435336
72,1133197.3096011165
73,1078824.3295782474
74,1112986.7817866993
75,1103212.2933955218
76,1123407.9027252772
77,1135041.2558663823
78,1134079.037410646
79,1130909.0539634372
80,1181412.771834314
81,1183085.6017633607
82,1182739.408257034
83,1229146.008448942
84,1228699.5524598267
85,1260971.684714339
86,1228372.7735355953
87,1273103.2764422134
88,1235973.0254538588
89,1235757.5211855301
90,1197102.7992113472
91,1223336.021661396
92,1220257.0243466578
93,1274094.833850891
94,1258640.2596056596
95,1235116.772373964
96,1228976.3300452365
97,1224272.8977951184
98,1268368.385391325
99,1240333.319933201
100,1268869.4153306712
101,1279197.5534020439
102,1299727.9682976143
103,1301509.9097154539
104,1291853.2896276633
105,1329696.754298357
106,1334344.6539022604
107,1335895.3262680855
108,1335589.307059504
109,1323839.1185660905
110,1314438.89229695
111,1316429.0572320477
112,1283457.0218900482
113,1273839.1517929214
114,1259061.2865585154
115,1279057.3090326684
116,1278915.389244513
117,1232097.849665317
118,1239350.311408469
119,1236679.6192321128
120,1261136.834248168
121,1270743.6893737193
122,1288257.8077913206
123,1277774.9869736736
124,1277778.9244946355
125,1243798.7802190536
126,1260962.4553134148
127,1231020.7453455846
128,1219173.6870067567
129,1235755.459103722
130,1228688.2032826608
131,1271800.086888328
132,1274438.2986047256
133,1317268.08850805
134,1334711.209396093
135,1332086.834640639
136,1357412.293506739
137,1367252.1589697956
138,1367723.0354145146
139,1414568.4809818936
140,1415452.522511451
141,1413846.8223915966
142,1401043.6921793383
143,1389501.9164308854
144,1406581.1799904034
145,1407141.5536493324
146,1429107.747275666
147,1436646.399189739
148,1448703.2018361373
149,1446403.4799333937
150,1454152.697276389
151,1431920.3243008228
152,1417164.622340991
153,1447211.5199660913
154,1456190.7555744573
155,1436121.3617490598
156,1399181.2031998173
157,1415066.029198312
158,1418117.766209764
159,1437917.7810609525
160,1463497.9230752196
161,1460699.2078087346
162,1477566.6879910484
163,1475947.1177738637
164,1487593.680656204
165,1481356.0073386116
166,1479973.0891917297
167,1440531.645775482
168,1429298.5226893967
169,1444777.2425680133
170,1457624.2684958165
171,1476613.2524528736
172,1501485.0427340984
173,1531649.3244593642
174,1533681.152848779
175,1547953.643792764
176,1547989.985204116
177,1566318.2122330153
178,1571283.2154060092
179,1575915.9143483508
180,1570195.8929336702
181,1588211.943482889
182,1569718.4103530752
183,1560861.7067206348
184,1542181.1888787
185,1575028.6843196617
186,1576581.0078590547
187,1572430.1432249942
188,1532689.6745569697
189,1530991.9766646803
190,1569724.6821317067
191,1584063.5378415433
192,1595221.0407659018
193,1595029.7777483787
194,1605288.7494562662
195,1606762.7706603901
196,1593100.6415273703
197,1628753.8540531003
198,1616974.634039551
199,1600476.805312792
200,1611280.3910559
