,0
0,1279962.4923035786
1,1280658.6319458203
2,1286792.9772901912
3,1291004.1889331243
4,1278930.6081510154
5,1289465.1074180782
6,1297077.976757267
7,1295941.783473586
8,1299667.1905938147
9,1304088.403424697
10,1295166.9218749597
11,1292680.5891876617
12,1290423.090341303
13,1303667.0867268902
14,1313539.5858855322
15,1320554.436414608
16,1313429.5888033174
17,1298591.3133243646
18,1313562.31140265
19,1311969.7804522796
20,1310657.8462966902
21,1310657.8462966902
22,1310657.8462966902
23,1310657.8462966902
24,1310657.8462966902
25,1310657.8462966902
26,1310657.8462966902
27,1310657.8462966902
28,1310657.8462966902
29,1310657.8462966902
30,1310657.8462966902
31,1310657.8462966902
32,1310657.8462966902
33,1310657.8462966902
34,1310657.8462966902
35,1309484.8154925038
36,1312341.0139166815
37,1320150.332396243
38,1320917.8636439997
39,1324747.7380912611
40,1316712.5533937106
41,1315428.3737402055
42,1315428.3737402055
43,1315711.4327451363
44,1316259.932908767
45,1314675.2432374451
46,1312134.3499046382
47,1316605.3144069784
48,1315584.7675368455
49,1315584.7675368455
50,1315584.7675368455
51,1315584.7675368455
52,1316997.2110596672
53,1316788.4019944936
54,1318940.5892061188
55,1320489.6450709705
56,1315613.2578419186
57,1313634.2366387318
58,1307182.9730447293
59,1308993.3750069505
60,1307749.2593736176
61,1307749.2593736176
62,1307749.2593736176
