,0
0,2040.6641273209825
1,2532.5444099216256
2,3853.0788163670804
3,-2784.185679790098
4,-2713.685052088229
5,3054.5893143441062
6,-2766.773905769456
7,-534.4819874558598
8,-509.65954663977027
9,738.1989104561508
10,-1906.775984077016
11,3965.368059234461
12,-1777.149112517247
13,3248.976623063674
14,5792.422837560531
15,-1546.8978863249067
16,1068.4612035434693
17,-4008.383248175727
18,-2625.282384998398
19,2356.724753999384
20,212.21244726050645
21,10614.77019088529
22,166.14013731456362
23,1353.2450616322458
24,-1355.2750957787503
25,4575.960903747706
26,2869.406728103757
27,6773.561972175026
28,2658.2790456137154
29,6852.7411087907385
30,791.3276662167627
31,-185.5689602610655
32,6492.95134011982
33,791.2289805852342
34,2995.1056030301843
35,1603.7189882597886
36,1320.9810082358308
37,-141.60318019194528
38,13846.192736225436
39,-5503.295520386891
40,712.19803470443
41,-2270.093354194192
42,-559.8163530156016
43,-3545.0118336330634
44,1108.5230629523285
45,3403.2318437169306
46,385.9192218184471
47,-4045.6314920792356
48,7306.18430962204
49,-2906.676814305363
50,1443.0876537053846
51,-704.0145918542985
52,-9403.062805553665
53,1368.611607164843
54,-1268.0311462737154
55,-1808.733542403439
56,-2020.7767693575006
57,6510.354895037599
58,-1610.504205844598
59,1042.583637953503
60,-3347.9550823338795
61,847.9712101619225
62,2620.687856879784
