,0
0,1000000.0
1,999974.5224350002
2,1000015.7938750003
3,999618.8312250002
4,999706.8730275069
5,999275.8647925722
6,998607.6723460637
7,998586.234539571
8,997428.6103313486
9,997448.0676146573
10,997563.6185857315
11,994535.8251321403
12,997822.775529782
13,997155.3902780899
14,997394.6054872912
15,997194.5950796014
16,998053.5810221928
17,1001324.8414811165
18,998387.4877146089
19,996702.3872020856
20,997259.2683980276
21,998550.9510437334
22,998823.6279628783
23,1000773.5506732834
24,1003940.7253227582
25,1003841.6773812565
26,998142.4835255996
27,1000213.5642540649
28,1001121.0473109912
29,999841.7006315793
30,992492.2930647692
31,992195.3018976812
32,991188.8546805481
33,989916.6711076378
34,982973.499525023
35,990764.718080494
36,987755.4664967414
37,987144.1354390411
38,986678.2121949487
39,979502.8027470806
40,977227.9439511924
41,982216.5434787974
42,975585.4123658666
43,973306.3752112552
44,969940.6625913384
45,981924.4509517207
46,985686.9992274123
47,991964.6408505798
48,994486.2417471183
49,991896.3244650984
50,997936.8154679323
51,1002657.3427103341
52,999432.6757261981
53,996824.8423572828
54,1014471.6689493199
55,1011424.2586028766
56,1012611.2765747729
57,1016493.5932274931
58,1010053.187081857
59,1002002.1465147522
60,1007702.0390423972
61,1013550.8715543975
62,1022620.857539369
63,1026823.5366694311
64,1024704.775078994
65,1019302.4508952624
66,1021144.6013276774
67,1032616.8776713528
68,1035887.1903129286
69,1024510.4513412456
70,1029865.4042137209
71,1033044.0569809075
72,1033147.9589039902
73,1022946.5362907068
74,1028825.6290350993
75,1028987.4544700679
76,1030282.3395623179
77,1032852.4394487895
78,1030285.3058260436
79,1032346.9715361742
80,1040288.0860621707
81,1044614.1310423999
82,1045046.4583511711
83,1056887.6545369488
84,1058926.2104088434
85,1060602.1940840438
86,1053453.0263684893
87,1060687.378514079
88,1054340.4880260408
89,1055625.108531986
90,1045109.3180758264
91,1049042.5649909794
92,1048451.6756409016
93,1066061.0512369187
94,1062996.50307515
95,1056489.279014484
96,1049807.5980924612
97,1045883.7306084264
98,1059375.637207863
99,1052518.8713134467
100,1058684.6448380058
101,1064019.0631326754
102,1073259.8762869122
103,1072063.1795567966
104,1069007.6595022297
105,1077369.7125762599
106,1077710.1513898754
107,1076364.5591432513
108,1078734.9136538906
109,1075119.538559477
110,1072834.0406030128
111,1072742.5778648355
112,1063198.2838437038
113,1061588.4600896016
114,1057848.4036229295
115,1062544.4518391243
116,1062052.5874021456
117,1048428.9182494761
118,1052624.2407295813
119,1055121.452624897
120,1064661.4036335573
121,1065740.9489879739
122,1071598.292701133
123,1063517.5002883743
124,1066243.2117607968
125,1049303.1442469924
126,1054089.6078399885
127,1043547.2503613309
128,1039605.6686354926
129,1046258.9216408066
130,1042721.496889095
131,1061892.5691579836
132,1063400.3206275695
133,1085437.3487698121
134,1095327.1954700057
135,1101404.8021433265
136,1112257.1789567678
137,1119023.535641176
138,1116018.881323676
139,1134553.2073711758
140,1135474.4664861758
141,1134224.2355761756
142,1132417.285688676
143,1130585.9376261758
144,1140447.5613111756
145,1140679.4852561757
146,1147226.9639911759
147,1151135.6070286757
148,1148436.328683676
149,1144052.4071486758
150,1146334.187571176
151,1140904.0181261757
152,1134622.099356176
153,1148045.1555311761
154,1150890.3705686764
155,1142938.8180536763
156,1124314.7464336762
157,1134138.8715086763
158,1137347.0140996764
159,1144761.5549171763
160,1155655.8506521764
161,1154398.9508664766
162,1157760.2140289766
163,1158260.5078439766
164,1156444.5944514766
165,1152160.6835964764
166,1149040.4717264767
167,1129025.4403839768
168,1126888.7121389767
169,1136582.1042114766
170,1146309.5171689764
171,1155160.1475139766
172,1163711.3146264765
173,1176154.7977689765
174,1175123.3527664766
175,1180599.9493464767
176,1183458.8005964765
177,1199831.1454714765
178,1204379.3721614764
179,1206545.4329389764
180,1201988.6898689764
181,1209129.5544089766
182,1198766.0282539765
183,1194258.0742939762
184,1183450.9660039765
185,1194261.8941989767
186,1191126.6488839765
187,1194379.1352564767
188,1169873.2839764769
189,1169843.8229614764
190,1187206.0471464766
191,1198328.3683014766
192,1209270.3651864766
193,1208600.4534264766
194,1222000.200661477
195,1226854.0517714766
196,1218465.4917139765
197,1235318.0580989763
198,1231320.4840689767
199,1207976.2515689768
200,1224006.5740689768
201,1223535.9090689768
202,1202851.597318977
203,1219622.8323189768
204,1205338.7089289764
205,1199215.6627264763
206,1201767.9573239763
207,1181470.5040489766
208,1208223.7442764766
209,1174284.9948364766
210,1179472.5408064765
211,1181256.5421564765
212,1182978.0113589764
213,1205945.7799589764
214,1205565.2438589765
215,1232779.4648914768
216,1235289.7992614766
217,1245379.0964114766
218,1235787.4120289763
219,1238230.0654489766
220,1249210.0929439766
221,1248370.6107939763
222,1247650.6431139766
223,1234642.0208339768
224,1226324.9102039763
225,1240054.8855839765
226,1240468.8692214764
227,1238863.2137164767
228,1218026.0556839765
229,1229402.6663489765
230,1239406.0781464765
231,1235026.7103439765
232,1225989.0133989765
233,1233438.7661339766
234,1229276.4337089765
235,1219431.9527289767
236,1230194.9938714767
237,1242271.6914464764
238,1244783.5603464765
239,1249269.9200264765
240,1238753.5718214768
241,1242942.9995114766
242,1225972.8765139766
243,1232444.4405464765
244,1243379.3525439764
245,1247631.3501789768
246,1245475.1746889765
247,1249430.5368614767
248,1253651.7132789765
249,1253022.4428939766
250,1258139.0087339766
251,1250415.3567389767
252,1269966.5576939764
253,1271405.2212189767
254,1264635.9210664765
255,1271741.5250664763
256,1268986.5884064764
257,1268374.1234064763
258,1258304.3154064764
259,1264685.7951114764
260,1269864.4626114764
261,1254742.3826114766
262,1272470.1326114768
263,1258285.7058214762
264,1227371.8218364764
265,1192880.3837564765
266,1198817.2275589767
267,1189953.5861089765
268,1191624.0874264764
269,1181393.7171464763
270,1168171.2270014763
271,1185397.5009189767
272,1201954.1797689765
273,1198512.4026414764
274,1166153.7633614766
275,1176483.5905239766
276,1162942.4261242736
277,1180682.8267902085
278,1180101.341136633
279,1192389.5049417273
280,1189491.727627708
281,1205959.8566108947
282,1213665.4388529651
283,1217877.3062985933
284,1214321.2162542788
285,1215821.1952342794
286,1208642.4816167788
287,1220462.432986779
288,1213514.7591492792
289,1214451.410121285
290,1223073.892854297
291,1224106.546379297
292,1222841.1040642972
293,1232705.8806142972
294,1246732.8230167974
295,1250997.1145992968
296,1248529.862799297
297,1253480.887299297
298,1262654.1777992968
299,1268130.445299297
300,1266138.3327992973
301,1275054.370299297
302,1277035.5877992967
303,1283139.165299297
304,1282506.7927992968
305,1280984.3605492972
306,1289883.0459392974
307,1280643.0960892967
308,1284938.5285892969
309,1279878.292589297
310,1284412.5228842972
311,1282393.618804297
312,1275554.820154297
313,1279445.148974297
314,1290499.941524297
315,1289132.8338142969
316,1289234.041374297
317,1294373.072664297
318,1300486.580164297
319,1300762.693034297
320,1306895.504614297
321,1324814.6814042972
322,1324242.605824297
323,1276375.341654297
324,1290076.595904297
325,1280653.6048142973
326,1274566.6359542971
327,1275579.1544742968
328,1278454.8678942972
329,1272727.673009297
330,1256938.697109297
331,1270112.9816392972
332,1286401.532249297
333,1242115.943786797
334,1262577.624476797
335,1243080.048196797
336,1237963.771179297
337,1197866.894629297
338,1186272.9450692968
339,1224589.024369297
340,1219995.8368992968
341,1252175.495319297
342,1235459.456659297
343,1222390.638511797
344,1219281.640141797
345,1200443.3350217966
346,1195829.2295567968
347,1154230.505236797
348,1169926.6365567972
349,1155877.983381797
350,1166436.9781117968
351,1153961.934611797
352,1182905.654831797
353,1170878.0105817972
354,1160358.4145117973
355,1185664.8639667968
356,1188378.2924767968
357,1156966.6695892967
358,1140193.560396797
359,1144337.1807417972
360,1140183.082126797
361,1156043.6178967971
362,1162064.609584297
363,1158872.084754297
364,1183080.315159297
365,1186157.516079297
366,1188821.8857592968
367,1191277.097979297
368,1188484.620299297
369,1171425.595234297
370,1172166.203254297
371,1159542.636214297
372,1163816.221214297
373,1162082.911214297
374,1131263.1620342971
375,1116232.5789892972
376,1113227.6697692971
377,1107744.095509297
378,1116490.7865792972
379,1145821.576779297
380,1154860.407729297
381,1161833.8983492968
382,1162472.9263642968
383,1181537.398784297
384,1181586.2808942967
385,1193312.5166742967
386,1172653.0873342971
387,1179092.687924297
388,1185204.5233442972
389,1173520.725844297
390,1187700.603344297
391,1198929.5233442972
392,1206539.638344297
393,1202038.6183442972
394,1200153.370844297
395,1208275.7008442972
396,1207487.4683442973
397,1228356.508344297
398,1227595.878344297
399,1238716.660644297
400,1240679.425644297
401,1236398.420644297
402,1244531.130644297
403,1235268.223144297
404,1206202.600644297
405,1195970.4906442969
406,1190651.215644297
407,1192143.570644297
408,1204867.0231442968
409,1210334.465644297
410,1195988.7806442971
411,1193177.5806442972
412,1183299.8731442972
413,1166597.923144297
414,1171572.433144297
415,1156844.3931442972
416,1165058.5106442969
417,1146824.720644297
418,1145608.9568942972
419,1174551.7131442972
420,1177743.6140542973
421,1206254.3577542969
422,1194175.545871797
423,1201936.8799317973
424,1208952.569931797
425,1216948.7699317972
426,1236357.547431797
427,1231275.1249317972
428,1235037.5049317973
429,1237294.239931797
430,1239052.467031797
431,1254133.6832217972
432,1257256.2814917967
433,1251789.1115892972
434,1242064.1615892968
435,1266108.0952917968
436,1263098.1377917968
437,1263386.370291797
438,1262281.4595517972
439,1255703.4812317968
440,1264561.737551797
441,1254992.070491797
442,1276989.312091797
443,1278526.7929317968
444,1279788.838371797
445,1287139.583371797
446,1288338.158371797
447,1292540.6483717973
448,1296758.118371797
449,1292989.133371797
450,1291404.9627667968
451,1303138.9665567968
452,1288847.3383567971
453,1307538.5831292968
454,1309016.2414292968
455,1304558.6311392968
456,1306383.9086392971
457,1310799.9336392968
458,1309734.658639297
459,1315189.1526867968
460,1318230.4633617972
461,1320864.0184617972
462,1331943.420961797
463,1333178.9709617966
464,1358702.8659617968
465,1367785.1108717972
466,1360779.204721797
467,1352395.3060117972
468,1355228.092641797
469,1345696.9454717971
470,1331342.5773217971
471,1332915.7049117968
472,1316513.145241797
473,1315948.8452417972
474,1334831.239201797
475,1340022.6678417972
476,1330674.9091117973
477,1311083.7912117972
478,1329597.2025317969
479,1317455.166091797
480,1314322.074871797
481,1305792.888831797
482,1334016.5803667968
483,1352811.5172967971
484,1353792.5428167968
485,1351021.336466797
486,1349497.3875017967
487,1360391.1311417972
488,1360995.348641797
489,1367723.7711417968
490,1372701.6436417971
491,1375323.9211417972
492,1369577.5461417972
493,1370689.6161417973
494,1368418.2361417972
495,1371786.708641797
496,1382354.366141797
497,1383759.196141797
498,1380791.093641797
499,1382085.818641797
500,1382281.223641797
501,1380966.7586417967
502,1380960.7211417968
503,1382842.9461417971
504,1400687.223641797
505,1400807.381141797
506,1403855.2811417973
507,1400967.701141797
508,1394694.893641797
509,1389804.693641797
510,1391097.7161417971
511,1400358.1461417968
512,1403640.6311417972
513,1414882.068641797
514,1418849.6436417971
515,1410765.0461417972
516,1406990.231141797
517,1404565.7411417968
518,1418048.746141797
519,1416493.661141797
520,1418439.6811417972
521,1430335.0436417973
522,1406813.6183017974
523,1418951.331993797
524,1434766.876083797
525,1434532.752243797
526,1436772.304743797
527,1439997.2224637968
528,1446692.2074637965
529,1454976.924963797
530,1446775.1099637968
531,1439121.7860737971
532,1445504.422153797
533,1443350.302953797
534,1442099.9185437972
535,1446674.623593797
536,1448737.7746337971
537,1460541.6248087976
538,1430509.3470787972
539,1418999.2574687968
540,1420389.389968797
541,1429461.984968797
542,1434505.6432587968
543,1414530.6795687971
544,1420222.3855287968
545,1445528.004453797
546,1430386.3110037975
547,1415917.0417412969
548,1432223.6761012971
549,1439519.6095012974
550,1413015.431851297
551,1416461.3771112969
552,1408685.2371112967
553,1392141.5371112972
554,1364140.1771112971
555,1379352.707111297
556,1394760.3021112971
557,1410402.679611297
558,1409606.187111297
559,1413030.1796112969
560,1423745.6071112966
561,1425697.8196112972
562,1420962.853861297
563,1435646.7469912972
564,1443182.2982612967
565,1437970.733581297
566,1449887.171381297
567,1450680.0113812971
568,1447199.0984912969
569,1451604.028491297
570,1449289.513491297
571,1443421.418491297
572,1444025.4034912968
573,1435626.3434912967
574,1437559.4434912968
575,1434208.2984912968
576,1435901.9484912972
577,1418937.0884912966
578,1424193.7561412968
579,1439306.518491297
580,1453866.7234912966
581,1449325.1134912968
582,1462913.128491297
583,1472512.5034912971
584,1473398.3184912973
585,1477755.3934912973
586,1481041.9434912968
587,1481914.1134912968
588,1470752.483491297
589,1457389.9434912966
590,1461471.3434912965
591,1464192.4784912968
592,1474220.733491297
593,1461001.793491297
594,1456915.5034912967
595,1442696.663491297
596,1435900.018491297
597,1431592.8984912967
598,1440200.1834912968
599,1438631.4784912968
600,1422144.2134912966
601,1409656.5984912969
602,1406522.7084912965
603,1408103.138491297
604,1407907.743491297
605,1417732.2284912968
606,1432221.5184912973
607,1399948.713491297
608,1396627.9584912967
609,1387963.473491297
610,1379310.0324912968
611,1374687.9834912969
612,1370514.183491297
613,1384269.6184912971
614,1371006.293491297
