,0
0,1039331.0540682755
1,1040400.9507033579
2,1039448.9990875854
3,1051783.6117523583
4,1056456.2176090498
5,1061957.4006462502
6,1063246.2560371412
7,1069556.1628686804
8,1070243.046014189
9,1072486.0645446898
10,1075802.6818304926
11,1078158.2112021786
12,1074866.5296373274
13,1078593.957626022
14,1075333.3971320647
15,1073083.700386073
16,1070974.533176742
17,1067929.4787053168
18,1067086.3075242909
19,1064821.6325885123
20,1059332.403733826
21,1061100.0513758871
22,1061678.1597998925
23,1073825.85850523
24,1071623.765174729
25,1071109.111753634
26,1071187.1699178314
27,1076835.9174030696
28,1070285.6665773091
29,1072720.2046309907
30,1065908.8999790074
31,1067727.9113294543
32,1070834.522634018
33,1066615.9381502585
34,1066435.0359793527
35,1067173.1147367153
36,1063334.499884096
37,1064188.0173928898
38,1060543.3750923555
39,1067891.0838032318
40,1064699.5399106846
41,1061306.1342832407
42,1062254.565735419
43,1067336.2522790134
44,1070354.8047158392
45,1069736.551764123
46,1070490.2948142157
47,1050001.1126128808
48,1057342.1111895025
49,1041471.5955382454
50,1040424.9575100606
51,1049664.1469643149
52,1044064.1301913778
53,1044304.6676079425
54,1043838.4448318548
55,1052008.1336348369
56,1055884.4087168982
57,1050734.1628685065
58,1042901.5872756139
59,1049895.8124001327
60,1052608.8532998206
61,1041938.6423211677
62,1048027.0179407839
63,1049092.4204999676
