,0
0,1139175.337123809
1,1151820.7440392117
2,1154182.464387079
3,1158970.1812946284
4,1152660.1713013167
5,1149280.6345660249
6,1154769.5728623027
7,1151007.1009519051
8,1149489.2824517733
9,1148548.0779114377
10,1148010.213063601
11,1147849.7491382132
12,1151913.6835085745
13,1153333.9749608422
14,1161579.3405824883
15,1173144.8204425771
16,1174503.0975711779
17,1178771.5611391752
18,1173533.1777868613
19,1165222.8440583036
20,1161804.852475696
21,1159398.8776114548
22,1175809.641764251
23,1173984.0824053187
24,1177407.6134503123
25,1171517.7935369594
26,1177887.9881845717
27,1183815.508418763
28,1191899.953736443
29,1197784.7065813816
30,1204998.8126846629
31,1210254.2647106426
32,1211819.2443405273
33,1222836.6354006354
34,1222396.761130275
35,1227686.704239824
36,1232385.4241869724
37,1234561.7242982674
38,1234702.8999744658
39,1253000.9743285764
40,1248018.4161485606
41,1247001.9401539522
42,1242702.0253122083
43,1244280.0961791836
44,1242906.3241310245
45,1241056.062813912
46,1241632.575040672
47,1242899.6630857536
48,1240424.6184069933
49,1244879.7587013312
50,1243803.9693488057
51,1249117.993905407
52,1243325.0709844525
53,1227591.8848898665
54,1230565.8641137087
55,1232038.0573797629
56,1229890.2056300468
57,1228786.7975760717
58,1234804.9893298007
59,1233108.8026596378
60,1234837.25804363
61,1230401.814138535
62,1229930.5618544577
