,0
0,-4766.833697593538
1,2071.555267530959
2,-2062.5241145675536
3,1475.9678479044233
4,-3473.3221164669376
5,-3114.741860966664
6,-9854.47616553842
7,9225.697061323794
8,-2029.3345298361965
9,-1335.5674981409684
10,9107.11170060467
11,-215.21738327806816
12,8125.9840424496215
13,16123.110217130277
14,-1784.0806264153216
15,-4199.787320989883
16,423.6938706024084
17,-3581.9473672152963
18,-1199.943005731795
19,-522.2576674167067
20,36.71158717107028
21,1640.9933455763385
22,-2035.3140847107861
23,-550.4537965685595
24,0.0
25,0.0
26,-451.92224075156264
27,-115.55483598494902
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,43.75856014969759
34,373.50088133849204
35,-234.17907974263653
36,26.40382200293243
37,-1422.4836986421142
38,-363.5385034477804
39,3385.449329938274
40,1371.0680829684716
41,-470.924187828321
42,-1097.559010103345
43,1946.2602920099162
44,612.6673866645433
45,5218.621108776191
46,-2534.159721481381
47,7147.97787448857
48,2223.3915974004194
49,-5531.011390704894
50,-1167.6917030171026
51,9935.650377076585
52,-3173.598782320274
53,-5276.617669847328
54,-2992.7057127021253
55,-3796.437737155473
56,6071.514664803864
57,-4118.047319594771
58,8981.024330832995
59,-3373.4665348131675
60,487.7509782467969
61,14285.591508756625
