,0
0,1000000.0
1,999628.4987293608
2,999873.681552239
3,996597.0188507076
4,996617.6989775924
5,993599.3889762294
6,991492.0388723831
7,991534.884139253
8,985417.4616230759
9,985889.1123535477
10,987709.1618756449
11,970692.7606603014
12,986071.1285688635
13,984942.0270113648
14,984880.7910246822
15,987785.8518649687
16,993148.0202468624
17,1011157.5180260154
18,992980.1889208155
19,982849.2550975239
20,981932.493852589
21,990060.4233268772
22,985733.8894702262
23,997564.7270853163
24,1018785.7554049185
25,1018323.5933265766
26,981340.8800345671
27,990271.4243835788
28,993943.558821798
29,984079.9775122382
30,947700.4103126982
31,948518.0267907294
32,942131.1779550327
33,930583.2078547963
34,892329.7481174457
35,928806.8656195272
36,914959.6198402549
37,906750.1194437833
38,900664.258084528
39,861476.5407151768
40,854326.8139418786
41,872878.2908924313
42,836077.047989808
43,836078.9333869112
44,823837.7630877699
45,877916.9946933012
46,883401.4725098979
47,915193.7771346155
48,919448.2783462126
49,913599.8617442518
50,942386.4509116116
51,958079.6253660875
52,940553.3988187517
53,921274.0083014043
54,996888.8095321233
55,978538.4488385591
56,991652.7345482297
57,1010772.3269576966
58,985161.0788074599
59,952829.0168294272
60,970519.1176363504
61,991979.4239401888
62,1020314.7907668506
63,1033080.1165172455
64,1027331.588991753
65,1008021.1547457442
66,1012901.5284996589
67,1049735.538037733
68,1050496.7576394228
69,1020227.2489867071
70,1035799.8121318795
71,1045001.8213305454
72,1042118.1047950584
73,1010051.1847514731
74,1033276.562452548
75,1024981.0972013159
76,1033666.2986930988
77,1038697.6768729842
78,1032506.8828370362
79,1039020.7813565242
80,1063750.401666337
81,1058170.3035838653
82,1062243.6924378641
83,1089293.1360657774
84,1088332.389698252
85,1095496.6814325117
86,1084858.7185390915
87,1108597.0318793755
88,1089611.8600017966
89,1093763.524925594
90,1069175.097983727
91,1079212.4290709083
92,1072666.021643591
93,1110167.187408941
94,1102839.0993110293
95,1088109.1092393668
96,1074743.7837213923
97,1071716.8131408072
98,1103293.1340881933
99,1082884.929972759
100,1099430.1798379447
101,1108433.9652618768
102,1132977.2377443565
103,1132021.0987671732
104,1124683.7061688078
105,1138460.2284756352
106,1139710.0802586537
107,1139655.0751541134
108,1138614.8284536058
109,1134652.7827652502
110,1131322.9761581894
111,1130684.1902022618
112,1111010.3441920849
113,1102891.5832737137
114,1099014.5608599556
115,1108626.109189029
116,1108643.087483661
117,1078591.2932980582
118,1078560.6343862533
119,1077089.7791799759
120,1095891.4065048057
121,1093564.88831951
122,1105881.3817285413
123,1095721.9664249062
124,1100848.4638973044
125,1069057.139890102
126,1073452.7963602436
127,1058525.9509356744
128,1056049.8292982243
129,1062593.0347842397
130,1052976.2481928596
131,1080315.8840281041
132,1083701.3401058987
133,1117793.9045229296
134,1127940.4412883746
135,1136390.7377515107
136,1148630.6973185085
137,1156766.7741046078
138,1155099.967381439
139,1182115.4784598993
140,1182553.655283388
141,1184285.422084254
142,1183996.2834702204
143,1179238.7927382148
144,1189062.0235047936
145,1190970.459068414
146,1202965.1087105423
147,1204853.3851173352
148,1201452.0319354532
149,1196706.9182271112
150,1207733.9899454948
151,1202700.759814103
152,1190951.3731851797
153,1211281.2539498843
154,1217928.8558405489
155,1206484.3177037134
156,1177987.8452969997
157,1188919.135758604
158,1196378.3130504538
159,1207439.8378873805
160,1228325.5336904954
161,1234042.7704746146
162,1235844.1436968343
163,1234992.8429192638
164,1234851.119314245
165,1226023.5988414136
166,1217844.253511552
167,1194981.8472551447
168,1193726.8237499758
169,1203604.0527889966
170,1215515.0837908627
171,1223977.3008368674
172,1229353.4051429017
173,1241370.2898676258
174,1235481.8743840454
175,1239129.1553927648
176,1234385.7334640962
177,1259925.9655065592
178,1260284.5621762895
179,1260510.058814952
180,1256032.4110189283
181,1260105.0161736782
182,1241763.3569064136
183,1232982.0083463392
184,1222908.4285286362
185,1240783.7874299777
186,1234987.706846529
187,1231267.063861492
188,1202087.1309246635
189,1195490.9202936564
190,1211519.4601646073
191,1229313.7433678706
192,1236373.6629936735
193,1240647.0493876461
194,1252322.6640395233
195,1259226.6384714437
196,1257056.992776419
197,1279606.5234209253
198,1285685.5378385363
199,1272904.7013083955
200,1285994.7243349957
201,1284497.7882222324
202,1269493.0435041469
203,1289027.4112170904
204,1276806.6120757728
205,1265101.481435312
206,1277274.4312737978
207,1254769.865446247
208,1275987.0746954484
209,1235104.367115525
210,1244988.2716747422
211,1244460.5903229488
212,1247551.9177603712
213,1276056.474267468
214,1278959.0463803245
215,1300921.0166184015
216,1298769.0285978608
217,1310221.9906355506
218,1304681.7852115917
219,1311981.1512702608
220,1330232.4903089583
221,1333352.6708817366
222,1331941.9666908954
223,1315250.760566723
224,1311406.3721396183
225,1329426.7491540727
226,1329799.0438013412
227,1335974.0219155431
228,1313934.8225703868
229,1315861.4885103742
230,1329209.3393388905
231,1326708.2924183772
232,1309917.8385112789
233,1309429.8287726683
234,1311228.985191639
235,1298703.1385747513
236,1297325.0718010569
237,1305597.2086770523
238,1310422.1725820233
239,1306127.0663512484
240,1297059.6854059726
241,1299272.216704687
242,1283010.9387865204
243,1287379.3298143037
244,1301770.3683145272
245,1307349.1497770366
246,1305376.5052478646
247,1312144.1764542505
248,1316750.1329929922
249,1315072.0545932413
250,1313427.310160155
251,1300656.784232366
252,1324594.1842791757
253,1333902.2634758775
254,1337936.3642835359
255,1346913.70078339
256,1345178.7932265743
257,1341525.7566302803
258,1331314.5478823578
259,1337826.880429476
260,1345625.4694332571
261,1334834.0148983211
262,1349431.2942308118
263,1333469.960571666
264,1297240.5353321135
265,1270763.6053536767
266,1275700.6994173187
267,1272253.9626477784
268,1282153.1365439629
269,1267770.0835409581
270,1258782.556537219
271,1284709.0899346601
272,1292830.3485670749
273,1284563.009343278
274,1248868.8369686927
275,1251571.1279690394
276,1242665.4292099813
277,1267750.6465414586
278,1263216.8455337775
279,1273951.845107714
280,1266531.301754806
281,1287887.7963702637
282,1295501.9973206683
283,1308070.2611005527
284,1300719.0648974492
285,1305869.9826018966
286,1294539.177362843
287,1310495.6570618541
288,1303566.0847877008
289,1308125.7474582815
290,1318764.0537235376
291,1317883.0287102128
292,1323024.9049530113
293,1321278.165959775
294,1339231.7489895925
295,1334767.4960114583
296,1332788.8380949465
297,1335483.8595391468
298,1345328.7180769364
299,1345805.298804009
300,1344484.9265411198
301,1352266.846801623
302,1358294.4129899063
303,1364593.2630996725
304,1353835.1138810376
305,1358892.5201615428
306,1367506.9361188044
307,1364358.3965583742
308,1363141.3174080988
309,1364998.3103712474
310,1364675.7911137505
311,1363982.4439325193
312,1356887.6556670046
313,1369090.8650213573
314,1378709.6288427087
315,1377475.9301549296
316,1368564.0957421546
317,1373484.7997543535
318,1382951.6173911886
319,1382612.7082103349
320,1385164.990588379
321,1399779.1048793506
322,1400109.778305728
323,1380926.7847496867
324,1392067.1351855996
325,1393603.8463447152
326,1389543.4311456874
327,1394882.4060159542
328,1408780.3935553646
329,1403156.2854115034
330,1368640.9677444713
331,1395048.9148719038
332,1401455.3254641762
333,1373991.6892497356
334,1392167.5181474823
335,1350483.7365891773
336,1336444.0046297559
337,1286033.0441823215
338,1261264.1980273498
339,1318581.7624546003
340,1319105.5002165916
341,1340761.9329874606
342,1332688.1623573734
343,1302401.0536949805
344,1297980.4953157608
345,1284218.2756651978
346,1277699.884638639
347,1233509.1558436283
348,1251366.2593152116
349,1235620.131685309
350,1249483.5488808
351,1237279.349140105
352,1281519.3237617516
353,1255659.7474815422
354,1229786.6987416886
355,1260263.701814983
356,1259376.213748048
357,1213386.2353462917
358,1197906.9785143184
359,1219422.4508788015
360,1213954.6538054403
361,1247443.4292837055
362,1254813.6676243395
363,1239550.8133579367
364,1271384.927755406
365,1267734.145943635
366,1270681.753071034
367,1277601.3566180924
368,1270430.31573264
369,1248065.486986741
370,1245751.4951934647
371,1217517.0093518083
372,1219948.7516843465
373,1216028.8972233322
374,1172551.0063992578
375,1158692.2293448334
376,1149930.3476669784
377,1143540.0850198464
378,1148981.2941645144
379,1185165.4120974953
380,1201277.8515219989
381,1217300.08546672
382,1217430.1738573734
383,1237687.5220857759
384,1241773.3112829432
385,1233470.5522024394
386,1194137.5274346268
387,1196385.7953214068
388,1212830.1765367952
389,1200500.76466705
390,1227222.8817565967
391,1238493.1081374446
392,1251618.0095637075
393,1255335.8952337527
394,1246164.848415006
395,1249138.4260013313
396,1248010.5028193009
397,1277413.3800279375
398,1235667.2496813263
399,1230504.3358101682
400,1234441.622806017
401,1233172.5497912057
402,1243586.01828314
403,1231634.800752555
404,1204187.6380886803
405,1201311.6226241982
406,1201287.33876885
407,1202022.9805266792
408,1214461.1628882892
