,0
0,1000000.0
1,999976.3560207143
2,1000008.3686118585
3,999722.0854034952
4,999730.6965470666
5,999464.6749889174
6,999295.6350829115
7,999284.1558914828
8,998800.1090780895
9,998873.8796961365
10,998924.3125161367
11,997642.9765418512
12,999126.1302984528
13,998956.3972543294
14,999031.8093621203
15,999037.0771219314
16,999492.2915240563
17,1000910.8001407867
18,999769.7513421382
19,999291.8839205317
20,999290.4675512041
21,999669.0756453128
22,999453.4168471566
23,1000201.0050319864
24,1001988.5993219865
25,1002029.3885366294
26,999361.9996316794
27,1000155.8703028888
28,1000332.3656886031
29,999475.7753457784
30,996456.666577564
31,996543.1973010739
32,995776.0731328959
33,994985.5227646815
34,992483.0417003958
35,995507.2369878957
36,994622.3602828669
37,994926.1077325372
38,994880.1651065265
39,991764.4951443301
40,990864.7487864733
41,992257.5401136163
42,988955.4157961162
43,987679.8093196879
44,986110.087723259
45,991765.8953590781
46,993423.5684336879
47,996902.1112461892
48,997756.3386360339
49,996677.9310431273
50,999858.7834794156
51,1001640.7886471566
52,999585.1625692928
53,998490.5751940904
54,1007808.6979726192
55,1006039.4447396728
56,1007154.8913752268
57,1008746.2406455947
58,1005123.0982716172
59,1002009.5992888231
60,1004531.6462448441
61,1006988.6478095084
62,1010728.571971924
63,1012221.5698768875
64,1011405.4658897447
65,1009171.6477733161
66,1010595.6458683164
67,1016216.4818267799
68,1017038.0265712343
69,1011985.7472359041
70,1014731.7254322865
71,1017367.3678604681
72,1017717.6791592373
73,1012798.6867469165
74,1016316.641003744
75,1015366.4107992072
76,1016609.9022155348
77,1018405.2404862493
78,1016963.5810983921
79,1017885.0112838896
80,1022563.3293704712
81,1023109.7881588484
82,1023144.3089050455
83,1029325.6169549781
84,1029364.579192616
85,1031274.8992068507
86,1027450.9484774958
87,1031351.0037673307
88,1027812.0561244733
89,1027917.673243402
90,1023240.4363869736
91,1024690.7290198308
92,1024114.6082076877
93,1032012.4627148306
94,1029933.0346791167
95,1026562.9541262595
96,1024231.3704739498
97,1022805.0814708355
98,1030155.8742060106
99,1025991.9018549948
100,1029478.9077006343
101,1031476.6503193085
102,1036469.5930765314
103,1035082.3652905802
104,1033807.5781978181
105,1036635.0028628182
106,1036702.7193071041
107,1037496.5533392467
108,1038365.9282749611
109,1037125.4262428185
110,1036672.0524188898
111,1035700.697614604
112,1031708.9611610324
113,1030280.9904617466
114,1028943.0124067466
115,1031118.367212461
116,1031683.1852490541
117,1024019.7414078601
118,1024792.3941570462
119,1025063.8946375849
120,1030662.5475714989
121,1030658.1190562147
122,1032763.9736988584
123,1029382.898673016
124,1029956.1114606229
125,1021900.1970955408
126,1024730.8046482293
127,1019554.9399485253
128,1019794.5276612286
129,1022226.1992766017
130,1020249.3687108827
131,1029731.0712242292
132,1030570.950826372
133,1042159.3106320864
134,1047012.9668510151
135,1051544.8964203007
136,1055994.3877124288
137,1057108.6125782793
138,1056136.9376825658
139,1062989.0824865133
140,1064142.008287942
141,1062946.2151418708
142,1060597.4877168706
143,1060110.6542169666
144,1064126.949884722
145,1063459.2603693646
146,1067652.7099679364
147,1067576.405474079
148,1068321.502854793
149,1066943.1350605073
150,1071208.740522335
151,1069445.3196013279
152,1065554.150792042
153,1072003.2461798992
154,1073870.8882220418
155,1070127.199775613
156,1060284.5938341846
157,1065844.3606084704
158,1067321.2979774121
159,1071131.1233008332
160,1077098.1307875381
161,1075902.6116437325
162,1078299.3466702965
163,1079967.7330136676
164,1080805.0428538825
165,1079203.7598781649
166,1078102.4686834216
167,1069401.217656515
168,1066822.291142573
169,1070039.0972622163
170,1074777.5243729302
171,1078570.4809682062
172,1081089.3766140253
173,1086538.5245540116
174,1085732.8421411547
175,1088364.7495272262
176,1088679.9224893688
177,1097571.9778957975
178,1098257.4552165116
179,1099698.623906083
180,1096688.7196617974
181,1100018.5334739403
182,1095643.6938017975
183,1093715.1516717973
184,1089431.5289596547
185,1094255.6337648774
186,1095393.5078395382
187,1095165.213464119
188,1085100.4942595423
189,1086511.5036033865
190,1094374.521305799
191,1100333.5809485554
192,1105744.70019922
193,1106898.3040137095
194,1112955.3996651152
195,1115411.8016039787
196,1111392.5067026843
197,1119405.9104207125
198,1119500.5797120635
199,1108489.6465425082
200,1114290.8953150013
201,1113364.9798107152
202,1105484.6079304628
203,1114376.479772828
204,1104965.9462544292
205,1101870.8479103106
206,1101046.5835633615
207,1090956.3001412186
208,1104259.0797508615
209,1086637.4262997904
210,1090598.0717297902
211,1091498.7821897902
212,1092914.5061938274
213,1105521.818512477
214,1103831.8592683107
215,1118074.7136250788
216,1120188.8465458038
217,1123926.7132666756
218,1119344.7579403156
219,1123244.689449242
220,1129874.1692090281
221,1130066.17412925
222,1129403.7217010572
223,1121925.3986189142
224,1118531.665291918
225,1126783.1766762033
226,1124881.5892626322
227,1123655.927885489
228,1113094.1923815603
229,1119182.759570132
230,1122321.2166344174
231,1119148.314542989
232,1112820.9612022745
233,1115932.5476649413
234,1112104.1937176762
235,1107388.252191962
236,1116914.3821526761
237,1120817.8176887475
238,1122816.7638087475
239,1124677.1629387478
240,1118482.297616605
241,1121773.7494766046
242,1111428.5633877309
243,1114730.3872620016
244,1120682.8498176292
245,1123674.915969772
246,1123182.0652662008
247,1127496.2291651904
248,1129178.6890782295
249,1128228.0605448785
250,1131337.9144093925
251,1127535.8423137923
252,1138401.417671125
253,1137618.9437668999
254,1135103.7171090117
255,1138715.6417743755
256,1138414.1048240422
257,1133299.3425718988
258,1129487.4758122563
259,1134175.2289928272
260,1138487.870179256
261,1130282.0723049704
262,1141065.524346984
263,1134242.2734516254
264,1116966.8692772558
265,1091725.4273717452
266,1094260.4623812104
267,1089271.001658385
268,1093518.9856477561
269,1085341.515726474
270,1076035.696811029
271,1087878.6858879747
272,1099113.4704460122
273,1095294.8811358972
274,1072836.914277326
275,1078227.628061019
276,1069488.183212927
277,1078507.2029815197
278,1078574.6834779484
279,1084954.7111398587
280,1084693.4072162025
281,1097706.5144726308
282,1100292.8710369167
283,1104341.287956917
284,1102872.1200475409
285,1102184.319633493
286,1096622.580372982
287,1106210.9981765035
288,1103051.0998441826
289,1103284.7973372128
290,1109616.2647489514
291,1110135.131197523
292,1107757.5765818087
293,1116270.4196403804
294,1129291.2326125377
295,1129304.1599550152
296,1128047.6276623937
297,1132533.8409916484
298,1139442.352585296
299,1142813.5952385846
300,1141139.3748065422
301,1147491.3525956343
302,1147618.3405925764
303,1150613.2366044412
304,1147093.315286113
305,1149793.6550959623
306,1155445.9122440005
307,1151671.5894155055
308,1155714.592969254
309,1154991.2077253254
310,1158364.5878592597
311,1156066.1989939401
312,1152600.2850185812
313,1157200.5718015132
314,1165636.6434905739
315,1165301.0636305737
316,1164904.2829841455
317,1170513.6168034314
318,1176093.7872934313
319,1175073.7209427168
320,1179928.9163841456
321,1198178.6610710737
322,1199202.765761074
323,1160340.2250103594
324,1170122.8283892882
325,1163340.3478187164
326,1164787.2468444307
327,1168230.0361820543
328,1173904.8798075556
329,1165862.8176911534
330,1149153.121143414
331,1159375.7776971576
332,1174653.190735558
333,1141020.788957772
334,1157975.753588664
335,1142164.0854419598
336,1134073.8703538326
337,1099203.2196955811
338,1085770.2692772811
339,1121072.1638594242
340,1121670.41244121
341,1144739.5801190666
342,1130384.9411947813
343,1114957.945594178
344,1114036.6568470814
345,1096375.796194474
346,1093645.4636696025
347,1055463.7439803511
348,1073772.135479044
349,1062657.881452348
350,1070725.3547328373
351,1061022.662712292
352,1089501.024684993
353,1080116.9481317787
354,1071538.2179546359
355,1095820.4152202294
356,1094135.7764265556
357,1064176.0443479843
358,1046685.6635247697
359,1050997.6015009412
360,1042852.5933583409
361,1062043.344706912
362,1067267.5220165553
363,1063142.3044201266
364,1084947.8697372696
365,1089070.8271053957
366,1092042.864647644
367,1095075.4831427895
368,1094312.4297231978
369,1078296.5870076246
370,1079338.8645275538
371,1066398.9374066864
372,1073107.110060615
373,1069817.7303349003
374,1039062.4376913293
375,1026444.7643574006
376,1021114.6545149006
377,1017543.953920258
378,1025064.6825002576
379,1057326.488020258
380,1065431.5108154477
381,1072327.66969147
382,1071600.9273864701
383,1087672.1618828988
384,1086555.4070300413
385,1093975.8205211847
386,1073330.03837047
387,1077526.1997968985
388,1081953.841697613
389,1068538.2910404701
390,1086872.5212868988
391,1098604.5576297557
392,1104421.6755854702
393,1101701.8136261844
394,1097602.4082004703
395,1100242.9120365416
396,1099198.1793104701
397,1118977.72584047
398,1116644.749558194
399,1124432.912963115
400,1122873.3687174006
401,1116705.0520724007
402,1123726.342013115
403,1117465.9262845435
404,1090129.0767377578
405,1085074.2860720437
406,1078786.2841127578
407,1077695.2005927577
408,1087168.226933115
409,1090751.7717252579
410,1077213.1012024009
411,1074644.9583881148
412,1066052.5042195437
413,1048475.6390781149
414,1051562.5637666862
415,1038797.6005609724
416,1050039.5891999009
417,1035428.451875615
418,1034842.5430620435
419,1062420.6105420436
420,1066050.5513666861
421,1089876.091548115
422,1075956.7839320437
423,1083525.7279970434
424,1090616.2972916863
425,1096285.6932802578
426,1111478.9446834722
427,1106587.564258115
428,1110486.8952616865
429,1113802.6350320436
430,1114788.323780615
431,1132067.9428541868
432,1132665.4883879006
433,1130126.4998457576
434,1120141.4457214721
435,1140363.6789638335
436,1137355.640035592
437,1144306.3388335456
438,1141582.07987926
439,1133554.1452678312
440,1141052.1270335454
441,1128413.9199578313
442,1149129.0748406881
443,1151871.6345889028
444,1153027.7996046168
445,1160200.4846210454
446,1161926.2011989022
447,1168394.4850460459
448,1173545.8176480455
449,1171783.8501509028
450,1172307.2436026884
451,1183353.2965698312
452,1165415.4835755457
453,1178074.042274474
454,1182222.6380130453
455,1176979.7455720706
456,1179472.4623031549
457,1183166.9281445832
458,1184315.9342120832
459,1188902.4896685118
460,1189732.6649177978
461,1192542.8715599403
462,1201841.228558512
463,1206333.615333512
464,1232272.72436994
465,1238180.3783431547
466,1233736.5929577977
467,1227194.2595763693
468,1230581.4764706548
469,1226223.1318756544
470,1215481.347233512
471,1215024.760146369
472,1199740.8167106549
473,1196349.6387445836
474,1215228.1040788689
475,1217787.6665813688
476,1214001.6728456547
477,1195373.3161799402
478,1215213.1864135116
479,1203636.5972202262
480,1205040.4143230834
481,1196147.5010002262
482,1222992.1204952265
483,1237556.503330226
484,1239913.7303345117
485,1238850.6289605836
486,1234825.4251284408
487,1244468.866664869
488,1243409.1526627261
489,1249156.511759869
490,1251405.6014084404
491,1253453.4513566548
492,1248745.4169166547
493,1248064.7762587974
494,1246073.9527680834
495,1244862.1572809403
496,1253280.8991209404
497,1260951.61597843
498,1259273.5442525847
499,1259573.8470497273
500,1260909.9736490129
501,1261410.2180082987
502,1259263.4142204411
503,1259549.9513747273
504,1275110.2810447274
505,1280874.1387772271
506,1286561.5922522275
507,1286520.927152227
508,1282394.3541722267
509,1283768.0551525846
510,1286810.7464715133
511,1296824.3571557982
512,1299815.3070072269
